PeB,PeA,xA,PS
0,0,0,0
0,0,10,0
0,0,20,0
0,0,30,0
0,0,40,0
0,0,50,0
0,0,60,0
0,0,70,0
0,0,80,0
0,0,90,0
0,0,100,0
0,10,0,0
0,10,10,0
0,10,20,0
0,10,30,0
0,10,40,0
0,10,50,0
0,10,60,0
0,10,70,0
0,10,80,0
0,10,90,0
0,10,100,0
0,20,0,0
0,20,10,0
0,20,20,0
0,20,30,0
0,20,40,0
0,20,50,0
0,20,60,0
0,20,70,0
0,20,80,0
0,20,90,0
0,20,100,0
0,30,0,0
0,30,10,0
0,30,20,0
0,30,30,0
0,30,40,0
0,30,50,0
0,30,60,0
0,30,70,0
0,30,80,0
0,30,90,0
0,30,100,0
0,40,0,0
0,40,10,0
0,40,20,0
0,40,30,0
0,40,40,0
0,40,50,0
0,40,60,0
0,40,70,0
0,40,80,0
0,40,90,0
0,40,100,0
0,50,0,0
0,50,10,0
0,50,20,0
0,50,30,0
0,50,40,0
0,50,50,0
0,50,60,0
0,50,70,0
0,50,80,0
0,50,90,0
0,50,100,1
0,60,0,0
0,60,10,0
0,60,20,0
0,60,30,0
0,60,40,0
0,60,50,0
0,60,60,0
0,60,70,0
0,60,80,1
0,60,90,1
0,60,100,1
0,70,0,0
0,70,10,0
0,70,20,0
0,70,30,0
0,70,40,0
0,70,50,0
0,70,60,0
0,70,70,1
0,70,80,1
0,70,90,1
0,70,100,1
0,80,0,0
0,80,10,0
0,80,20,0
0,80,30,0
0,80,40,0
0,80,50,0
0,80,60,1
0,80,70,1
0,80,80,1
0,80,90,1
0,80,100,1
0,90,0,0
0,90,10,0
0,90,20,0
0,90,30,0
0,90,40,0
0,90,50,1
0,90,60,1
0,90,70,1
0,90,80,1
0,90,90,1
0,90,100,1
0,100,0,0
0,100,10,0
0,100,20,0
0,100,30,0
0,100,40,0
0,100,50,1
0,100,60,1
0,100,70,1
0,100,80,1
0,100,90,1
0,100,100,1
0,110,0,0
0,110,10,0
0,110,20,0
0,110,30,0
0,110,40,1
0,110,50,1
0,110,60,1
0,110,70,1
0,110,80,1
0,110,90,1
0,110,100,1
0,120,0,0
0,120,10,0
0,120,20,0
0,120,30,0
0,120,40,1
0,120,50,1
0,120,60,1
0,120,70,1
0,120,80,1
0,120,90,1
0,120,100,1
0,130,0,0
0,130,10,0
0,130,20,0
0,130,30,0
0,130,40,1
0,130,50,1
0,130,60,1
0,130,70,1
0,130,80,1
0,130,90,1
0,130,100,1
0,140,0,0
0,140,10,0
0,140,20,0
0,140,30,0
0,140,40,1
0,140,50,1
0,140,60,1
0,140,70,1
0,140,80,1
0,140,90,1
0,140,100,1
0,150,0,0
0,150,10,0
0,150,20,0
0,150,30,1
0,150,40,1
