           tauB                     NinLC                      phiL          
           0.00                     13165                    0.55352                   1.43833         
           0.10                     15191                    0.54090                   1.37289         
           0.20                     14520                    0.53552                   1.45166         
           0.30                     15078                    0.53304                   1.44205         
           0.40                     15848                    0.53171                   1.41616         
           0.50                     16701                    0.53203                   1.38808         
           0.60                     17453                    0.53181                   1.37031         
           0.70                     17236                    0.53271                   1.39970         
           0.80                     17858                    0.53091                   1.38173         
           0.90                     17596                    0.52787                   1.40665         
           1.00                     17692                    0.52788                   1.41470         
           1.10                     19136                    0.52678                   1.36218         
           1.20                     18337                    0.52506                   1.40981         
           1.30                     18786                    0.52635                   1.39852         
           1.40                     19408                    0.52652                   1.38085         
           1.50                     19529                    0.52411                   1.38752         
           1.60                     19334                    0.52438                   1.40531         
           1.70                     20172                    0.52310                   1.37461         
           1.80                     20230                    0.52327                   1.37242         
           1.90                     20336                    0.52334                   1.37215         
           2.00                     20882                    0.52304                   1.35799         
           2.10                     21772                    0.52240                   1.33312         
           2.20                     21927                    0.52218                   1.33140         
           2.30                     21931                    0.52062                   1.33505         
           2.40                     22015                    0.52075                   1.33686         
           2.50                     22058                    0.51810                   1.33757         
           2.60                     23896                    0.51738                   1.27832         
           2.70                     24041                    0.51913                   1.27730         
           2.80                     23323                    0.51962                   1.30396         
           2.90                     23935                    0.51838                   1.29140         
           3.00                     23438                    0.51722                   1.31145         
           3.10                     25022                    0.51699                   1.26623         
           3.20                     24277                    0.51739                   1.28942         
           3.30                     23963                    0.51646                   1.29844         
           3.40                     24312                    0.51684                   1.28915         
           3.50                     25272                    0.51651                   1.26603         
           3.60                     25352                    0.51588                   1.26698         
           3.70                     25363                    0.51478                   1.27064         
           3.80                     25172                    0.51448                   1.28048         
           3.90                     24985                    0.51627                   1.28937         
           4.00                     25065                    0.51472                   1.28973         
           4.10                     25376                    0.51462                   1.28286         
           4.20                     26297                    0.51551                   1.25806         
           4.30                     25980                    0.51593                   1.27280         
           4.40                     27642                    0.51267                   1.23137         
           4.50                     26322                    0.51359                   1.26762         
           4.60                     26664                    0.51444                   1.26055         
