           tauB                     NinLC                      phiL          
           0.00                     22266                    0.51048                   1.70948         
           0.10                     23503                    0.49076                   1.88263         
           0.20                     25029                    0.47945                   1.96112         
           0.30                     26559                    0.47037                   2.00122         
           0.40                     28268                    0.46277                   2.01969         
           0.50                     29746                    0.45382                   2.04863         
           0.60                     31400                    0.44873                   2.06075         
           0.70                     33141                    0.43891                   2.07494         
           0.80                     34746                    0.43320                   2.08082         
           0.90                     36426                    0.42376                   2.09232         
           1.00                     38141                    0.41531                   2.09951         
           1.10                     39849                    0.40558                   2.09986         
           1.20                     41286                    0.40098                   2.10222         
           1.30                     43146                    0.39211                   2.09213         
           1.40                     44808                    0.38391                   2.09067         
           1.50                     46356                    0.37590                   2.08517         
           1.60                     47975                    0.36778                   2.08336         
           1.70                     49549                    0.35903                   2.08013         
           1.80                     50944                    0.35171                   2.07964         
           1.90                     52448                    0.34379                   2.07569         
           2.00                     53887                    0.33616                   2.07315         
           2.10                     55214                    0.32847                   2.07284         
           2.20                     56415                    0.32251                   2.07082         
           2.30                     57758                    0.31418                   2.06882         
           2.40                     58914                    0.30822                   2.06219         
           2.50                     60019                    0.30186                   2.05622         
           2.60                     61121                    0.29613                   2.04835         
           2.70                     62122                    0.29027                   2.04355         
           2.80                     63156                    0.28360                   2.04034         
           2.90                     64157                    0.27833                   2.03684         
           3.00                     64891                    0.27336                   2.03680         
           3.10                     65516                    0.27088                   2.03327         
           3.20                     66170                    0.26663                   2.02783         
           3.30                     66839                    0.26270                   2.02093         
           3.40                     67517                    0.25778                   2.01765         
           3.50                     67942                    0.25550                   2.01990         
           3.60                     68492                    0.25102                   2.01957         
           3.70                     69090                    0.24730                   2.01695         
           3.80                     69691                    0.24340                   2.01051         
           3.90                     70033                    0.24148                   2.00582         
           4.00                     70249                    0.24060                   2.00835         
           4.10                     70491                    0.23969                   2.00838         
           4.20                     70454                    0.24002                   2.01214         
           4.30                     70405                    0.24003                   2.01399         
           4.40                     70445                    0.24115                   2.01045         
           4.50                     70494                    0.23966                   2.00653         
           4.60                     70347                    0.24064                   2.00980         
           4.70                     70405                    0.23979                   2.00825         
           4.80                     70500                    0.23897                   2.00710         
           4.90                     70411                    0.23917                   2.01009         
           5.00                     70473                    0.23955                   2.01021         
           5.10                     70586                    0.23860                   2.00580         
           5.20                     70756                    0.23731                   1.99954         
           5.30                     70794                    0.23752                   1.99718         
           5.40                     71017                    0.23625                   1.99064         
           5.50                     70968                    0.23675                   1.99291         
           5.60                     70973                    0.23703                   1.99211         
           5.70                     70961                    0.23775                   1.98878         
           5.80                     71070                    0.23679                   1.98372         
