           tauB                     NinLC                      phiL          
           0.00                     10544                    0.59517                   0.60619         
           0.10                     85212                    0.57003                   0.61688         
           0.20                     82501                    0.55702                   0.62650         
           0.30                     79202                    0.55258                   0.63413         
           0.40                     79332                    0.54589                   0.64316         
           0.50                     75205                    0.54213                   0.64949         
           0.60                     71183                    0.53461                   0.66009         
           0.70                     56694                    0.52714                   0.67479         
           0.80                     51205                    0.52692                   0.69354         
           0.90                     59280                    0.52072                   0.68438         
           1.00                     18386                    0.50922                   0.69251         
           1.10                     38112                    0.50344                   0.73843         
           1.20                     18379                    0.49919                   0.74053         
           1.30                     26066                    0.48274                   0.77461         
           1.40                      9882                    0.47117                   0.72244         
           1.50                      6799                    0.45795                   1.08928         
           1.60                      6506                    0.44498                   1.07461         
           1.70                      7471                    0.43058                   1.16200         
           1.80                      8242                    0.41760                   1.15542         
           1.90                      8564                    0.40363                   1.18897         
           2.00                      9143                    0.38454                   1.05393         
           2.10                      9531                    0.37240                   1.21676         
           2.20                     10192                    0.35584                   1.23790         
           2.30                     10833                    0.34013                   1.25041         
           2.40                     14764                    0.32579                   1.21044         
           2.50                     15224                    0.31461                   1.21066         
           2.60                     15418                    0.30433                   1.21986         
           2.70                     15694                    0.29430                   1.22781         
           2.80                     16128                    0.28414                   1.23477         
           2.90                     16421                    0.27299                   1.25206         
           3.00                     16795                    0.26286                   1.25347         
           3.10                     17501                    0.25630                   1.19917         
           3.20                     17450                    0.24953                   1.24789         
           3.30                     17604                    0.24586                   1.25060         
           3.40                     17854                    0.23871                   1.25711         
           3.50                     17999                    0.23417                   1.26227         
           3.60                     18163                    0.22950                   1.26092         
           3.70                     18334                    0.22813                   1.25431         
           3.80                     18466                    0.22558                   1.24860         
           3.90                     18590                    0.22815                   1.24760         
           4.00                     18595                    0.23151                   1.24406         
           4.10                     18701                    0.23288                   1.24237         
           4.20                     18808                    0.22986                   1.24423         
           4.30                     18847                    0.23109                   1.24527         
           4.40                     19059                    0.22884                   1.24373         
           4.50                     19067                    0.22934                   1.24398         
           4.60                     31129                    0.22598                   1.25542         
           4.70                     31342                    0.22355                   1.25293         
           4.80                     31542                    0.22097                   1.25119         
           4.90                     31588                    0.22126                   1.25369         
           5.00                     31617                    0.21946                   1.25310         
           5.10                     50894                    0.22062                   1.24777         
           5.20                     50913                    0.21927                   1.25342         
           5.30                     50906                    0.21794                   1.25549         
           5.40                     50755                    0.21912                   1.26034         
           5.50                     50879                    0.21730                   1.26019         
           5.60                     50931                    0.21864                   1.26122         
           5.70                     50692                    0.21952                   1.26436         
           5.80                     50780                    0.22037                   1.26293         
           5.90                     50890                    0.22034                   1.26145         
           6.00                     31356                    0.22178                   1.27409         
           6.10                     31260                    0.21908                   1.27569         
           6.20                     31353                    0.21793                   1.27678         
           6.30                     31528                    0.21554                   1.27811         
           6.40                     31654                    0.21586                   1.27364         
           6.50                     31815                    0.21797                   1.26881         
           6.60                     31730                    0.21551                   1.27404         
           6.70                     31642                    0.21684                   1.28072         
           6.80                     31693                    0.21777                   1.27954         
           6.90                     31755                    0.21650                   1.27551         
           7.00                     31706                    0.21612                   1.27534         
           7.10                     31683                    0.21583                   1.27264         
           7.20                     31691                    0.21521                   1.26999         
           7.30                     31552                    0.21498                   1.27498         
           7.40                     31388                    0.21708                   1.28676         
           7.50                     31356                    0.21604                   1.29738         
           7.60                     31475                    0.21579                   1.30303         
           7.70                     31609                    0.21263                   1.30241         
           7.80                     31775                    0.21195                   1.29887         
           7.90                     31948                    0.20989                   1.29765         
           8.00                     32214                    0.20833                   1.29242         
           8.10                     32313                    0.20851                   1.28949         
           8.20                     32503                    0.20954                   1.28774         
           8.30                     32683                    0.20631                   1.28340         
           8.40                     32796                    0.20522                   1.28236         
           8.50                     32777                    0.20783                   1.28488         
           8.60                     32705                    0.20698                   1.28728         
           8.70                     32600                    0.20826                   1.29300         
           8.80                     32617                    0.21007                   1.29341         
           8.90                     32632                    0.20764                   1.29097         
           9.00                     32505                    0.21272                   1.29507         
           9.10                     32420                    0.21450                   1.29617         
           9.20                     32488                    0.21270                   1.29705         
           9.30                     32619                    0.21233                   1.29238         
           9.40                     32769                    0.21276                   1.28935         
           9.50                     32771                    0.21409                   1.29227         
           9.60                     32852                    0.21184                   1.29556         
           9.70                     32728                    0.21013                   1.30172         
           9.80                     32922                    0.20796                   1.30112         
           9.90                     32958                    0.20713                   1.30123         
          10.00                     33177                    0.20751                   1.29909         
          10.10                     33252                    0.20832                   1.29665         
          10.20                     33228                    0.21029                   1.29633         
          10.30                     33168                    0.21285                   1.29819         
          10.40                     33064                    0.21267                   1.30150         
          10.50                     33068                    0.21364                   1.30440         
          10.60                     33162                    0.21443                   1.30384         
          10.70                     33398                    0.21293                   1.30391         
          10.80                     33596                    0.21197                   1.29888         
          10.90                     33728                    0.21322                   1.29620         
          11.00                     33924                    0.21423                   1.29587         
          11.10                     34087                    0.21218                   1.29420         
          11.20                     34237                    0.21357                   1.29671         
          11.30                     34275                    0.21406                   1.29967         
          11.40                     53190                    0.21328                   1.28771         
          11.50                     53267                    0.21394                   1.28504         
          11.60                     53283                    0.21501                   1.28320         
          11.70                     53256                    0.21152                   1.28551         
          11.80                     53343                    0.21258                   1.28657         
          11.90                     53509                    0.20986                   1.28854         
          12.00                     53504                    0.21008                   1.28865         
          12.10                     53490                    0.21083                   1.28769         
          12.20                     53269                    0.21270                   1.28943         
          12.30                     53366                    0.21077                   1.28749         
          12.40                     53404                    0.21124                   1.28788         
          12.50                     35248                    0.20863                   1.30423         
          12.60                     35331                    0.21058                   1.30772         
          12.70                     35487                    0.20902                   1.30832         
          12.80                     35586                    0.20731                   1.30870         
          12.90                     53618                    0.20880                   1.29847         
          13.00                     53808                    0.20585                   1.29880         
          13.10                     53965                    0.20514                   1.29730         
          13.20                     54055                    0.20244                   1.29917         
          13.30                     54000                    0.20495                   1.29924         
          13.40                     36075                    0.20406                   1.31071         
          13.50                     36177                    0.20459                   1.30635         
          13.60                     36263                    0.20524                   1.30186         
          13.70                     54094                    0.20896                   1.28780         
          13.80                     54156                    0.20883                   1.28952         
          13.90                     36230                    0.21021                   1.30663         
          14.00                     54034                    0.20793                   1.29495         
          14.10                     54029                    0.20721                   1.29346         
          14.20                     54059                    0.20648                   1.29660         
          14.30                     54254                    0.20559                   1.29739         
          14.40                     54340                    0.20543                   1.29707         
          14.50                     54580                    0.20222                   1.29269         
          14.60                     54638                    0.20209                   1.28801         
          14.70                     54666                    0.20274                   1.28537         
          14.80                     36924                    0.20570                   1.30260         
          14.90                     37047                    0.20460                   1.30518         
          15.00                     37154                    0.20375                   1.30666         
          15.10                     37139                    0.20579                   1.30763         
          15.20                     54833                    0.20399                   1.29075         
          15.30                     37112                    0.20435                   1.30538         
          15.40                     37235                    0.20365                   1.30462         
          15.50                     37225                    0.20407                   1.30442         
          15.60                     37304                    0.20506                   1.30151         
          15.70                     37261                    0.20660                   1.30176         
          15.80                     37388                    0.20527                   1.30209         
          15.90                     37393                    0.20670                   1.30585         
          16.00                     37437                    0.20555                   1.30981         
          16.10                     37475                    0.20954                   1.31093         
          16.20                     54248                    0.20968                   1.29121         
          16.30                     54313                    0.20902                   1.29334         
          16.40                     54413                    0.21159                   1.29425         
          16.50                     54569                    0.21084                   1.29359         
          16.60                     54697                    0.20667                   1.29479         
          16.70                     54970                    0.20759                   1.29363         
          16.80                     55089                    0.20507                   1.29256         
          16.90                     55227                    0.20567                   1.29517         
          17.00                     55426                    0.20502                   1.29585         
          17.10                     55447                    0.20384                   1.29850         
          17.20                     55362                    0.20563                   1.29803         
          17.30                     55219                    0.20690                   1.30006         
          17.40                     54933                    0.20943                   1.30220         
          17.50                     55108                    0.20771                   1.30175         
          17.60                     55300                    0.20778                   1.30009         
          17.70                     55511                    0.20756                   1.29940         
          17.80                     55719                    0.20525                   1.29659         
          17.90                     55864                    0.20464                   1.29244         
          18.00                     55930                    0.20330                   1.29319         
          18.10                     56220                    0.20171                   1.29202         
          18.20                     56334                    0.20157                   1.29406         
          18.30                     56525                    0.20128                   1.29447         
          18.40                     56631                    0.20053                   1.29465         
          18.50                     56617                    0.20072                   1.29464         
          18.60                     56516                    0.20577                   1.29492         
          18.70                     56405                    0.20544                   1.29668         
          18.80                     56372                    0.20789                   1.29652         
          18.90                     56369                    0.20639                   1.29842         
          19.00                     56415                    0.20726                   1.29888         
          19.10                     56636                    0.20431                   1.29857         
          19.20                     56697                    0.20640                   1.30020         
          19.30                     56959                    0.20357                   1.30116         
          19.40                     56916                    0.20453                   1.30307         
          19.50                     57247                    0.19996                   1.30109         
          19.60                     57326                    0.20108                   1.30202         
          19.70                     57438                    0.20034                   1.30194         
          19.80                     57592                    0.19964                   1.30077         
          19.90                     57617                    0.20199                   1.29998         
