           rCoM                     NinBin                      NA                        NB                      phiLoc                    align                      pInt                     pSwim          
         1.124535                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         2.249070                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         3.373605                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         4.498140                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         5.622675                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         6.747210                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         7.871745                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
         8.996280                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        10.120815                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        11.245350                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        12.369885                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        13.494420                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        14.618955                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        15.743490                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        16.868025                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        17.992560                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        19.117095                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        20.241630                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        21.366165                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        22.490700                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        23.615235                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        24.739770                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        25.864305                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        26.988840                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        28.113375                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        29.237910                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        30.362445                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        31.486980                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        32.611515                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        33.736050                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        34.860585                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        35.985120                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        37.109655                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        38.234190                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        39.358725                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        40.483260                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        41.607795                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        42.732330                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        43.856865                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        44.981400                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        46.105935                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        47.230470                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        48.355005                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        49.479540                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        50.604075                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        51.728610                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        52.853145                     0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        53.977680                     11                        8                         3                      6.364315                 -4.231564                   1041.7                   60617.4         
        55.102215                     27                        16                        11                    17.895913                 -13.737827                  8390.8                   205140.2        
        56.226750                     39                        18                        21                    28.956333                 -14.756361                 17879.6                   294692.1        
        57.351285                     51                        24                        27                    41.701700                 -20.729702                 32210.5                   310186.6        
        58.475820                     61                        39                        22                    53.272738                 -26.892759                 46811.4                   411883.6        
        59.600355                     88                        54                        34                    80.765282                 -38.235783                 70220.1                   554801.1        
        60.724890                    120                        65                        55                    114.045492                -59.158728                 102040.0                  992163.2        
        61.849425                    178                       102                        76                    166.399787                -92.117861                 141684.0                 1519355.6        
        62.973960                    224                       112                       112                    219.504729               -100.831167                 219447.1                 2235767.7        
        64.098495                    276                       102                       174                    279.684849               -112.439442                 318884.7                 2582730.6        
        65.223030                    345                       132                       213                    361.029096               -163.800608                 441456.8                 4029484.1        
        66.347565                    397                       131                       266                    434.354891               -163.955732                 611837.6                 4266704.2        
        67.472100                    432                       142                       290                    494.230201               -170.100946                 741887.8                 4415299.2        
        68.596635                    495                       161                       334                    580.199609               -163.884437                 908575.3                 4195117.0        
        69.721170                    531                       155                       376                    642.986477               -147.464509                1045162.8                 4187519.8        
        70.845705                    615                       180                       435                    755.109687               -160.051071                1227522.4                 4613801.5        
        71.970240                    655                       202                       453                    817.528322               -185.379062                1356571.8                 4717152.2        
        73.094775                    737                       254                       483                    933.868362               -202.539529                1559305.9                 5405916.8        
        74.219310                    771                       238                       533                    993.701492               -150.565253                1670674.4                 4095481.5        
        75.343845                    809                       249                       560                   1057.947307               -147.476029                1831600.5                 4185516.0        
        76.468380                    878                       264                       614                   1172.770160               -104.926417                2038911.8                 3312805.9        
        77.592915                    893                       247                       646                   1218.667176               -144.442302                2145961.6                 4365823.5        
        78.717450                    923                       272                       651                   1269.674298               -154.926588                2255537.9                 4838301.6        
        79.841985                    998                       332                       666                   1384.115530               -123.484460                2455608.4                 3430447.5        
