           tauB                     NinLC                      phiL          
           0.00                     15030                    1.47491         
           0.10                     15613                    1.50772         
           0.20                     17926                    1.42712         
           0.30                     17494                    1.48765         
           0.40                     17506                    1.52174         
           0.50                     18451                    1.49497         
           0.60                     18427                    1.51632         
           0.70                     18756                    1.51522         
           0.80                     19350                    1.50094         
           0.90                     19558                    1.50269         
           1.00                     19880                    1.49846         
           1.10                     20609                    1.47564         
           1.20                     20481                    1.49316         
           1.30                     21264                    1.46818         
           1.40                     20729                    1.49980         
           1.50                     21367                    1.47654         
           1.60                     22256                    1.44572         
           1.70                     20982                    1.51121         
           1.80                     20802                    1.52954         
           1.90                     21852                    1.49066         
           2.00                     22586                    1.46856         
           2.10                     21965                    1.50656         
           2.20                     23632                    1.44567         
           2.30                     23430                    1.46050         
           2.40                     24729                    1.42247         
           2.50                     26118                    1.38249         
           2.60                     23631                    1.48227         
           2.70                     24191                    1.46676         
           2.80                     24460                    1.46159         
           2.90                     25643                    1.42504         
           3.00                     24817                    1.45915         
           3.10                     25120                    1.45521         
           3.20                     25324                    1.44784         
           3.30                     24564                    1.47265         
           3.40                     25048                    1.45716         
           3.50                     25855                    1.43490         
           3.60                     24755                    1.48197         
           3.70                     26716                    1.41902         
           3.80                     28428                    1.37118         
           3.90                     26897                    1.42271         
           4.00                     27909                    1.39776         
           4.10                     27796                    1.40511         
           4.20                     27961                    1.39817         
           4.30                     26710                    1.43844         
           4.40                     27812                    1.40855         
           4.50                     27646                    1.41808         
           4.60                     28254                    1.40081         
           4.70                     26863                    1.44477         
           4.80                     27823                    1.42147         
           4.90                     26182                    1.47990         
           5.00                     27190                    1.45127         
           5.10                     27568                    1.44070         
           5.20                     28074                    1.42490         
           5.30                     27965                    1.43282         
           5.40                     26815                    1.47769         
           5.50                     28159                    1.44421         
           5.60                     27474                    1.46945         
           5.70                     27416                    1.47451         
           5.80                     28066                    1.45903         
           5.90                     27601                    1.47215         
           6.00                     27861                    1.46324         
           6.10                     28485                    1.44430         
           6.20                     28323                    1.44958         
           6.30                     28985                    1.42939         
           6.40                     28539                    1.44879         
           6.50                     28214                    1.46038         
           6.60                     28488                    1.45380         
           6.70                     27726                    1.48497         
           6.80                     26270                    1.54234         
           6.90                     28306                    1.47458         
           7.00                     27919                    1.48323         
           7.10                     28761                    1.45880         
           7.20                     29856                    1.42675         
           7.30                     28891                    1.45702         
           7.40                     29304                    1.44834         
           7.50                     29837                    1.43403         
           7.60                     30778                    1.40492         
           7.70                     28800                    1.46182         
           7.80                     30028                    1.42331         
           7.90                     29948                    1.42280         
           8.00                     30687                    1.40180         
           8.10                     30549                    1.40647         
           8.20                     30961                    1.39531         
           8.30                     32444                    1.36146         
           8.40                     29895                    1.42614         
           8.50                     30105                    1.42197         
           8.60                     32699                    1.35195         
           8.70                     29629                    1.43673         
           8.80                     30712                    1.40900         
           8.90                     30294                    1.42243         
           9.00                     32398                    1.36731         
           9.10                     29128                    1.46171         
           9.20                     30753                    1.41792         
           9.30                     30441                    1.42996         
           9.40                     30597                    1.42559         
           9.50                     31168                    1.40751         
           9.60                     30889                    1.41425         
           9.70                     30467                    1.42546         
           9.80                     29479                    1.45326         
           9.90                     30833                    1.41926         
          10.00                     30896                    1.42170         
          10.10                     31589                    1.40619         
          10.20                     31923                    1.39836         
          10.30                     31547                    1.40671         
          10.40                     31780                    1.39628         
