 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         13089.988            107076.517             8.180                0.000                0.000                0.000                0.000                 0.0                   7          
  0.100         13089.988           1929140.246            147.375               0.000                0.000                0.000                0.000                 0.0                  2448        
  0.200         13089.988           1987173.392            151.809               0.000                0.000                0.000                0.000                 0.0                  1339        
  0.300         13089.988           1889595.288            144.354               0.000                0.000                0.000                0.000                 0.0                  1158        
  0.400         13089.988           1966417.984            150.223               0.000                0.000                0.000                0.000                 0.0                  2006        
  0.500         13089.988           2009790.647            153.536               0.000                0.000                0.000                0.000                 0.0                  1467        
  0.600         13089.988           2000381.278            152.818               0.000                0.000                0.000                0.000                 0.0                  3496        
  0.700         13089.988           2060559.543            157.415               0.000                0.000                0.000                0.000                 0.0                  3294        
  0.800         13089.988           2065361.067            157.782               0.000                0.000                0.000                0.000                 0.0                  2190        
  0.900         13089.988           1944314.091            148.534               0.000                0.000                0.000                0.000                 0.0                  1814        
  1.000         13089.988           1964933.201            150.110               0.000                0.000                0.000                0.000                 0.0                  1820        
  1.100         13089.988           2024745.536            154.679               0.000                0.000                0.000                0.000                 0.0                  2726        
  1.200         13089.988           1966363.272            150.219               0.000                0.000                0.000                0.000                 0.0                  3232        
  1.300         13089.988           2006385.908            153.276               0.000                0.000                0.000                0.000                 0.0                  3857        
  1.400         13089.988           2004523.057            153.134               0.000                0.000                0.000                0.000                 0.0                  2850        
  1.500         13089.988           2015350.974            153.961               0.000                0.000                0.000                0.000                 0.0                  1984        
  1.600         13089.988           1993943.533            152.326               0.000                0.000                0.000                0.000                 0.0                  1343        
  1.700         13089.988           2000934.163            152.860               0.000                0.000                0.000                0.000                 0.0                  2576        
  1.800         13089.988           2010617.427            153.600               0.000                0.000                0.000                0.000                 0.0                  2044        
  1.900         13089.988           2070468.105            158.172               0.000                0.000                0.000                0.000                 0.0                  2845        
  2.000         13089.988           2117792.867            161.787               0.000                0.000                0.000                0.000                 0.0                  3529        
  2.100         13089.988           2171800.481            165.913               0.000                0.000                0.000                0.000                 0.0                  1976        
  2.200         13089.988           2047682.925            156.431               0.000                0.000                0.000                0.000                 0.0                  1870        
  2.300         13089.988           1966558.334            150.234               0.000                0.000                0.000                0.000                 0.0                  1178        
  2.400         13089.988           1964951.432            150.111               0.000                0.000                0.000                0.000                 0.0                  2934        
  2.500         13089.988           1928028.846            147.290               0.000                0.000                0.000                0.000                 0.0                  1216        
  2.600         13089.988           2026433.875            154.808               0.000                0.000                0.000                0.000                 0.0                  968         
  2.700         13089.988           1980019.691            151.262               0.000                0.000                0.000                0.000                 0.0                  2705        
  2.800         13089.988           2039449.361            155.802               0.000                0.000                0.000                0.000                 0.0                  2780        
