 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      25000      25000      50000        0          0          0          2          5          7          0        1.0048     1.0048     1.0170     1.0048      0.60      1.5694     3.9256     5.4950     0.0000     0.0000     0.0000    65449.85 
400000.00    25000      25000      50000        0          0          0          40         49         89         0        1.0021     1.0046     1.0013     1.0031      0.60     30.9957    37.9843    68.9800     0.0000     0.0000     0.0000    65449.85 
800000.00    24565      24517      49082       435        483        918         84        110        194        153       1.0010     1.0030     1.0028     1.0004      0.60     65.3936    85.5337    150.9272   337.9044   374.8685   712.7729   65449.85 
1200000.00   24223      24052      48275       777        948        1725        87         97        184        143       1.0020     1.0031     1.0030     1.0037      0.60     67.7502    75.3769    143.1271   604.8508   737.9806  1342.8314   65449.85 
1600000.00   24046      23899      47945       954        1101       2055       115        120        235        137       1.0035     1.0015     1.0014     1.0046      0.60     89.4672    93.3373    182.8044   742.1524   856.8709  1599.0233   65449.85 
2000000.00   24033      23948      47981       967        1052       2019       153        128        281        168       1.0014     1.0014     1.0035     1.0030      0.60     118.8275   99.4842    218.3117   752.6786   817.8938  1570.5724   65449.85 
2400000.00   24062      23879      47941       938        1121       2059       150        154        304        137       1.0017     1.0011     1.0059     1.0033      0.60     116.6686   119.6983   236.3669   729.8020   871.9176  1601.7196   65449.85 
2800000.00   24012      23886      47898       988        1114       2102       159        146        305        150       1.0022     1.0022     1.0034     1.0023      0.60     123.5145   113.5922   237.1067   768.7479   866.6029  1635.3508   65449.85 
3200000.00   23689      23599      47288       1311       1401       2712       182        202        384        169       1.0022     1.0002     1.0021     1.0022      0.60     141.5057   157.0325   298.5382  1019.5713  1089.5876  2109.1589   65449.85 
3600000.00   23670      23433      47103       1330       1567       2897       166        184        350        160       0.9998     1.0009     1.0026     0.9998      0.60     129.0955   142.6897   271.7852  1034.6429  1218.6430  2253.2860   65449.85 
4000000.00   24075      23933      48008       925        1067       1992       127        156        283        142       1.0023     1.0017     1.0022     1.0023      0.60     98.8251    121.1617   219.9868   719.9588   830.3458  1550.3046   65449.85 
4400000.00   24104      23990      48094       896        1010       1906       104        138        242        158       1.0009     1.0055     1.0009     1.0014      0.60     80.6765    107.2000   187.8765   697.3068   785.9156  1483.2224   65449.85 
4800000.00   23943      23774      47717       1057       1226       2283       146        141        287        163       1.0008     1.0002     1.0008     1.0032      0.60     113.6659   109.8175   223.4834   823.0399   953.4803  1776.5202   65449.85 
5200000.00   24199      24121      48320       801        879        1680       185        193        378        168       1.0020     1.0014     1.0008     0.9984      0.60     143.9026   150.1784   294.0810   623.3279   683.5769  1306.9048   65449.85 
5600000.00   23812      23644      47456       1188       1356       2544       130        155        285        169       1.0010     1.0015     1.0081     1.0031      0.60     101.0008   120.4231   221.4240   923.9677  1054.4595  1978.4272   65449.85 
6000000.00   23857      23691      47548       1143       1309       2452       183        212        395        163       1.0039     1.0020     1.0015     1.0011      0.60     142.2780   165.0391   307.3171   889.3918  1018.4111  1907.8030   65449.85 
6400000.00   23789      23589      47378       1211       1411       2622       224        243        467        187       1.0016     1.0019     1.0051     1.0069      0.60     174.6009   189.1526   363.7535   942.2350  1097.4448  2039.6798   65449.85 
6800000.00   23559      23381      46940       1441       1619       3060       334        384        718        218       1.0006     1.0045     1.0092     1.0034      0.60     259.7899   298.4525   558.2424  1121.0789  1259.2292  2380.3081   65449.85 
7200000.00   23485      23356      46841       1515       1644       3159       191        202        393        197       1.0010     0.9992     1.0025     1.0005      0.60     148.3874   157.0812   305.4686  1178.7319  1278.7261  2457.4580   65449.85 
7600000.00   23686      23488      47174       1314       1512       2826       451        513        964        314       1.0021     1.0026     1.0045     1.0019      0.60     350.5202   398.7084   749.2287  1021.5347  1175.0553  2196.5901   65449.85 
8000000.00   23505      23288      46793       1495       1712       3207       363        421        784        229       1.0009     1.0009     1.0001     0.9996      0.60     282.3823   327.5075   609.8898  1163.3327  1331.6399  2494.9726   65449.85 
8400000.00   23432      23210      46642       1568       1790       3358       221        259        480        197       1.0023     1.0025     1.0026     1.0008      0.60     171.9924   201.3142   373.3066  1220.3384  1392.2996  2612.6380   65449.85 
8800000.00   23809      23575      47384       1191       1425       2616       319        376        695        218       1.0046     1.0005     1.0017     1.0046      0.60     247.8924   292.1250   540.0174   926.1487  1107.6150  2033.7637   65449.85 
9200000.00   23119      22798      45917       1881       2202       4083       423        512        935        214       1.0018     1.0018     0.9997     1.0022      0.60     328.9941   397.7968   726.7909  1463.1018  1711.8380  3174.9398   65449.85 
9600000.00   23424      23103      46527       1576       1897       3473       192        209        401        192       1.0013     1.0006     1.0013     1.0012      0.60     149.1618   162.7181   311.8799  1225.4445  1475.5952  2701.0397   65449.85 
10000000.00   23495      23237      46732       1505       1763       3268       377        458        835        251       1.0014     1.0022     1.0000     1.0014      0.60     293.3279   355.8363   649.1642  1170.7508  1370.4890  2541.2398   65449.85 
10400000.00   23640      23449      47089       1360       1551       2911       240        278        518        161       1.0054     1.0012     1.0008     1.0049      0.60     186.7855   216.3360   403.1215  1058.4679  1206.8166  2265.2844   65449.85 
10800000.00   23854      23610      47464       1146       1390       2536       130        150        280        158       1.0022     1.0019     1.0058     1.0022      0.60     100.9776   116.5284   217.5060   891.2924  1081.4621  1972.7545   65449.85 
11200000.00   23327      23086      46413       1673       1914       3587       287        354        641        224       1.0013     1.0000     1.0013     1.0021      0.60     223.0670   275.0925   498.1595  1301.0970  1488.0484  2789.1454   65449.85 
11600000.00   23445      23226      46671       1555       1774       3329       246        272        518        184       1.0003     1.0026     1.0003     1.0001      0.60     191.2950   211.5274   402.8224  1210.1845  1379.4470  2589.6315   65449.85 
12000000.00   23109      22900      46009       1891       2100       3991       227        257        484        190       1.0044     1.0044     1.0008     1.0054      0.60     176.3567   199.7520   376.1087  1471.4135  1633.4400  3104.8535   65449.85 
12400000.00   23595      23260      46855       1405       1740       3145       260        324        584        224       1.0039     1.0025     1.0039     1.0028      0.60     202.0012   252.2219   454.2230  1092.6640  1353.2840  2445.9480   65449.85 
12800000.00   23848      23604      47452       1152       1396       2548       241        271        512        231       1.0014     1.0044     1.0006     1.0007      0.60     187.2406   210.4648   397.7054   895.6176  1084.9667  1980.5843   65449.85 
13200000.00   23296      22923      46219       1704       2077       3781       182        197        379        180       1.0019     1.0011     1.0019     1.0019      0.60     141.2564   152.9327   294.1891  1325.0667  1615.3077  2940.3744   65449.85 
13600000.00   23704      23531      47235       1296       1469       2765       144        194        338        172       1.0016     1.0032     1.0041     1.0001      0.60     111.9526   150.4999   262.4525  1008.5101  1142.3590  2150.8691   65449.85 
14000000.00   23838      23556      47394       1162       1444       2606       137        197        334        186       1.0013     1.0052     1.0027     1.0028      0.60     106.3319   153.0520   259.3839   903.8170  1123.0445  2026.8615   65449.85 
