 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3050     0.5550     0.3250     0.5700     0.3250     0.5600     0.3050     1.9600     0.2900     1.9900  
   20.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3300     0.5550     0.3050     0.5700     0.3100     0.5600     0.3050     0.5550     0.2900     1.9800  
   30.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3200     0.5550     0.3300     0.5550     0.3250     0.5700     0.3100     0.5600     0.2950     0.5550     0.2900     1.9900  
   40.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3300     0.5550     0.3250     0.5700     0.3100     0.5600     0.3200     1.9950     0.2750     1.9450  
   50.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3300     0.5550     0.3250     0.5700     0.3250     0.5600     0.2950     0.5550     0.2750     1.9950  
   60.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3200     0.5550     0.3300     0.5550     0.3050     0.5700     0.3250     0.5600     0.3050     0.5550     0.2900     1.8800  
   70.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3300     0.5550     0.3250     0.5700     0.3100     0.5600     0.3200     0.5550     0.2900     1.9650  
   80.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3600     0.5550     0.3300     0.5550     0.3250     0.5700     0.3250     0.5600     0.3050     0.5550     0.2900     1.9200  
   90.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3200     0.5550     0.3300     0.5550     0.3250     0.5700     0.2950     0.5600     0.3050     1.9500     0.2900     1.9300  
  100.0      0.2500     0.7500     0.3300     0.5550     0.3100     0.5600     0.3200     0.5550     0.3050     0.5550     0.3050     0.5700     0.3100     0.5600     0.2950     1.9950     0.2750     0.5550  
