 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6700     0.6400     0.6650     0.6100     0.6600  
   20.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6700     0.6400     0.6650     0.6000     0.6600  
   30.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6550     0.6400     0.6650     0.6100     0.6600  
   40.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6700     0.6400     0.6650     0.6100     0.6600  
   50.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6550     0.6250     0.6650     0.6000     0.6600  
   60.0      0.2500     0.7500     0.3300     0.7750     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6550     0.6250     0.6750     0.6000     0.6600  
   70.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6700     0.6250     0.6650     0.6100     0.6600  
   80.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6550     0.6400     0.6650     0.6000     0.6600  
   90.0      0.2500     0.7500     0.3300     0.7750     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6700     0.3900     0.6550     0.6250     0.6650     0.5900     0.6600  
  100.0      0.2500     0.7500     0.3300     0.6650     0.3750     0.6850     0.3950     0.6800     0.3850     0.6650     0.3850     0.6900     0.3900     0.6550     0.6400     0.6650     0.6000     0.6600  
