 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         144316.741            910.939               0.006              27844.028           51407994.389           1846.284           1001475.319             542.4                90406        
  0.167         145147.887           26808.874              0.185              26896.849           69705399.690           2591.582           1434752.482             553.7                90393        
  0.333         144857.806           42807.316              0.296              26652.171           66728098.941           2503.665           1751495.132             699.7                88847        
  0.500         145630.936           83893.819              0.576              25331.671           67257589.218           2655.079           2223914.315             837.8                85616        
  0.667         146554.151           112437.376             0.767              24265.937           67056491.217           2763.400           2460324.296             890.6                82924        
  0.833         147116.657           148386.847             1.009              23307.407           66050485.087           2833.884           2863294.073             1010.7               80439        
  1.000         147940.236           167438.924             1.132              22404.371           67221137.846           3000.358           3001117.119             1000.6               78345        
  1.167         148868.496           200740.678             1.348              21638.809           66370086.913           3067.178           2926597.442             954.6                75964        
  1.333         149386.859           212699.376             1.424              21213.776           65242809.694           3075.492           2858511.193             929.9                74462        
  1.500         149781.622           233135.049             1.556              20695.414           63104110.315           3049.183           2936601.890             963.6                72804        
  1.667         150311.336           250479.708             1.666              20353.622           61606195.021           3026.793           2772232.611             916.4                71300        
  1.833         150714.927           280797.468             1.863              19748.235           61038886.435           3090.853           2990334.131             968.1                69661        
  2.000         151218.155           312663.555             2.068              19262.664           59432246.941           3085.360           2950191.839             956.8                68137        
  2.167         151563.730           332352.156             2.193              18956.187           57538084.957           3035.320           2932849.061             966.9                66846        
  2.333         151867.685           364166.848             2.398              18614.395           55816932.505           2998.590           2792824.783             932.1                65547        
  2.500         152252.358           377722.303             2.481              18098.555           55608296.663           3072.527           3044399.107             991.6                64359        
  2.667         152580.276           401988.207             2.635              17765.592           54991622.188           3095.401           3171128.390             1025.3               63367        
  2.833         152821.170           425204.645             2.782              17467.943           53409136.871           3057.552           3142460.837             1028.7               62378        
  3.000         153164.223           443639.180             2.896              17068.135           52601059.648           3081.828           3181147.975             1033.2               61159        
  3.167         153546.374           480475.561             3.129              16836.070           50791604.434           3016.833           2991911.634             992.8                59968        
  3.333         153902.039           496190.435             3.224              16464.009           50539821.479           3069.715           3082199.606             1005.1               58818        
  3.500         154202.210           531419.552             3.446              16205.459           49652433.374           3063.933           3031482.280             990.5                57823        
  3.667         154514.993           557429.330             3.608              15931.773           48328233.575           3033.450           2953491.521             974.8                56819        
  3.833         154883.270           583584.236             3.768              15549.622           48018226.078           3088.064           3061993.740             992.8                55762        
  4.000         155256.592           607528.738             3.913              15272.153           46480539.998           3043.483           2867394.406             943.4                54638        
  4.167         155349.923           643166.258             4.140              14983.333           45215017.849           3017.688           3116977.438             1034.3               53645        
  4.333         155867.024           675383.312             4.333              14670.550           44746811.020           3050.111           2941661.791             965.8                52440        
  4.500         156148.277           702179.796             4.497              14293.444           44331046.613           3101.495           3060691.985             988.3                51356        
  4.667         157237.974          1092310.285             6.947              13839.404           43325500.595           3130.590           2599415.104             832.2                49432        
  4.833         157301.035           845982.121             5.378              13809.134           43415388.268           3143.962           2583649.894             823.2                49257        
  5.000         157512.921           787578.102             5.000              13582.114           42979733.741           3164.436           2625652.812             831.1                48691        
  5.167         157806.786           795934.927             5.044              13536.710           42867231.459           3166.739           2414487.490             763.7                48365        
  5.333         158065.337           805997.430             5.099              13329.869           42786880.523           3209.850           2407777.660             751.3                47778        
  5.500         158156.145           821031.403             5.191              13308.429           42605095.266           3201.362           2397741.756             750.2                47417        
  5.667         158268.394           818730.231             5.173              13130.596           42755152.513           3256.147           2457109.810             755.8                46922        
  5.833         158366.769           823922.221             5.203              12896.009           43215777.731           3351.097           2720487.988             813.1                46314        
  6.000         158895.222           862692.378             5.429              12602.144           43410365.577           3444.681           2583961.783             751.3                45520        
  6.167         158954.499           892863.586             5.617              12512.597           41723709.969           3334.536           2489851.830             747.9                44921        
  6.333         159233.230           907818.334             5.701              12444.491           41292527.446           3318.137           2321282.981             700.8                44453        
  6.500         159495.564           911730.106             5.716              12332.242           41072267.865           3330.479           2146962.438             645.7                44068        
