 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         123209.247           24052.299              0.195              17585.600           23792514.534           1352.954            591826.511             437.5                54988        
  0.167         123583.651           596523.125             4.827              17146.688           33122461.242           1931.712            921020.036             478.0                55824        
  0.333         123059.991           572603.941             4.653              17394.604           33531089.001           1927.672           1064076.825             553.3                56471        
  0.500         122708.355           574708.005             4.684              17462.907           33262405.818           1904.746           1226603.369             645.6                56459        
  0.667         122493.326           584064.388             4.768              17265.586           33548577.843           1943.089           1456218.573             751.3                56152        
  0.833         122958.801           601650.041             4.893              17005.021           33788556.178           1986.975           1324135.501             668.1                55451        
  1.000         122867.730           609766.717             4.963              16649.591           34381507.485           2065.006           1707529.420             828.9                55086        
  1.167         123263.637           638594.522             5.181              16316.928           34791362.062           2132.225           1684121.971             791.8                54372        
  1.333         123581.121           657227.961             5.318              16153.758           34715202.111           2149.048           1574372.761             734.4                53876        
  1.500         123462.223           653137.762             5.290              16153.758           34296784.190           2123.146           1624445.189             767.0                53682        
  1.667         123697.490           660834.387             5.342              16038.654           34084461.448           2125.145           1563952.462             737.8                53300        
  1.833         123818.918           674322.588             5.446              15996.913           33783756.603           2111.892           1471181.653             698.4                53022        
  2.000         123950.466           683854.875             5.517              15852.717           33694991.201           2125.503           1537860.425             725.4                52628        
  2.167         124064.305           678958.751             5.473              15743.938           33407159.844           2121.906           1513861.350             715.3                52542        
  2.333         123951.730           695705.556             5.613              15771.765           32847409.618           2082.672           1520737.187             732.2                52445        
  2.500         123982.087           701001.466             5.654              15804.652           32534220.408           2058.522           1496098.929             728.8                52252        
  2.667         123958.055           698376.259             5.634              15792.003           32503796.334           2058.244           1528230.210             744.5                52166        
  2.833         124100.986           700504.001             5.645              15551.676           33163157.768           2132.449           1645660.840             773.8                51770        
  3.000         124408.351           719955.016             5.787              15396.096           32862560.441           2134.474           1546566.383             726.5                51300        
  3.167         124407.087           725515.362             5.832              15315.144           33554381.997           2190.928           1693223.061             774.9                51070        
  3.333         124634.765           735176.308             5.899              15049.520           33951593.582           2255.992           1725874.519             767.0                50671        
  3.500         124791.609           725823.334             5.816              15060.904           33757740.096           2241.415           1584013.215             708.5                50500        
  3.667         124785.285           736362.830             5.901              15014.103           33446195.411           2227.652           1644165.718             740.0                50442        
  3.833         124808.053           752260.108             6.027              14962.243           33216344.640           2220.011           1660827.730             750.2                50203        
  4.000         125038.261           754770.434             6.036              14926.827           33304235.907           2231.167           1506524.716             677.1                50101        
  4.167         124792.874           755210.325             6.052              15012.838           32534854.088           2167.135           1611422.646             745.7                50113        
  4.333         125072.412           743344.052             5.943              14960.978           32423774.656           2167.223           1463294.636             677.1                49885        
  4.500         125205.225           758904.636             6.061              14915.443           32179487.014           2157.461           1374338.764             638.8                49632        
  4.667         125160.954           758808.889             6.063              14869.907           32467807.587           2183.457           1461961.124             671.4                49455        
  4.833         125229.257           784077.190             6.261              14738.360           32292439.257           2191.047           1503781.172             688.3                49214        
  5.000         125487.292           792039.068             6.312              14629.580           32521360.812           2222.987           1470883.758             663.6                48927        
  5.167         125566.980           782162.655             6.229              14657.408           32639915.246           2226.855           1386093.900             624.2                48924        
  5.333         125426.578           788093.036             6.283              14694.089           32532188.476           2213.964           1437603.832             651.2                48949        
  5.500         125612.515           794811.173             6.327              14642.229           32601555.791           2226.543           1330903.983             599.4                48671        
  5.667         125645.402           793880.381             6.318              14505.622           33016114.847           2276.091           1447403.860             637.7                48649        
  5.833         125714.970           795744.330             6.330              14403.167           33657016.538           2336.779           1475612.619             633.2                48488        
  6.000         125893.318           804085.671             6.387              14385.459           33985072.212           2362.460           1412343.383             599.4                48481        
  6.167         125800.982           808719.998             6.429              14386.724           33964906.980           2360.851           1448424.967             615.2                48502        
  6.333         125787.069           789888.137             6.280              14338.658           33923670.253           2365.889           1515306.634             642.2                48386        
  6.500         125935.059           799716.831             6.350              14233.673           33765729.308           2372.243           1519341.737             642.2                48032        
  6.667         126109.612           819082.100             6.495              14218.495           33739899.152           2372.959           1399941.555             591.6                47847        
  6.833         126053.958           829671.459             6.582              14145.132           33360540.640           2358.447           1481237.624             629.8                47693        
  7.000         126023.601           829166.552             6.579              14183.078           32507892.489           2292.020           1449683.790             634.3                47660        
  7.167         126096.964           833839.451             6.613              14165.370           32494125.185           2293.913           1435428.988             627.6                47471        
