             TauR                           MSD              
            0.000                         0.000000           
            0.167                         1.163690           
            0.333                         6.360839           
            0.500                        17.499296           
            0.667                        36.185974           
            0.833                        64.918433           
            1.000                        104.477654          
            1.167                        152.822672          
            1.333                        209.536094          
            1.500                        273.713944          
            1.667                        344.630326          
            1.833                        422.749293          
            2.000                        507.868598          
            2.167                        598.728684          
            2.333                        694.283777          
            2.500                        795.261670          
            2.667                        902.814318          
            2.833                       1015.887903          
            3.000                       1133.863454          
            3.167                       1255.786468          
            3.333                       1382.724184          
            3.500                       1514.466853          
            3.667                       1649.286019          
            3.833                       1789.308926          
            4.000                       1935.397127          
            4.167                       2085.263606          
            4.333                       2239.078260          
            4.500                       2398.659008          
            4.667                       2563.329606          
            4.833                       2732.589139          
            5.000                       2905.281933          
            5.167                       3080.745663          
            5.333                       3260.179699          
            5.500                       3442.494157          
            5.667                       3627.388896          
            5.833                       3815.702791          
            6.000                       4005.806860          
            6.167                       4197.006559          
            6.333                       4390.701879          
            6.500                       4587.909707          
            6.667                       4788.281468          
            6.833                       4990.955771          
            7.000                       5195.754452          
            7.167                       5402.820785          
            7.333                       5610.818080          
            7.500                       5818.879982          
            7.667                       6027.638725          
            7.833                       6237.744275          
            8.000                       6450.916433          
            8.167                       6667.485395          
            8.333                       6886.982935          
            8.500                       7107.744895          
            8.667                       7329.282737          
            8.833                       7551.826699          
            9.000                       7776.667950          
            9.167                       8003.227607          
            9.333                       8231.517530          
            9.500                       8461.238608          
            9.667                       8693.407377          
            9.833                       8929.325241          
            10.000                      9168.549326          
            10.167                      9410.698337          
            10.333                      9657.364428          
            10.500                      9906.577363          
            10.667                      10160.561890         
            10.833                      10418.675723         
            11.000                      10680.254141         
            11.167                      10944.418617         
            11.333                      11211.518563         
            11.500                      11481.353024         
            11.667                      11753.382988         
            11.833                      12028.739098         
            12.000                      12307.013491         
            12.167                      12585.896697         
            12.333                      12864.103482         
            12.500                      13141.920088         
            12.667                      13418.774682         
            12.833                      13695.647253         
            13.000                      13974.474441         
            13.167                      14253.116275         
            13.333                      14532.131907         
            13.500                      14810.295369         
            13.667                      15090.439630         
            13.833                      15373.826779         
            14.000                      15662.762714         
            14.167                      15959.247740         
            14.333                      16262.192272         
            14.500                      16568.600199         
            14.667                      16878.191029         
            14.833                      17191.932341         
            15.000                      17508.332806         
            15.167                      17827.327558         
            15.333                      18148.793326         
            15.500                      18472.288593         
            15.667                      18798.638408         
            15.833                      19127.397217         
            16.000                      19457.424157         
            16.167                      19789.979744         
            16.333                      20124.850222         
            16.500                      20460.640886         
            16.667                      20797.819311         
            16.833                      21137.473318         
            17.000                      21480.386935         
            17.167                      21824.729860         
            17.333                      22168.503051         
            17.500                      22513.639837         
            17.667                      22861.358475         
            17.833                      23211.888805         
            18.000                      23563.896313         
            18.167                      23915.851565         
            18.333                      24268.983621         
            18.500                      24623.518751         
            18.667                      24978.817849         
            18.833                      25338.162095         
            19.000                      25698.158394         
            19.167                      26056.804035         
            19.333                      26415.508672         
            19.500                      26774.674287         
            19.667                      27134.308307         
            19.833                      27495.810307         
            20.000                      27859.231554         
            20.167                      28224.718718         
            20.333                      28591.075215         
            20.500                      28957.404143         
            20.667                      29323.042278         
            20.833                      29689.127571         
            21.000                      30054.991899         
            21.167                      30420.048538         
            21.333                      30785.974420         
            21.500                      31153.806510         
            21.667                      31524.088847         
            21.833                      31897.736834         
            22.000                      32273.402219         
            22.167                      32651.737368         
            22.333                      33032.786011         
            22.500                      33413.222195         
            22.667                      33794.646377         
            22.833                      34177.238459         
            23.000                      34560.573799         
            23.167                      34945.870743         
            23.333                      35333.328820         
            23.500                      35719.018638         
            23.667                      36101.012439         
            23.833                      36480.737989         
            24.000                      36859.904057         
            24.167                      37239.513052         
            24.333                      37619.138541         
            24.500                      37999.783339         
            24.667                      38382.120533         
            24.833                      38763.880774         
            25.000                      39143.574471         
            25.167                      39520.951733         
            25.333                      39897.909794         
            25.500                      40275.701949         
            25.667                      40656.834580         
            25.833                      41040.747668         
            26.000                      41426.938025         
            26.167                      41814.420361         
            26.333                      42202.499869         
            26.500                      42592.257211         
            26.667                      42984.237012         
            26.833                      43377.636696         
            27.000                      43769.675459         
            27.167                      44160.200288         
            27.333                      44549.426976         
            27.500                      44938.402875         
            27.667                      45326.683642         
            27.833                      45715.137284         
            28.000                      46104.506270         
            28.167                      46494.648552         
            28.333                      46887.418385         
            28.500                      47281.310446         
            28.667                      47677.870106         
            28.833                      48074.243027         
            29.000                      48471.106072         
            29.167                      48869.326454         
            29.333                      49269.548078         
            29.500                      49673.193141         
            29.667                      50080.303851         
            29.833                      50489.731533         
            30.000                      50901.877587         
            30.167                      51314.961991         
            30.333                      51729.591243         
            30.500                      52143.850647         
            30.667                      52560.504544         
            30.833                      52978.782310         
            31.000                      53399.320927         
            31.167                      53824.058922         
            31.333                      54251.239321         
            31.500                      54679.287218         
            31.667                      55108.391839         
            31.833                      55536.582231         
            32.000                      55964.144093         
            32.167                      56391.743761         
            32.333                      56819.503429         
            32.500                      57248.007283         
            32.667                      57678.509494         
            32.833                      58109.363232         
            33.000                      58538.788350         
            33.167                      58968.467968         
            33.333                      59399.740992         
            33.500                      59832.663962         
            33.667                      60266.507543         
            33.833                      60702.341265         
            34.000                      61140.795203         
            34.167                      61582.424697         
            34.333                      62026.891348         
            34.500                      62473.875342         
            34.667                      62922.386408         
            34.833                      63370.630801         
            35.000                      63819.873823         
            35.167                      64270.991951         
            35.333                      64726.676543         
            35.500                      65187.051674         
            35.667                      65652.484881         
            35.833                      66121.830283         
            36.000                      66594.732493         
            36.167                      67070.349138         
            36.333                      67547.884515         
            36.500                      68028.659740         
            36.667                      68513.026521         
            36.833                      69002.605158         
            37.000                      69494.284914         
            37.167                      69987.808023         
            37.333                      70482.261529         
            37.500                      70978.105597         
            37.667                      71474.165505         
            37.833                      71971.644052         
            38.000                      72470.152547         
            38.167                      72970.292922         
            38.333                      73471.766278         
            38.500                      73973.977687         
            38.667                      74477.176964         
            38.833                      74978.158039         
            39.000                      75478.208352         
            39.167                      75976.870798         
            39.333                      76475.123689         
            39.500                      76977.402480         
            39.667                      77483.172593         
            39.833                      77993.174583         
            40.000                      78509.439724         
            40.167                      79028.991908         
            40.333                      79551.917611         
            40.500                      80077.611053         
            40.667                      80604.432061         
            40.833                      81134.609309         
            41.000                      81665.742765         
            41.167                      82197.534434         
            41.333                      82730.257682         
            41.500                      83261.556664         
            41.666                      83793.057581         
            41.833                      84325.059504         
            42.000                      84859.312589         
            42.166                      85394.838363         
            42.333                      85933.545177         
            42.500                      86473.722203         
            42.666                      87015.578038         
            42.833                      87559.839799         
            43.000                      88107.278855         
            43.166                      88657.521616         
            43.333                      89212.857638         
            43.500                      89771.897243         
            43.666                      90336.977639         
            43.833                      90908.443689         
            44.000                      91485.791232         
            44.166                      92068.013654         
            44.333                      92655.762651         
            44.500                      93247.678385         
            44.666                      93840.735412         
            44.833                      94431.612394         
            45.000                      95022.227245         
            45.166                      95615.958655         
            45.333                      96211.202387         
            45.500                      96807.505937         
            45.666                      97404.753614         
            45.833                      98005.177260         
            46.000                      98610.447412         
            46.166                      99222.201327         
            46.333                      99837.253570         
            46.500                     100458.005339         
            46.666                     101083.690878         
            46.833                     101714.009584         
            47.000                     102348.376275         
            47.166                     102988.024224         
            47.333                     103634.154984         
            47.500                     104282.823133         
            47.666                     104936.298191         
            47.833                     105593.351698         
            48.000                     106251.600710         
            48.166                     106906.235585         
            48.333                     107560.707252         
            48.500                     108216.366331         
            48.666                     108873.242848         
            48.833                     109528.919253         
            49.000                     110184.039711         
            49.166                     110839.674649         
            49.333                     111494.636541         
            49.500                     112151.244196         
            49.666                     112808.784672         
            49.833                     113463.284020         
            50.000                     114115.902646         
            50.166                     114767.524708         
            50.333                     115417.048884         
            50.500                     116064.654301         
            50.666                     116709.737922         
            50.833                     117352.621215         
            51.000                     117993.954240         
            51.166                     118634.460066         
            51.333                     119275.497166         
            51.500                     119916.269982         
            51.666                     120556.448309         
            51.833                     121197.986157         
            52.000                     121837.834792         
            52.166                     122474.975748         
            52.333                     123110.347726         
            52.500                     123746.015887         
            52.666                     124383.662168         
            52.833                     125024.303814         
            53.000                     125667.250758         
            53.166                     126308.608718         
            53.333                     126946.713522         
            53.500                     127585.670459         
            53.666                     128227.051085         
            53.833                     128869.303729         
            54.000                     129512.481610         
            54.166                     130154.120519         
            54.333                     130796.998725         
            54.500                     131440.289510         
            54.666                     132083.834273         
            54.833                     132726.203784         
            55.000                     133368.386040         
            55.166                     134009.484324         
            55.333                     134650.638592         
            55.500                     135293.930162         
            55.666                     135940.168869         
            55.833                     136593.356547         
            56.000                     137250.659046         
            56.166                     137911.840438         
            56.333                     138578.860314         
            56.500                     139254.789258         
            56.666                     139937.302560         
            56.833                     140623.291883         
            57.000                     141310.696745         
            57.166                     142001.090584         
            57.333                     142694.916321         
            57.500                     143394.517806         
            57.666                     144097.391740         
            57.833                     144801.761301         
            58.000                     145508.960929         
            58.166                     146220.744599         
            58.333                     146938.075745         
            58.500                     147657.540450         
            58.666                     148375.855247         
            58.833                     149092.902376         
            59.000                     149812.644980         
            59.166                     150535.479561         
            59.333                     151260.300402         
            59.500                     151986.943078         
            59.666                     152717.465493         
            59.833                     153449.325217         
            60.000                     154181.581988         
            60.166                     154916.039926         
            60.333                     155656.489438         
            60.500                     156403.584223         
            60.666                     157154.786936         
            60.833                     157909.925191         
            61.000                     158667.787894         
            61.166                     159430.195130         
            61.333                     160196.534813         
            61.500                     160962.589644         
            61.666                     161728.134985         
            61.833                     162493.782299         
            62.000                     163258.895451         
            62.166                     164022.906765         
            62.333                     164785.265850         
            62.500                     165547.550030         
            62.666                     166309.300762         
            62.833                     167073.528470         
            63.000                     167839.779850         
            63.166                     168604.365145         
            63.333                     169369.727700         
            63.500                     170136.793920         
            63.666                     170906.324308         
            63.833                     171677.917967         
            64.000                     172449.496117         
            64.166                     173219.278766         
            64.333                     173987.221010         
            64.500                     174754.891260         
            64.666                     175522.639103         
            64.833                     176288.680926         
            65.000                     177054.660880         
            65.166                     177823.414565         
            65.333                     178596.282856         
            65.500                     179375.551982         
            65.666                     180158.665856         
            65.833                     180948.051655         
            66.000                     181741.755579         
            66.166                     182538.757211         
            66.333                     183339.108338         
            66.500                     184140.020815         
            66.666                     184942.424406         
            66.833                     185746.172267         
            67.000                     186550.509197         
            67.166                     187354.192952         
            67.333                     188158.856935         
            67.500                     188964.044687         
            67.666                     189770.020533         
            67.833                     190574.565417         
            68.000                     191378.573465         
            68.166                     192182.449110         
            68.333                     192987.282776         
            68.500                     193792.345342         
            68.666                     194596.096497         
            68.833                     195401.425572         
            69.000                     196210.129596         
            69.166                     197020.236429         
            69.333                     197829.967283         
            69.500                     198640.381564         
            69.666                     199453.544850         
            69.833                     200270.408894         
            70.000                     201092.874578         
            70.166                     201922.899347         
            70.333                     202758.245134         
            70.500                     203598.793650         
            70.666                     204441.613813         
            70.833                     205285.034462         
            71.000                     206128.811257         
            71.166                     206971.976715         
            71.333                     207812.306117         
            71.500                     208648.341721         
            71.666                     209479.834497         
            71.833                     210308.886169         
            72.000                     211135.997310         
            72.166                     211961.318589         
            72.333                     212784.738606         
            72.500                     213606.903660         
            72.666                     214428.301596         
            72.833                     215250.712212         
            73.000                     216074.569193         
            73.166                     216902.502946         
            73.333                     217731.515060         
            73.500                     218561.369371         
            73.666                     219392.059841         
            73.833                     220220.347319         
            74.000                     221045.343615         
            74.166                     221868.536105         
            74.333                     222692.296055         
            74.500                     223517.859550         
            74.666                     224342.772285         
            74.833                     225166.608712         
            75.000                     225990.964424         
            75.166                     226817.747117         
            75.333                     227646.844741         
            75.500                     228475.704915         
            75.666                     229305.223183         
            75.833                     230136.814126         
            76.000                     230971.783446         
            76.166                     231812.433655         
            76.333                     232658.796231         
            76.500                     233509.725290         
            76.666                     234366.682225         
            76.833                     235229.042888         
            77.000                     236094.879842         
            77.166                     236962.546346         
            77.333                     237834.150361         
            77.500                     238709.436019         
            77.666                     239589.553188         
            77.833                     240473.172790         
            78.000                     241363.220874         
            78.166                     242253.952988         
            78.333                     243142.948496         
            78.500                     244033.324676         
            78.666                     244926.994603         
            78.833                     245821.946586         
            79.000                     246719.433156         
            79.166                     247620.486317         
            79.333                     248525.507383         
            79.500                     249436.173649         
            79.666                     250348.985200         
            79.833                     251261.565119         
            80.000                     252174.177088         
            80.166                     253084.307636         
            80.333                     253994.404078         
            80.500                     254901.935713         
            80.666                     255807.014663         
            80.833                     256712.440316         
            81.000                     257619.231579         
            81.166                     258527.429560         
            81.333                     259434.869615         
            81.500                     260343.686693         
            81.666                     261256.405367         
            81.833                     262176.963510         
            82.000                     263105.862420         
            82.166                     264043.039664         
            82.333                     264985.329461         
            82.500                     265934.094298         
            82.666                     266892.161211         
            82.833                     267852.624018         
            83.000                     268816.138146         
            83.166                     269783.364188         
            83.333                     270753.218190         
            83.500                     271725.547069         
            83.666                     272701.531651         
            83.833                     273682.651594         
            84.000                     274671.399684         
            84.166                     275666.043491         
            84.333                     276663.825659         
            84.500                     277665.972739         
            84.666                     278676.793478         
            84.833                     279695.628709         
            85.000                     280723.271677         
            85.166                     281755.817849         
            85.333                     282794.566635         
            85.500                     283837.538715         
            85.666                     284882.241269         
            85.833                     285931.214497         
            86.000                     286984.330792         
            86.166                     288042.723285         
            86.333                     289103.077884         
            86.500                     290164.493465         
            86.666                     291226.304491         
            86.833                     292289.052837         
            87.000                     293347.633418         
            87.166                     294403.359984         
            87.333                     295456.804412         
            87.500                     296508.044402         
            87.666                     297555.757386         
            87.833                     298597.878758         
            88.000                     299636.309716         
            88.166                     300675.324853         
            88.333                     301715.639830         
            88.500                     302757.845374         
            88.666                     303797.842425         
            88.833                     304837.239592         
            89.000                     305879.154668         
            89.166                     306926.038967         
            89.333                     307979.804908         
            89.500                     309038.488492         
            89.666                     310102.184447         
            89.833                     311170.848969         
            90.000                     312244.848363         
            90.166                     313318.126773         
            90.333                     314391.398333         
            90.500                     315466.921724         
            90.666                     316543.561394         
            90.833                     317622.103136         
            91.000                     318698.206407         
            91.166                     319774.148637         
            91.333                     320852.429707         
            91.500                     321932.853565         
            91.666                     323012.493745         
            91.833                     324093.092156         
            92.000                     325176.164982         
            92.166                     326263.474094         
            92.333                     327352.579810         
            92.500                     328441.052270         
            92.666                     329530.265561         
            92.833                     330619.318401         
            93.000                     331708.193785         
            93.166                     332800.977800         
            93.333                     333896.316923         
            93.500                     334990.742992         
            93.666                     336088.903355         
            93.833                     337194.583812         
            94.000                     338308.034491         
            94.166                     339424.709999         
            94.333                     340542.419045         
            94.500                     341660.105280         
            94.666                     342779.948852         
            94.833                     343899.256223         
            95.000                     345018.655297         
            95.166                     346139.601170         
            95.333                     347265.248088         
            95.500                     348395.290483         
            95.666                     349527.192340         
            95.833                     350660.737166         
            96.000                     351797.939555         
            96.166                     352936.735991         
            96.333                     354075.376862         
            96.500                     355213.545544         
            96.666                     356353.157176         
            96.833                     357490.682502         
            97.000                     358626.522629         
            97.166                     359759.024700         
            97.333                     360892.781896         
            97.500                     362030.930986         
            97.666                     363169.935652         
            97.833                     364310.628768         
            98.000                     365458.267769         
            98.166                     366611.101075         
            98.333                     367767.467499         
            98.500                     368925.747876         
            98.666                     370084.920795         
            98.833                     371243.712840         
            99.000                     372401.070177         
            99.166                     373559.190111         
            99.333                     374717.001895         
            99.500                     375877.024552         
            99.666                     377043.141928         
            99.833                     378216.850786         
           100.000                     379396.308516         
