             TauR                           MSD              
            0.000                         0.000000           
            0.167                         1.542141           
            0.333                         4.506467           
            0.500                         9.794974           
            0.667                        17.819096           
            0.833                        28.178317           
            1.000                        41.803548           
            1.167                        62.344091           
            1.333                        86.869773           
            1.500                        120.307456          
            1.667                        170.046017          
            1.833                        225.232319          
            2.000                        291.737457          
            2.167                        371.328243          
            2.333                        467.407016          
            2.500                        576.995371          
            2.667                        695.623107          
            2.833                        847.710665          
            3.000                       1059.911911          
            3.167                       1297.077615          
            3.333                       1547.783850          
            3.500                       1804.266102          
            3.667                       2076.695846          
            3.833                       2362.371823          
            4.000                       2641.592902          
            4.167                       2933.390020          
            4.333                       3238.781279          
            4.500                       3548.279256          
            4.667                       3864.771921          
            4.833                       4190.053681          
            5.000                       4522.704000          
            5.167                       4872.249069          
            5.333                       5236.775485          
            5.500                       5609.471835          
            5.667                       5979.720280          
            5.833                       6355.606635          
            6.000                       6744.546580          
            6.167                       7142.219392          
            6.333                       7547.952230          
            6.500                       7948.517487          
            6.667                       8348.475735          
            6.833                       8766.533156          
            7.000                       9206.965821          
            7.167                       9683.558075          
            7.333                       10178.457222         
            7.500                       10690.337950         
            7.667                       11218.578896         
            7.833                       11760.210732         
            8.000                       12311.082488         
            8.167                       12871.231940         
            8.333                       13439.632247         
            8.500                       14022.741221         
            8.667                       14623.025648         
            8.833                       15224.202391         
            9.000                       15827.534726         
            9.167                       16437.456907         
            9.333                       17060.013328         
            9.500                       17693.821523         
            9.667                       18335.788001         
            9.833                       18997.607855         
            10.000                      19673.588720         
            10.167                      20357.268792         
            10.333                      21048.064140         
            10.500                      21745.883598         
            10.667                      22461.319289         
            10.833                      23193.257730         
            11.000                      23942.862088         
            11.167                      24704.090684         
            11.333                      25474.016490         
            11.500                      26254.456552         
            11.667                      27037.913638         
            11.833                      27815.736270         
            12.000                      28586.647533         
            12.167                      29352.381056         
            12.333                      30114.735665         
            12.500                      30869.270178         
            12.667                      31616.936891         
            12.833                      32365.613162         
            13.000                      33118.017160         
            13.167                      33867.020352         
            13.333                      34614.205355         
            13.500                      35368.857851         
            13.667                      36121.215530         
            13.833                      36868.886732         
            14.000                      37609.511788         
            14.167                      38342.888180         
            14.333                      39066.251649         
            14.500                      39779.670656         
            14.667                      40499.125887         
            14.833                      41225.005344         
            15.000                      41958.263665         
            15.167                      42692.309442         
            15.333                      43426.840481         
            15.500                      44163.314003         
            15.667                      44894.774764         
            15.833                      45633.112323         
            16.000                      46374.682157         
            16.167                      47111.936345         
            16.333                      47850.013241         
            16.500                      48587.377104         
            16.667                      49322.397893         
            16.833                      50060.459731         
            17.000                      50804.573178         
            17.167                      51561.063105         
            17.333                      52330.123415         
            17.500                      53109.193206         
            17.667                      53901.077709         
            17.833                      54702.581552         
            18.000                      55506.178895         
            18.167                      56313.571174         
            18.333                      57118.025529         
            18.500                      57921.010723         
            18.667                      58720.727214         
            18.833                      59513.836781         
            19.000                      60306.367022         
            19.167                      61108.928913         
            19.333                      61922.888583         
            19.500                      62744.351151         
            19.667                      63586.008190         
            19.833                      64449.168963         
            20.000                      65333.050368         
