             TauR                           MSD              
            0.000                         0.000000           
            0.167                         3.011832           
            0.333                        13.955500           
            0.500                        34.261294           
            0.667                        66.469717           
            0.833                        113.396269          
            1.000                        176.976129          
            1.167                        253.352232          
            1.333                        339.177629          
            1.500                        433.694009          
            1.667                        536.355487          
            1.833                        648.195406          
            2.000                        770.493653          
            2.167                        900.393638          
            2.333                       1037.696532          
            2.500                       1183.043031          
            2.667                       1336.015251          
            2.833                       1495.824178          
            3.000                       1661.395415          
            3.167                       1831.603519          
            3.333                       2006.852423          
            3.500                       2185.827350          
            3.667                       2367.695113          
            3.833                       2552.505832          
            4.000                       2740.095212          
            4.167                       2930.895064          
            4.333                       3127.099835          
            4.500                       3327.408225          
            4.667                       3536.590744          
            4.833                       3755.088968          
            5.000                       3981.918495          
            5.167                       4218.142740          
            5.333                       4462.245460          
            5.500                       4716.214285          
            5.667                       4982.317609          
            5.833                       5258.283191          
            6.000                       5541.634722          
            6.167                       5830.117861          
            6.333                       6127.092864          
            6.500                       6433.973495          
            6.667                       6748.399848          
            6.833                       7067.436358          
            7.000                       7391.203719          
            7.167                       7722.400260          
            7.333                       8058.403471          
            7.500                       8400.543890          
            7.667                       8747.937527          
            7.833                       9098.961690          
            8.000                       9454.577768          
            8.167                       9812.206121          
            8.333                       10172.632558         
            8.500                       10534.608182         
            8.667                       10899.250518         
            8.833                       11262.677632         
            9.000                       11624.976631         
            9.167                       11989.948463         
            9.333                       12353.577327         
            9.500                       12715.272170         
            9.667                       13078.034928         
            9.833                       13445.719644         
            10.000                      13816.752542         
            10.167                      14189.853317         
            10.333                      14563.970750         
            10.500                      14936.443510         
            10.667                      15318.673450         
            10.833                      15711.799738         
            11.000                      16113.664529         
            11.167                      16519.864829         
            11.333                      16932.152916         
            11.500                      17351.541012         
            11.667                      17779.766840         
            11.833                      18214.024170         
            12.000                      18649.192531         
            12.167                      19083.682450         
            12.333                      19516.971963         
            12.500                      19951.037493         
            12.667                      20385.183902         
            12.833                      20818.883876         
            13.000                      21254.554947         
            13.167                      21692.129093         
            13.333                      22129.504328         
            13.500                      22566.595178         
            13.667                      23007.690802         
            13.833                      23452.876930         
            14.000                      23903.659786         
            14.167                      24361.795332         
            14.333                      24820.723481         
            14.500                      25286.851296         
            14.667                      25761.338053         
            14.833                      26242.875659         
            15.000                      26731.398237         
            15.167                      27221.784887         
            15.333                      27713.042863         
            15.500                      28202.259446         
            15.667                      28696.934830         
            15.833                      29194.078821         
            16.000                      29699.776822         
            16.167                      30218.303631         
            16.333                      30749.400164         
            16.500                      31294.668362         
            16.667                      31850.510051         
            16.833                      32407.261280         
            17.000                      32967.673983         
            17.167                      33532.707326         
            17.333                      34100.658238         
            17.500                      34670.116919         
            17.667                      35245.182284         
            17.833                      35832.333282         
            18.000                      36431.405696         
            18.167                      37033.300405         
            18.333                      37638.429151         
            18.500                      38246.503709         
            18.667                      38853.412329         
            18.833                      39464.276226         
            19.000                      40076.301198         
            19.167                      40689.340337         
            19.333                      41304.297752         
            19.500                      41924.077539         
            19.667                      42553.014438         
            19.833                      43192.185149         
            20.000                      43839.870886         
            20.167                      44493.595473         
            20.333                      45157.141304         
            20.500                      45826.817607         
            20.667                      46491.425996         
            20.833                      47152.786122         
            21.000                      47815.017003         
            21.167                      48482.484196         
            21.333                      49152.365548         
            21.500                      49822.922635         
            21.667                      50495.387210         
            21.833                      51170.736536         
            22.000                      51838.264766         
            22.167                      52500.623918         
            22.333                      53160.718497         
            22.500                      53821.294647         
            22.667                      54483.843614         
            22.833                      55152.115357         
            23.000                      55828.540547         
            23.167                      56508.473011         
            23.333                      57193.745007         
            23.500                      57878.885155         
            23.667                      58559.561486         
            23.833                      59238.773059         
            24.000                      59918.630200         
            24.167                      60595.530798         
            24.333                      61274.956606         
            24.500                      61959.950682         
            24.667                      62649.231444         
            24.833                      63341.039978         
            25.000                      64033.986513         
            25.167                      64726.359506         
            25.333                      65421.272037         
            25.500                      66117.271269         
            25.667                      66816.262658         
            25.833                      67522.210346         
            26.000                      68238.201917         
            26.167                      68963.253378         
            26.333                      69684.973072         
            26.500                      70404.764935         
            26.667                      71126.181562         
            26.833                      71854.749781         
            27.000                      72586.242420         
            27.167                      73317.412983         
            27.333                      74040.881915         
            27.500                      74757.240123         
            27.667                      75465.642813         
            27.833                      76163.178651         
            28.000                      76856.382116         
            28.167                      77548.349938         
            28.333                      78239.445294         
            28.500                      78930.916347         
            28.667                      79623.798607         
            28.833                      80314.075873         
            29.000                      81002.275203         
            29.167                      81694.203748         
            29.333                      82392.721263         
            29.500                      83105.405797         
            29.667                      83829.412885         
            29.833                      84565.587719         
            30.000                      85307.986260         
            30.167                      86052.016006         
            30.333                      86798.904832         
            30.500                      87551.428779         
            30.667                      88310.672522         
            30.833                      89075.978057         
            31.000                      89838.652195         
            31.167                      90594.670956         
            31.333                      91345.155311         
            31.500                      92088.745080         
            31.667                      92833.156075         
            31.833                      93576.714949         
            32.000                      94319.285138         
            32.167                      95058.968046         
            32.333                      95782.151005         
            32.500                      96495.929727         
            32.667                      97204.470802         
            32.833                      97910.148215         
            33.000                      98608.749332         
            33.167                      99304.792042         
            33.333                      99998.438397         
            33.500                     100695.227615         
            33.667                     101391.632491         
            33.833                     102089.698298         
            34.000                     102793.692481         
            34.167                     103499.138304         
            34.333                     104207.864211         
            34.500                     104921.392446         
            34.667                     105637.079648         
            34.833                     106347.319260         
            35.000                     107049.708254         
            35.167                     107753.100889         
            35.333                     108452.028263         
            35.500                     109147.480639         
            35.667                     109843.631143         
            35.833                     110540.512158         
            36.000                     111239.780957         
            36.167                     111939.289651         
            36.333                     112632.104449         
            36.500                     113320.990192         
            36.667                     114005.571405         
            36.833                     114687.859655         
            37.000                     115366.875703         
            37.167                     116044.160539         
            37.333                     116719.016339         
            37.500                     117393.595593         
            37.667                     118066.952290         
            37.833                     118739.510268         
            38.000                     119415.807519         
            38.167                     120088.856260         
            38.333                     120760.385682         
            38.500                     121433.580895         
            38.667                     122102.323591         
            38.833                     122766.700897         
            39.000                     123420.671460         
            39.167                     124069.855724         
            39.333                     124717.174863         
            39.500                     125362.575309         
            39.667                     126002.148532         
            39.833                     126634.306613         
            40.000                     127262.357227         
            40.167                     127885.303031         
