             TauR                           MSD              
            0.000                         0.000000           
            0.167                         0.550990           
            0.333                         2.511473           
            0.500                         6.260992           
            0.667                        12.088366           
            0.833                        20.750530           
            1.000                        32.933694           
            1.167                        48.588992           
            1.333                        68.203689           
            1.500                        91.587753           
            1.667                        118.987767          
            1.833                        150.479353          
            2.000                        186.035449          
            2.167                        225.684890          
            2.333                        269.643088          
            2.500                        317.582967          
            2.667                        370.372548          
            2.833                        428.267714          
            3.000                        490.847369          
            3.167                        555.883714          
            3.333                        622.692022          
            3.500                        691.419972          
            3.667                        762.298673          
            3.833                        835.637636          
            4.000                        911.096510          
            4.167                        988.975591          
            4.333                       1069.714130          
            4.500                       1151.967049          
            4.667                       1235.160566          
            4.833                       1320.013270          
            5.000                       1405.905867          
            5.167                       1493.230535          
            5.333                       1582.510312          
            5.500                       1675.275795          
            5.667                       1772.539241          
            5.833                       1875.430642          
            6.000                       1982.362421          
            6.167                       2093.922587          
            6.333                       2211.395575          
            6.500                       2334.834722          
            6.667                       2463.539101          
            6.833                       2596.203287          
            7.000                       2731.494730          
            7.167                       2871.031550          
            7.333                       3013.618005          
            7.500                       3159.420976          
            7.667                       3307.468780          
            7.833                       3458.718594          
            8.000                       3614.674260          
            8.167                       3773.845864          
            8.333                       3936.065903          
            8.500                       4101.159081          
            8.667                       4270.231480          
            8.833                       4442.961072          
            9.000                       4618.820772          
            9.167                       4795.724812          
            9.333                       4973.435123          
            9.500                       5153.742725          
            9.667                       5337.590945          
            9.833                       5525.993898          
            10.000                      5718.526631          
            10.167                      5916.076816          
            10.333                      6118.356523          
            10.500                      6327.477051          
            10.667                      6543.271087          
            10.833                      6766.781694          
            11.000                      6994.196405          
            11.167                      7226.230376          
            11.333                      7460.046463          
            11.500                      7694.779295          
            11.667                      7932.121303          
            11.833                      8172.771699          
            12.000                      8417.712792          
            12.167                      8666.980217          
            12.333                      8918.119437          
            12.500                      9171.639643          
            12.667                      9427.288370          
            12.833                      9684.023651          
            13.000                      9940.466517          
            13.167                      10196.821077         
            13.333                      10453.987451         
            13.500                      10713.319244         
            13.667                      10975.619988         
            13.833                      11238.178687         
            14.000                      11502.774089         
            14.167                      11768.644339         
            14.333                      12038.442488         
            14.500                      12310.742872         
            14.667                      12585.223113         
            14.833                      12861.363078         
            15.000                      13138.672453         
            15.167                      13417.937524         
            15.333                      13699.380535         
            15.500                      13983.397727         
            15.667                      14269.815353         
            15.833                      14557.314851         
            16.000                      14845.097694         
            16.167                      15135.099204         
            16.333                      15426.931870         
            16.500                      15720.422144         
            16.667                      16014.650903         
            16.833                      16310.494301         
            17.000                      16606.855775         
            17.167                      16904.336063         
            17.333                      17205.398812         
            17.500                      17508.942495         
            17.667                      17813.687559         
            17.833                      18118.797559         
            18.000                      18425.845775         
            18.167                      18733.961143         
            18.333                      19043.364876         
            18.500                      19354.175301         
            18.667                      19665.175686         
            18.833                      19975.830432         
            19.000                      20285.513860         
            19.167                      20596.196521         
            19.333                      20911.038684         
            19.500                      21230.172851         
            19.667                      21551.436317         
            19.833                      21872.549597         
            20.000                      22193.174173         
            20.167                      22514.446494         
            20.333                      22835.711793         
            20.500                      23157.917243         
            20.667                      23481.105218         
            20.833                      23803.783913         
            21.000                      24127.368049         
            21.167                      24453.478769         
            21.333                      24779.888575         
            21.500                      25106.477853         
            21.667                      25432.569034         
            21.833                      25760.144831         
            22.000                      26089.111918         
            22.167                      26418.906186         
            22.333                      26749.433506         
            22.500                      27084.155489         
            22.667                      27423.604736         
            22.833                      27766.194890         
            23.000                      28111.330218         
            23.167                      28458.477072         
            23.333                      28810.521144         
            23.500                      29165.923558         
            23.667                      29524.250667         
            23.833                      29886.378038         
            24.000                      30248.179729         
            24.167                      30607.904892         
            24.333                      30967.389659         
            24.500                      31327.409847         
            24.667                      31689.022108         
            24.833                      32053.103948         
            25.000                      32419.628378         
            25.167                      32788.556124         
            25.333                      33159.089584         
            25.500                      33532.499174         
            25.667                      33907.966836         
            25.833                      34286.270775         
            26.000                      34667.149835         
            26.167                      35048.938099         
            26.333                      35432.296870         
            26.500                      35815.360932         
            26.667                      36199.433437         
            26.833                      36585.739928         
            27.000                      36973.435904         
            27.167                      37363.747727         
            27.333                      37759.454606         
            27.500                      38158.469186         
            27.667                      38558.632901         
            27.833                      38961.091522         
            28.000                      39364.912293         
            28.167                      39768.011174         
            28.333                      40168.659948         
            28.500                      40567.692412         
            28.667                      40966.789001         
            28.833                      41365.966232         
            29.000                      41764.494290         
            29.167                      42160.975896         
            29.333                      42555.465632         
            29.500                      42947.176818         
            29.667                      43338.448031         
            29.833                      43729.294785         
            30.000                      44119.744860         
            30.167                      44510.100237         
            30.333                      44897.531643         
            30.500                      45283.246919         
            30.667                      45668.942499         
            30.833                      46055.257562         
            31.000                      46443.119737         
            31.167                      46832.146503         
            31.333                      47221.921260         
            31.500                      47613.868259         
            31.667                      48010.846080         
            31.833                      48411.184474         
            32.000                      48815.332982         
            32.167                      49225.809223         
            32.333                      49638.480996         
            32.500                      50050.171270         
            32.667                      50460.347692         
            32.833                      50869.647102         
            33.000                      51277.008048         
            33.167                      51684.940851         
            33.333                      52095.210772         
            33.500                      52508.761450         
            33.667                      52922.374583         
            33.833                      53335.571999         
            34.000                      53748.911398         
            34.167                      54161.883084         
            34.333                      54574.051288         
            34.500                      54985.695009         
            34.667                      55396.549769         
            34.833                      55807.698512         
            35.000                      56221.245433         
            35.167                      56635.133171         
            35.333                      57047.709036         
            35.500                      57459.012218         
            35.667                      57871.905473         
            35.833                      58286.659074         
            36.000                      58702.520216         
            36.167                      59120.331167         
            36.333                      59539.878890         
            36.500                      59959.475997         
            36.667                      60380.092656         
            36.833                      60802.062577         
            37.000                      61225.610580         
            37.167                      61649.502750         
            37.333                      62071.118556         
            37.500                      62492.686961         
            37.667                      62914.031023         
            37.833                      63338.981798         
            38.000                      63766.461976         
            38.167                      64196.345472         
            38.333                      64626.594087         
            38.500                      65057.090429         
            38.667                      65488.449662         
            38.833                      65920.405583         
            39.000                      66352.171166         
            39.167                      66785.007456         
            39.333                      67219.492572         
            39.500                      67654.182469         
            39.667                      68089.648586         
            39.833                      68526.684927         
            40.000                      68965.502336         
            40.167                      69407.035574         
            40.333                      69852.342770         
            40.500                      70299.509768         
            40.667                      70749.029275         
            40.833                      71199.432906         
            41.000                      71650.005756         
            41.167                      72100.775732         
            41.333                      72552.479019         
            41.500                      73007.121710         
            41.666                      73462.520180         
            41.833                      73918.616907         
            42.000                      74377.673103         
            42.166                      74842.715659         
            42.333                      75310.669797         
            42.500                      75779.670648         
            42.666                      76251.059949         
            42.833                      76724.863553         
            43.000                      77201.919039         
            43.166                      77679.973776         
            43.333                      78160.549821         
            43.500                      78643.318594         
            43.666                      79126.695276         
            43.833                      79610.254001         
            44.000                      80094.253767         
            44.166                      80578.060236         
            44.333                      81063.229083         
            44.500                      81552.685031         
            44.666                      82045.751677         
            44.833                      82542.619092         
            45.000                      83041.507388         
            45.166                      83544.181957         
            45.333                      84049.355786         
            45.500                      84555.723682         
            45.666                      85064.548590         
            45.833                      85579.075237         
            46.000                      86097.450144         
            46.166                      86617.708566         
            46.333                      87138.996300         
            46.500                      87662.287674         
            46.666                      88185.103293         
            46.833                      88708.035157         
            47.000                      89230.846251         
            47.166                      89751.612291         
            47.333                      90272.647020         
            47.500                      90794.896683         
            47.666                      91317.909864         
            47.833                      91841.428051         
            48.000                      92365.364514         
            48.166                      92888.827048         
            48.333                      93414.832511         
            48.500                      93943.086935         
            48.666                      94475.478573         
            48.833                      95012.116438         
            49.000                      95550.505146         
            49.166                      96090.456201         
            49.333                      96630.647013         
            49.500                      97171.491521         
            49.666                      97712.086952         
            49.833                      98250.590797         
            50.000                      98788.343410         
            50.166                      99327.051599         
            50.333                      99869.464768         
            50.500                     100411.790708         
            50.666                     100954.355097         
            50.833                     101500.860747         
            51.000                     102049.917657         
            51.166                     102599.982945         
            51.333                     103150.625872         
            51.500                     103700.418058         
            51.666                     104250.410870         
            51.833                     104798.810244         
            52.000                     105346.932015         
            52.166                     105896.118740         
            52.333                     106448.131503         
            52.500                     107001.906503         
            52.666                     107557.309076         
            52.833                     108112.590586         
            53.000                     108668.215493         
            53.166                     109224.429339         
            53.333                     109781.084177         
            53.500                     110337.451074         
            53.666                     110895.758465         
            53.833                     111454.723543         
            54.000                     112013.929931         
            54.166                     112574.191616         
            54.333                     113133.655570         
            54.500                     113692.004683         
            54.666                     114249.624857         
            54.833                     114809.690119         
            55.000                     115372.845259         
            55.166                     115937.869481         
            55.333                     116505.695730         
            55.500                     117074.725936         
            55.666                     117642.623887         
            55.833                     118209.282463         
            56.000                     118775.144886         
            56.166                     119341.438217         
            56.333                     119907.934347         
            56.500                     120473.729209         
            56.666                     121040.609966         
            56.833                     121607.059298         
            57.000                     122172.823058         
            57.166                     122736.521258         
            57.333                     123298.969804         
            57.500                     123862.549255         
            57.666                     124426.410769         
            57.833                     124989.804652         
            58.000                     125553.236818         
            58.166                     126116.504592         
            58.333                     126680.625065         
            58.500                     127247.146165         
            58.666                     127816.082759         
            58.833                     128384.790589         
            59.000                     128952.964457         
            59.166                     129520.531458         
            59.333                     130087.523825         
            59.500                     130653.195993         
            59.666                     131218.309734         
            59.833                     131780.358680         
            60.000                     132341.039571         
            60.166                     132900.373834         
            60.333                     133461.579741         
            60.500                     134026.541270         
            60.666                     134593.374830         
            60.833                     135161.447484         
            61.000                     135729.815696         
            61.166                     136299.259539         
            61.333                     136869.025141         
            61.500                     137440.634560         
            61.666                     138013.986303         
            61.833                     138589.098864         
            62.000                     139164.058141         
            62.166                     139739.625565         
            62.333                     140316.809721         
            62.500                     140896.398517         
            62.666                     141478.438298         
            62.833                     142060.829089         
            63.000                     142642.293671         
            63.166                     143223.009391         
            63.333                     143805.132247         
            63.500                     144387.035689         
            63.666                     144968.727460         
            63.833                     145551.957863         
            64.000                     146136.282404         
            64.166                     146717.785300         
            64.333                     147299.982010         
            64.500                     147884.230621         
            64.666                     148469.858554         
            64.833                     149055.504917         
            65.000                     149643.698467         
            65.166                     150233.901907         
            65.333                     150826.449647         
            65.500                     151420.901834         
            65.666                     152015.725540         
            65.833                     152611.848622         
            66.000                     153209.230197         
            66.166                     153807.866915         
            66.333                     154407.790620         
            66.500                     155009.857084         
            66.666                     155613.087912         
            66.833                     156216.992908         
            67.000                     156821.274923         
            67.166                     157430.263473         
            67.333                     158041.699982         
            67.500                     158655.038087         
            67.666                     159271.729309         
            67.833                     159891.842522         
            68.000                     160515.045099         
            68.166                     161141.362060         
            68.333                     161768.879473         
            68.500                     162399.493968         
            68.666                     163029.822846         
            68.833                     163658.916773         
            69.000                     164289.301199         
            69.166                     164921.308894         
            69.333                     165553.585001         
            69.500                     166187.455765         
            69.666                     166824.188695         
            69.833                     167465.107144         
            70.000                     168108.497676         
            70.166                     168752.298887         
            70.333                     169394.981725         
            70.500                     170039.927990         
            70.666                     170687.112536         
            70.833                     171333.697003         
            71.000                     171981.324423         
            71.166                     172630.764252         
            71.333                     173283.299768         
            71.500                     173938.316741         
            71.666                     174593.908180         
            71.833                     175252.356764         
            72.000                     175914.277458         
            72.166                     176577.018414         
            72.333                     177237.032923         
            72.500                     177896.807192         
            72.666                     178558.417057         
            72.833                     179220.040688         
            73.000                     179881.051618         
            73.166                     180540.142208         
            73.333                     181198.521695         
            73.500                     181858.386773         
            73.666                     182518.475133         
            73.833                     183183.710346         
            74.000                     183851.673259         
            74.166                     184518.582966         
            74.333                     185181.930612         
            74.500                     185842.943296         
            74.666                     186503.743704         
            74.833                     187166.730325         
            75.000                     187831.647229         
            75.166                     188500.200028         
            75.333                     189168.860043         
            75.500                     189837.203389         
            75.666                     190506.807737         
            75.833                     191175.677896         
            76.000                     191842.261043         
            76.166                     192510.732638         
            76.333                     193178.318475         
            76.500                     193842.792878         
            76.666                     194504.779474         
            76.833                     195165.133865         
            77.000                     195826.451236         
            77.166                     196490.198795         
            77.333                     197153.684172         
            77.500                     197817.137506         
            77.666                     198484.520060         
            77.833                     199154.362162         
            78.000                     199824.841989         
            78.166                     200498.941578         
            78.333                     201173.869912         
            78.500                     201851.305173         
            78.666                     202531.759699         
            78.833                     203215.924155         
            79.000                     203902.295869         
            79.166                     204592.581546         
            79.333                     205285.763516         
            79.500                     205982.184715         
            79.666                     206684.191498         
            79.833                     207389.563884         
            80.000                     208099.347989         
            80.166                     208815.774187         
            80.333                     209537.574618         
            80.500                     210263.759332         
            80.666                     210991.909878         
            80.833                     211717.212159         
            81.000                     212442.615762         
            81.166                     213168.194336         
            81.333                     213895.835334         
            81.500                     214626.022029         
            81.666                     215356.248062         
            81.833                     216086.965524         
            82.000                     216822.043883         
            82.166                     217562.211253         
            82.333                     218305.999057         
            82.500                     219049.230606         
            82.666                     219791.145046         
            82.833                     220535.542897         
            83.000                     221282.083929         
            83.166                     222029.383199         
            83.333                     222777.586785         
            83.500                     223526.879671         
            83.666                     224274.757359         
            83.833                     225023.880990         
            84.000                     225773.811960         
            84.166                     226521.555341         
            84.333                     227268.221461         
            84.500                     228017.660824         
            84.666                     228766.220587         
            84.833                     229513.191780         
            85.000                     230255.228128         
            85.166                     230996.122016         
            85.333                     231738.340283         
            85.500                     232477.382695         
            85.666                     233215.460237         
            85.833                     233951.773984         
            86.000                     234691.094427         
            86.166                     235433.246168         
            86.333                     236174.884250         
            86.500                     236913.731624         
            86.666                     237650.812450         
            86.833                     238385.011096         
            87.000                     239117.366512         
            87.166                     239847.502875         
            87.333                     240575.334696         
            87.500                     241304.641741         
            87.666                     242036.772914         
            87.833                     242773.238112         
            88.000                     243509.334654         
            88.166                     244247.617922         
            88.333                     244989.045939         
            88.500                     245734.403686         
            88.666                     246480.840268         
            88.833                     247226.673543         
            89.000                     247975.145899         
            89.166                     248724.962815         
            89.333                     249479.543170         
            89.500                     250240.090224         
            89.666                     251004.026839         
            89.833                     251773.361237         
            90.000                     252545.201595         
            90.166                     253320.792391         
            90.333                     254097.935255         
            90.500                     254877.275313         
            90.666                     255657.282848         
            90.833                     256439.994080         
            91.000                     257226.787389         
            91.166                     258014.147419         
            91.333                     258798.060190         
            91.500                     259586.782352         
            91.666                     260383.133946         
            91.833                     261186.288431         
            92.000                     261990.175537         
            92.166                     262794.770954         
            92.333                     263601.176970         
            92.500                     264410.819556         
            92.666                     265223.567028         
            92.833                     266039.862016         
            93.000                     266858.171161         
            93.166                     267678.706029         
            93.333                     268501.814228         
            93.500                     269326.108633         
            93.666                     270153.907208         
            93.833                     270985.703138         
            94.000                     271821.161584         
            94.166                     272654.611226         
            94.333                     273490.477665         
            94.500                     274327.496745         
            94.666                     275165.274752         
            94.833                     276002.800639         
            95.000                     276838.049548         
            95.166                     277671.865796         
            95.333                     278502.532584         
            95.500                     279333.579598         
            95.666                     280164.015428         
            95.833                     280991.985584         
            96.000                     281818.466583         
            96.166                     282643.814432         
            96.333                     283469.164099         
            96.500                     284294.198866         
            96.666                     285117.014505         
            96.833                     285938.746902         
            97.000                     286760.037467         
            97.166                     287583.164101         
            97.333                     288405.944515         
            97.500                     289230.102870         
            97.666                     290055.302848         
            97.833                     290881.637962         
            98.000                     291705.787610         
            98.166                     292529.526448         
            98.333                     293352.248835         
            98.500                     294175.959152         
            98.666                     295003.208992         
            98.833                     295834.442619         
            99.000                     296667.511920         
            99.166                     297503.363540         
            99.333                     298344.034322         
            99.500                     299184.799213         
            99.666                     300021.997539         
            99.833                     300855.490628         
           100.000                     301687.839141         
