           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    687                    918.971367               -3759.907518                913517.6                   3468.8         
         2.249336                    2023                  2707.172949               6000.810577                2698506.9                  -11543.8        
         3.374004                    3359                  4493.275071               -7606.400140               4490069.6                  20549.7         
         4.498672                    4761                  6368.642764               -5788.574301               6405011.2                  32080.9         
         5.623340                    6086                  8139.184424               1884.539294                8213176.9                  -5136.6         
         6.748008                    7460                  9975.451200              -13887.412050               10093890.3                 88757.3         
         7.872676                    8777                  11736.073677              41071.245819               11873943.8                -314997.9        
         8.997344                   10146                  13563.379242              12726.922717               13583996.6                -106140.6        
        10.122012                   11433                  15283.473642              20196.226558               15260347.7                -187520.7        
        11.246680                   12843                  17165.311859              23551.815863               17140802.7                -253896.0        
        12.371348                   14199                  18975.166106              -5970.742638               18871367.3                 67906.7         
        13.496016                   15490                  20697.385888             -32740.884237               20593024.2                 437076.4        
        14.620684                   16878                  22547.884186             -13834.611558               22531656.8                 194818.0        
        15.745352                   18291                  24428.863799              17341.568058               24400984.1                -272294.6        
        16.870020                   19503                  26043.187334              21780.972268               25981998.9                -361343.9        
        17.994688                   20926                  27936.137812              8562.335220                27797479.4                -152102.9        
        19.119356                   22249                  29697.144016              26401.734084               29466394.3                -495456.0        
        20.244024                   23631                  31534.281725              23922.991514               31276153.4                -479638.9        
        21.368692                   24963                  33304.127317              21683.099855               33034928.1                -462048.8        
        22.493360                   26295                  35071.565075              38884.233223               34813661.4                -862171.4        
        23.618028                   27648                  36868.433912              32722.986140               36457902.5                -759749.6        
        24.742696                   28964                  38612.364063              97498.913034               38068294.7                -2359017.2       
        25.867364                   30243                  40306.370251              81847.282734               39599452.6                -2058171.8       
        26.992032                   31694                  42230.784130              5000.472186                41446753.3                -128582.4        
        28.116700                   32919                  43851.656288              34683.094693               43034305.5                -964156.3        
        29.241368                   34432                  45858.380390              60167.606276               44984847.7                -1734441.9       
        30.366036                   35567                  47359.669765              46273.140385               46303536.0                -1374751.0       
        31.490704                   37027                  49296.095474              13268.547317               48178661.8                -419281.2        
        32.615372                   38247                  50909.784856              71013.107192               49712556.2                -2272000.5       
        33.740040                   39675                  52804.146855               814.186419                51570886.6                 -18793.2        
        34.864708                   41041                  54614.365739              -2101.209632               53389378.0                 63351.4         
        35.989376                   42245                  56214.115844              40432.036168               54919629.9                -1427181.4       
        37.114044                   43834                  58323.776042             -20892.177207               56970052.1                 765382.9        
        38.238712                   44945                  59802.518990             -32615.428280               58419693.3                1246379.2        
        39.363380                   46427                  61773.017564              50638.862000               60285130.1                -1957838.5       
        40.488048                   47659                  63411.637648             -47194.368122               61848939.2                1898450.9        
        41.612716                   49112                  65348.360118             -51952.216491               63794318.7                2129835.6        
        42.737384                   50381                  67036.884813             -65383.252364               65517688.5                2780621.3        
        43.862052                   51743                  68853.333979             -44533.727350               67422105.2                1912922.5        
        44.986720                   53043                  70582.146147             -59431.757431               69232973.6                2643958.4        
        46.111388                   54571                  72619.565603             -26772.263112               71314253.2                1233800.8        
        47.236056                   55851                  74326.832106              6679.971959                72969927.4                -314923.6        
        48.360724                   57064                  75942.024924              42890.626905               74567759.8                -2055874.3       
        49.485392                   58674                  78085.845125              55143.461215               76543355.8                -2665619.5       
        50.610060                   59616                  79347.844765              50998.510615               77730274.4                -2545976.7       
