           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    2396                  11549.835344              25575.052749                42407.7                  -7295975.0       
         2.249336                    7172                  34531.192353              -5204.918910                -40830.7                 4692943.8        
         3.374004                   11876                  57205.268484              73917.534999                89048.9                 -107451675.5      
         4.498672                   16692                  80347.539706             126756.552791                694407.3                -248296644.8      
         5.623340                   21487                 103370.956085             131317.883071                620053.4                -342397733.9      
         6.748008                   26331                 126605.984386              93008.084811                383319.1                -287237802.4      
         7.872676                   31093                 149428.103014              67167.091529               -192936.1                -247368541.8      
         8.997344                   35913                 172594.200572              8179.630486                 531467.5                -46308503.0       
        10.122012                   40751                 195695.761344              42397.976217                516943.2                -220636510.8      
        11.246680                   45677                 219264.401760             273870.376077               2885799.1               -1475129386.1      
        12.371348                   50329                 241518.782662             184517.744632               3249811.2               -1097520261.5      
        13.496016                   55136                 264507.361212             350903.313472               3853899.3               -2270343454.7      
        14.620684                   59892                 287146.808553             386192.523197               6397194.0               -2705518713.2      
        15.745352                   64625                 309528.798240             341300.447435               3653665.7               -2582480121.0      
        16.870020                   69518                 332541.440898             395804.011780               7357086.3               -3216525245.2      
        17.994688                   74332                 355159.528059             511639.048609               5708348.0               -4473625130.4      
        19.119356                   79015                 376993.867023             705674.298888               19256687.3              -6578554183.4      
        20.244024                   83748                 398969.851775             786817.106049               14595835.4              -7753376624.9      
        21.368692                   88446                 420559.534348             1069451.597685              22130172.6              -11129676205.3     
        22.493360                   93164                 441979.710613             1127289.102428              26975778.3              -12377932195.9     
        23.618028                   97676                 462353.320023             1674616.358979              36484654.9              -19325040217.0     
        24.742696                   102262                482674.991713             1772082.916796              46531030.4              -21450938235.8     
        25.867364                   106719                501929.250536             2099832.598505              51687550.4              -26585041631.4     
        26.992032                   111106                520376.672323             2112199.047026              57495741.7              -27929292781.5     
        28.116700                   115233                537009.740216             2686225.730850              75103599.6              -37006775846.0     
        29.241368                   119537                553606.316900             2864654.640232              82399439.5              -41110447932.6     
        30.366036                   123288                566995.602613             3286632.800152             103956252.1              -49024887247.5     
        31.490704                   126997                579208.820195             3953398.930485             117098459.7              -61151819389.2     
        32.615372                   130491                589963.463225             4631647.930001             151408236.8              -74276261775.0     
        33.740040                   133568                598498.898231             5322964.412841             183415507.9              -88361230959.5     
        34.864708                   135981                603866.065827             5951141.220865             199590129.4             -102111640834.4     
        35.989376                   137446                605109.537503             6384943.337602             231265778.1             -113118206490.3     
        37.114044                   138531                604835.012355             6640204.881680             244557379.2             -121365804433.7     
        38.238712                   138822                601506.943747             6700514.062244             258292152.0             -126237829820.2     
        39.363380                   138660                596012.306789             7074756.551612             274488564.6             -137273153686.5     
        40.488048                   138614                590108.004912             7847655.514043             320929276.7             -156692903962.1     
        41.612716                   137967                580650.581875             8463474.972355             348070965.7             -173733775414.8     
        42.737384                   136672                567850.119370             9144946.102350             392947154.0             -192894909612.6     
        43.862052                   134517                551559.869274             9527490.112332             413189961.5             -206310849636.9     
        44.986720                   131650                532044.605008            10129521.269891             463355574.5             -225002699058.8     
        46.111388                   128239                510011.260315            10562441.858264             490313225.8             -240569834122.4     
        47.236056                   124327                485353.409851            11365726.398289             528457830.5             -265279373213.2     
        48.360724                   119711                457983.508595            11801385.618932             576607589.9             -282048366923.4     
        49.485392                   113827                426534.478449            12204949.443792             607006262.5             -298559135955.0     
        50.610060                   106737                392424.319838            12027953.899233             608874812.0             -300947755169.8     
        51.734728                   98929                 356606.491148            11542813.114802             603541491.9             -295331438311.7     
        52.859396                   90868                 320979.275990            11219768.839913             600038789.1             -293374399519.6     
        53.984064                   82579                 285296.584235            10705058.628265             582486950.1             -285926539629.4     
        55.108732                   74391                 250558.952909            10257571.656989             571928247.8             -279726947594.8     
        56.233400                   66449                 217559.796634             9702830.335620             558794392.0             -270037006138.9     
        57.358068                   57933                 184720.001915             8895967.172062             520615308.3             -252569177490.7     
        58.482736                   49543                 153985.957399             7815327.495041             464413268.9             -226276542853.2     
        59.607404                   41736                 126292.345628             6788244.830392             415502081.8             -200365528514.6     
        60.732072                   34272                 101215.467496             5579342.310759             350622339.7             -167800047621.5     
        61.856740                   27560                  79611.601413             4413837.312076             281281529.4             -135216819100.3     
        62.981408                   22045                  62209.863334             3550402.514851             234845731.9             -110764286777.5     
        64.106076                   17109                  47414.487742             2633556.523477             181005291.3              -83632518735.3     
        65.230744                   13309                  36171.656785             1977042.728324             137624169.1              -63888649440.8     
        66.355412                   10146                  27271.226231             1470874.004363             104623923.2              -48369013808.2     
        67.480080                    7746                  20561.374064             1044079.120668              80324111.0              -34920501539.8     
        68.604748                    5992                  15587.527265             816098.786452               62869731.4              -27750736142.2     
        69.729416                    4433                  11456.143717             558524.038353               44771997.1              -19303166828.4     
        70.854084                    3254                  8455.632814              369577.277142               32695603.2              -12983878063.9     
        71.978752                    2516                  6496.138180              276089.938119               23942271.9              -9856882083.4      
