           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.123042                    667                    885.231723                -5.287120                  852691.2                    -0.9          
         2.246084                    2005                  2660.578773                56.779350                 2561836.6                   -49.3          
         3.369126                    3335                  4424.857355                21.957829                 4225274.4                   250.6          
         4.492168                    4668                  6193.658847               -109.528384                5953537.8                   -21.4          
         5.615210                    6021                  7987.587147               -101.925695                7719166.9                   253.7          
         6.738252                    7324                  9716.078857               -122.963736                9425211.7                   -267.4         
         7.861294                    8670                  11502.605590              -113.953186                11156082.9                  1059.7         
         8.984336                   10074                  13362.512613               -92.940794                13015426.9                  832.2          
        10.107378                   11405                  15129.755791               35.320110                 14791514.5                  1427.8         
        11.230420                   12706                  16852.907534               164.387013                16394016.3                  349.1          
        12.353462                   14009                  18580.965786               30.351028                 17965119.8                  2299.4         
        13.476504                   15411                  20438.788388               167.041585                19730207.8                 -2987.2         
        14.599546                   16632                  22058.259443               43.468640                 21234308.3                 -1901.9         
        15.722588                   18062                  23951.522722               -11.888115                23029458.9                 -2741.6         
        16.845630                   19473                  25819.343828               106.902981                24852009.4                 -2743.1         
        17.968672                   20605                  27317.304754               129.956432                26233973.4                 -2584.5         
        19.091714                   22027                  29197.950054               193.125977                28002855.4                 -2609.3         
        20.214756                   23392                  31002.076870               133.500037                29667085.8                 -3818.7         
        21.337798                   24669                  32693.894411               -49.856207                31363041.1                  347.1          
        22.460840                   26072                  34549.123483               -4.472590                 33213241.2                  2925.4         
        23.583882                   27270                  36137.803349               -0.271183                 34645799.7                 -6670.6         
        24.706924                   28730                  38076.028472               380.191894                36444620.0                 -5233.8         
        25.829966                   30060                  39837.933671              -264.370148                38151177.4                  3421.7         
        26.953008                   31356                  41559.142953              -220.256745                39899493.9                  4277.6         
        28.076050                   32736                  43391.553188               -17.429858                41672879.4                 -3607.3         
        29.199092                   33928                  44976.626759              -188.875252                43145256.4                  3756.9         
        30.322134                   35510                  47076.536831              -348.984436                45233315.6                 16087.6         
        31.445176                   36754                  48728.526853               84.127291                 46912817.1                 -1811.6         
        32.568218                   37929                  50291.273338              -126.669312                48509574.9                  7630.3         
        33.691260                   39596                  52507.409158              -188.854107                50711590.0                 10486.1         
        34.814302                   40669                  53935.049849              -309.838127                52288938.0                 10091.0         
        35.937344                   42218                  55993.856564               79.083381                 54202886.7                 -1009.8         
        37.060386                   43241                  57359.513870               46.686316                 55507050.9                  3900.8         
        38.183428                   44888                  59549.601838               -25.292587                57525479.4                 -9233.1         
        39.306470                   46020                  61059.345748               -6.068465                 58924418.2                  4327.5         
        40.429512                   47497                  63026.706581               153.812248                60898719.5                 18063.8         
        41.552554                   48775                  64725.514522              -277.298861                62489225.5                 13363.0         
        42.675596                   50211                  66639.784314               158.793226                64439259.1                 12828.1         
        43.798638                   51366                  68179.987635               155.443588                65822963.3                 -7125.1         
        44.921680                   52855                  70161.671925              -255.186065                67732400.4                  911.1          
        46.044722                   54084                  71802.803596              -243.341678                69397183.7                 10175.2         
        47.167764                   55596                  73813.317069              -360.687008                71579748.9                 22663.7         
        48.290806                   56785                  75402.692379               -6.273006                 73328162.4                 10141.7         
        49.413848                   58307                  77425.706990               90.938553                 75367576.0                 -7644.0         
        50.536890                   59627                  79184.834762               -19.909438                77088106.1                 19723.4         
        51.659932                   60767                  80698.120348              -392.193542                78513048.6                 15531.9         
        52.782974                   62386                  82852.758314               -59.469063                80637806.8                 12798.5         
        53.906016                   63499                  84335.382003               64.363603                 82162221.9                 18068.1         
        55.029058                   64884                  86171.917580               231.523332                83777747.8                 25227.4         
        56.152100                   66235                  87973.698705               112.340856                85516679.6                 -7442.1         
        57.275142                   67655                  89854.931583               159.480180                87248592.2                 -8823.4         
        58.398184                   68709                  91251.835969              -308.887222                88514538.7                  224.1          
        59.521226                   70350                  93431.078169               -83.842437                90606284.5                 -2865.7         
        60.644268                   71494                  94948.951117              -159.672616                92087348.7                 -14006.3        
        61.767310                   72995                  96941.327233              -274.171451                94029316.1                 12893.9         
        62.890352                   74229                  98577.807637              -145.231643                95798595.1                 -18194.0        
        64.013394                   75711                 100546.572056               55.343926                 97714803.4                 -4234.5         
        65.136436                   76832                 102037.543583              -321.123472                99147138.2                 31351.7         
        66.259478                   78247                 103909.935185               247.878064               101019031.1                 -30866.2        
        67.382520                   79724                 105872.101758               154.237277               102837045.7                 11357.1         
        68.505562                   80795                 107289.831158              -173.611915               104263058.6                 -7444.2         
        69.628604                   82383                 109398.165013               28.806494                106451697.9                 20393.7         
        70.751646                   83598                 111006.005492               173.191119               108003914.3                  575.9          
        71.874688                   84943                 112784.856908               -37.062898               109730611.4                 -8271.0         
        72.997730                   86434                 114758.805535               435.932670               111502849.7                 20241.8         
        74.120772                   87528                 116201.329133               109.917718               112890442.0                 26664.3         
        75.243814                   88996                 118143.310998              -230.163913               114744671.6                 19116.5         
        76.366856                   90215                 119742.126594               244.753922               116284457.0                 -11301.5        
        77.489898                   91690                 121693.751379               182.966895               118211894.0                  3786.7         
        78.612940                   92935                 123324.505876               92.494568                119722647.2                 20431.7         
        79.735982                   94155                 124928.236247               429.555666               121289001.4                  5431.3         
        80.859024                   95668                 126915.256871               85.323683                123120211.1                  3429.7         
        81.982066                   96784                 128368.679224               125.322317               124382584.2                 -24482.4        
        83.105108                   98277                 130332.939241               400.919556               126388604.6                 -23664.2        
        84.228150                   99592                 132038.565543               256.659513               127963336.6                 -36802.9        
        85.351192                   100717                133511.388144               537.058406               129408581.5                 -18213.7        
        86.474234                   102269                135524.388835               169.897068               131221003.4                 57896.0         
        87.597276                   103526                137152.321396               129.644975               132779084.4                 -28811.9        
        88.720318                   104819                138812.659968               770.011981               134186313.3                 -43942.4        
