           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    1357                  3689.120518                30.068791                 1453511.0                   138.8          
         2.249336                    4092                  11122.551950               -11.048549                4353099.8                   -77.4          
         3.374004                    6902                  18761.139138              -100.271156                7438753.4                    13.8          
         4.498672                    9640                  26204.224865              -202.444545                10533656.9                  1012.2         
         5.623340                   12358                  33589.445883               54.048916                 13516156.0                  597.4          
         6.748008                   15066                  40950.582726               44.494116                 16470727.8                  -114.7         
         7.872676                   17934                  48749.783344               268.269576                19614644.2                  -509.5         
         8.997344                   20596                  55987.535946               204.744540                22422545.6                 -4054.4         
        10.122012                   23342                  63459.843346               99.048081                 25387903.0                  -154.2         
        11.246680                   26107                  70984.714689               72.554291                 28317493.6                  160.3          
        12.371348                   28892                  78565.507624               -76.900814                31327757.9                  3583.0         
        13.496016                   31630                  86017.694022              -390.994193                34392501.6                  6952.2         
        14.620684                   34210                  93036.399843              -238.276262                37392970.3                  4266.1         
        15.745352                   37060                 100792.184843               143.538692                40524482.8                 -2260.9         
        16.870020                   40036                 108887.808336              -125.827086                43769535.5                  1790.6         
        17.994688                   42633                 115947.794806               18.751475                 46721467.6                 -4173.0         
        19.119356                   45322                 123267.663713               119.000132                49579990.6                 -2584.6         
        20.244024                   48112                 130856.902505              -169.728610                52607611.0                 -9399.8         
        21.368692                   50986                 138681.075027               729.776701                55660145.6                 -4064.0         
        22.493360                   53587                 145755.760030               -62.013429                58449719.7                 -3239.8         
        23.618028                   56352                 153268.884978               23.141393                 61486004.8                 -9570.6         
        24.742696                   59107                 160759.240899               150.201454                64471389.6                  151.7          
        25.867364                   61867                 168252.286087              -247.292338                67515511.4                  3152.3         
        26.992032                   64553                 175537.449596               38.470423                 70398911.0                 -1153.6         
        28.116700                   67400                 183250.042185               23.192551                 73431723.1                  9628.9         
        29.241368                   70171                 190757.127157               -12.241841                76413253.8                  7761.2         
        30.366036                   72808                 197903.488719              -258.694884                79313255.4                 12943.2         
        31.490704                   75578                 205400.156136               157.774536                82398825.3                 10315.0         
        32.615372                   78347                 212905.930399               -24.981246                85405546.7                  4594.1         
        33.740040                   81019                 220141.184314               477.208269                87976609.4                  3008.9         
        34.864708                   83715                 227438.900392               10.042443                 90698399.9                 -2306.0         
        35.989376                   86543                 235096.767529               531.138542                93635134.3                 -16608.2        
        37.114044                   89068                 241927.652612               549.235021                96173516.2                 -12019.1        
        38.238712                   91957                 249731.791993              -491.302520                99448582.1                 -17422.1        
        39.363380                   94638                 256963.256531              -533.512736               102550424.7                  4280.8         
        40.488048                   97558                 264835.550786               86.030008                105717856.1                  7488.6         
        41.612716                   100213                271968.712574              -603.472582               108625185.3                 -17272.2        
        42.737384                   102950                279305.398692               203.409334               111717981.1                  2959.1         
        43.862052                   105577                286318.203820               597.075619               114512748.1                 -5867.7         
        44.986720                   108486                294074.548255               257.212235               117608664.9                  8964.4         
        46.111388                   111150                301114.407272               783.028243               120122563.8                 -14769.6        
        47.236056                   113672                307705.524807               928.235966               122535415.6                 -6791.5         
        48.360724                   116345                314618.065576              1471.437857               124881809.4                 -31562.3        
        49.485392                   119057                321520.095094              1145.539347               127517353.5                 -42649.9        
        50.610060                   121736                328170.020815              1829.995841               129715789.3                 -68699.2        
        51.734728                   124191                334037.064314              1395.950166               131614665.5                 -55997.0        
        52.859396                   126839                340153.738271              1669.103968               133924189.4                -100906.0        
