           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
         1.124668                    785                   1234.646871                19.025272                 2877531.8                   2035.0         
         2.249336                    2401                  3776.868442                 7.272692                 8792039.1                   -193.5         
         3.374004                    3958                  6224.968161                99.997648                 14442144.6                  786.4          
         4.498672                    5583                  8781.006631                -46.507254                20416329.7                  4632.6         
         5.623340                    7175                  11283.814655              -104.844384                26297390.3                  6302.6         
         6.748008                    8747                  13755.256640               -15.026662                32142418.2                  6717.9         
         7.872676                   10290                  16180.939056               133.000320                37743607.5                  1777.5         
         8.997344                   11945                  18783.860293               -58.584547                43701718.7                  3703.6         
        10.122012                   13583                  21356.225762              -201.622525                49676920.0                  9770.4         
        11.246680                   15057                  23672.956573               91.310637                 55072858.6                  2831.5         
        12.371348                   16707                  26265.327580               70.883844                 60978703.2                 -8203.3         
        13.496016                   18284                  28741.188466               107.244811                66582652.8                  8594.4         
        14.620684                   19808                  31132.714580               -40.293850                72211501.7                  3847.6         
        15.745352                   21504                  33793.379045              -208.796834                78635040.5                  3967.6         
        16.870020                   23105                  36303.317742               117.376409                84542433.1                  4880.1         
        17.994688                   24581                  38615.521806               63.609719                 89742296.1                 13237.4         
        19.119356                   26243                  41217.420997               143.053712                95714068.9                 -12444.0        
        20.244024                   27802                  43656.954159               348.195288               101467001.5                  7382.3         
        21.368692                   29292                  45987.188664               234.092385               106832326.7                 -5625.7         
        22.493360                   30985                  48633.220803               434.853224               112602218.6                 -12970.9        
        23.618028                   32610                  51174.333624               123.026072               118208206.3                  2635.7         
        24.742696                   34006                  53355.138710               69.868830                123356566.5                 -17928.4        
        25.867364                   35688                  55981.383336               224.805604               129145501.2                 -9246.2         
        26.992032                   37358                  58588.734173               -66.943515               134874117.3                 -2180.5         
        28.116700                   38781                  60812.378326               -67.816543               140022813.7                 -9963.7         
        29.241368                   40411                  63358.189021               128.151039               145749960.4                 -7440.5         
        30.366036                   42035                  65896.382069               256.281679               151365703.9                  6337.4         
        31.490704                   43482                  68159.031193               -79.176325               156483691.2                 -11147.9        
        32.615372                   45197                  70840.505057               110.810559               162599145.3                  -832.7         
        33.740040                   46819                  73373.577270               142.289477               168256771.3                  8434.2         
        34.864708                   48189                  75518.628229              -255.069665               173314379.5                  6406.3         
        35.989376                   49918                  78221.040567               -7.094785                179676794.2                 -5150.7         
        37.114044                   51592                  80842.131408              -348.386155               185787875.9                 -19284.9        
        38.238712                   52981                  83016.076802              -359.431788               190916607.8                  3525.9         
        39.363380                   54757                  85801.015824               -64.831582               197454900.9                 -14434.7        
        40.488048                   56241                  88121.940737               236.429623               202680379.1                  8751.1         
        41.612716                   57903                  90729.064832               636.150148               208206850.6                  404.3          
        42.737384                   59288                  92897.784669               87.391742                212981521.0                  9892.1         
        43.862052                   61035                  95637.760685               -84.601590               219000222.9                 -5941.4         
        44.986720                   62646                  98160.747478              -207.619679               225036408.0                 15519.1         
        46.111388                   63974                 100241.265791              -328.286043               229840860.3                 -4611.1         
        47.236056                   65869                 103214.815893              -173.714484               237064812.7                  7443.5         
        48.360724                   67286                 105436.081750              -232.091378               242286143.2                  4436.2         
        49.485392                   68903                 107974.075938               99.738514                248203261.8                 23054.0         
        50.610060                   70532                 110526.787709               201.572461               253952338.8                 -6584.4         
        51.734728                   72182                 113119.823299               32.952262                260052382.3                  4001.0         
        52.859396                   73527                 115228.989658               -64.080619               264861573.7                 -9697.6         
        53.984064                   75348                 118086.100233               194.811268               271395661.2                 17976.3         
        55.108732                   76853                 120450.274506              -516.733878               277184434.6                 25468.4         
        56.233400                   78491                 123021.366583              -372.293298               283652911.9                 33454.2         
        57.358068                   79992                 125372.722093              -245.607184               289055478.6                 38567.9         
        58.482736                   81628                 127941.404485               542.504396               294831973.7                 -29838.7        
        59.607404                   83148                 130323.110736               117.613909               299894150.6                 -24014.9        
        60.732072                   84855                 132996.295732              -352.636235               305937800.2                 43214.8         
        61.856740                   86368                 135362.633483               25.890019                311668927.8                 -13530.0        
        62.981408                   87918                 137786.273717               17.637085                317470130.8                 43540.3         
        64.106076                   89627                 140449.079113               199.783761               323493850.6                 -12065.2        
        65.230744                   91058                 142679.158086              -334.267213               328683480.4                 -17785.7        
        66.355412                   92631                 145127.634000               503.449393               334316577.0                 -19260.7        
        67.480080                   94501                 148028.485244              -162.849676               340850951.0                 20573.1         
        68.604748                   95749                 149960.409758               197.449071               345744898.6                 -6374.5         
        69.729416                   97351                 152445.916100              1037.593520               351119176.4                 -45146.3        
        70.854084                   99041                 155050.569935               946.711062               356174976.0                 -52993.7        
        71.978752                   100503                157305.257163               571.642040               360669391.2                 -38739.7        
        73.103420                   101940                159513.827610              -210.981610               365868923.5                 20624.8         
        74.228088                   103767                162317.014657               576.959413               372332803.9                 -26121.7        
        75.352756                   105086                164327.238249              1098.022397               376128153.0                 -17388.4        
        76.477424                   106608                166647.296122               436.832654               380787779.2                 45574.7         
        77.602092                   108382                169348.903120               678.785568               386641191.6                 -9703.4         
        78.726760                   109913                171651.810010               930.654087               391566276.0                  3057.6         
        79.851428                   111136                173462.498433              1025.673028               395266047.6                 -56267.9        
        80.976096                   112816                175964.649239              1156.150590               400055885.1                 -60985.7        
        82.100764                   114475                178395.964002              1476.398102               404956315.4                 -80167.1        
        83.225432                   115653                180048.463538              1293.253485               407733407.0                 -51395.6        
        84.350100                   117461                182641.751836              1562.636613               413146198.6                 -90385.0        
        85.474768                   118947                184667.833873              1296.829874               417386247.5                 -39145.5        
        86.599436                   120158                186223.984222              2049.873948               420419773.8                 -49392.5        
        87.724104                   121689                188193.259230              2807.714252               423408721.5                 -54015.1        
        88.848772                   122988                189750.100830              3699.859735               425417331.4                -190777.4        
        89.973440                   124212                191116.789821              4147.094759               426725709.0                -120119.3        
        91.098108                   125200                191979.825266              4545.752325               427535715.9                -115064.0        
        92.222776                   126583                193391.391476              4559.364554               429856090.7                 -73968.9        
        93.347444                   127343                193658.945202              5856.798024               429096622.5                 -63015.9        
        94.472112                   128110                193818.090310              6472.023022               427998338.2                 -69834.9        
        95.596780                   128641                193466.393617              8487.389831               425385215.0                -135211.8        
        96.721448                   129205                192993.635285              9764.133083               421772214.5                -153399.9        
        97.846116                   129261                191679.015840              10375.727635              416351263.6                -130208.6        
        98.970784                   128700                189555.927798              11678.438995              409028145.4                -195834.0        
        100.095452                  127944                187092.818856              12663.254377              401042899.4                -245375.3        
        101.220120                  126755                184058.329833              13130.161096              392383828.7                -293205.3        
        102.344788                  125224                180673.432312              13854.003341              383172509.6                -335442.2        
        103.469456                  123232                176582.529050              14609.235975              372230034.2                -429567.1        
        104.594124                  121004                172240.178079              14857.740054              361125645.7                -394310.0        
        105.718792                  118468                167697.777045              15262.272640              349731024.9                -402787.4        
        106.843460                  115471                162622.504896              14957.353650              337717894.4                -446285.4        
        107.968128                  112300                157309.962888              15331.866199              324794952.6                -470511.6        
        109.092796                  109078                151949.323281              14950.216900              312445158.0                -515193.9        
        110.217464                  105608                146404.349349              15158.594965              300479237.3                -538388.8        
        111.342132                  101834                140664.883285              15397.578555              287690023.4                -626327.3        
        112.466800                  98305                 135059.290665              15170.202424              274979887.9                -602475.5        
        113.591468                  94403                 129085.867343              15141.135797              261418611.9                -691925.8        
        114.716136                  90609                 123030.051401              15097.927964              248141934.5                -824354.5        
        115.840804                  87151                 117400.040948              15401.320334              234879554.3                -886694.6        
        116.965472                  83344                 111302.823415              15761.024152              220920266.8                -935856.8        
        118.090140                  79424                 105008.345787              15839.208916              206443451.2                -987262.9        
        119.214808                  75189                  98622.650307              15548.539952              192458890.9                -994551.7        
        120.339476                  71067                  92282.338582              15101.608971              178309041.9                -1032369.3       
        121.464144                  66514                  85600.805149              14900.995597              164224851.3                -1100942.7       
        122.588812                  62064                  79090.982218              14347.205777              150185914.2                -1095212.9       
        123.713480                  57691                  72818.177755              13654.331450              137216324.7                -1148875.3       
        124.838148                  53381                  66413.496789              13547.974237              123876114.9                -1183411.8       
        125.962816                  49385                  60422.246080              12949.582039              111230729.8                -1177575.7       
        127.087484                  45586                  54646.877593              13308.436415               98941440.6                -1297110.1       
        128.212152                  41330                  48432.728848              12655.138319               85666726.2                -1311084.9       
        129.336820                  37171                  42536.981284              11618.137375               73652468.4                -1184365.9       
        130.461488                  33133                  37050.693799              11255.468637               62823761.1                -1170763.0       
        131.586156                  28666                  31208.286697              10312.057260               51520562.2                -1084207.0       
        132.710824                  24702                  26201.324257              9304.287316                41834951.9                -997208.2        
        133.835492                  20685                  21422.561150              8141.284834                33147211.8                -910371.8        
