             tauB                            r                             g(r)             
           100.000                         0.102                          0.000             
           100.000                         0.107                          0.000             
           100.000                         0.112                          0.000             
           100.000                         0.117                          0.000             
           100.000                         0.121                          0.000             
           100.000                         0.126                          0.000             
           100.000                         0.131                          0.000             
           100.000                         0.136                          0.000             
           100.000                         0.140                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.159                          0.000             
           100.000                         0.164                          0.000             
           100.000                         0.169                          0.000             
           100.000                         0.173                          0.000             
           100.000                         0.178                          0.000             
           100.000                         0.183                          0.000             
           100.000                         0.188                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.211                          0.000             
           100.000                         0.216                          0.000             
           100.000                         0.221                          0.000             
           100.000                         0.226                          0.000             
           100.000                         0.230                          0.000             
           100.000                         0.235                          0.000             
           100.000                         0.240                          0.000             
           100.000                         0.245                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.254                          0.000             
           100.000                         0.259                          0.000             
           100.000                         0.264                          0.000             
           100.000                         0.268                          0.000             
           100.000                         0.273                          0.000             
           100.000                         0.278                          0.000             
           100.000                         0.283                          0.000             
           100.000                         0.287                          0.000             
           100.000                         0.292                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.306                          0.000             
           100.000                         0.311                          0.000             
           100.000                         0.316                          0.000             
           100.000                         0.320                          0.000             
           100.000                         0.325                          0.000             
           100.000                         0.330                          0.000             
           100.000                         0.335                          0.000             
           100.000                         0.339                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.358                          0.000             
           100.000                         0.363                          0.000             
           100.000                         0.368                          0.000             
           100.000                         0.373                          0.000             
           100.000                         0.377                          0.000             
           100.000                         0.382                          0.000             
           100.000                         0.387                          0.000             
           100.000                         0.392                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.406                          0.003             
           100.000                         0.411                          0.017             
           100.000                         0.415                          0.076             
           100.000                         0.420                          0.239             
           100.000                         0.425                          0.439             
           100.000                         0.430                          0.910             
           100.000                         0.434                          1.298             
           100.000                         0.439                          1.908             
           100.000                         0.444                          2.318             
           100.000                         0.448                          2.684             
           100.000                         0.453                          2.978             
           100.000                         0.458                          3.036             
           100.000                         0.463                          3.265             
           100.000                         0.467                          3.153             
           100.000                         0.472                          2.903             
           100.000                         0.477                          2.765             
           100.000                         0.482                          2.791             
           100.000                         0.486                          2.562             
           100.000                         0.491                          2.347             
           100.000                         0.496                          2.382             
           100.000                         0.501                          2.317             
           100.000                         0.505                          2.121             
           100.000                         0.510                          2.094             
           100.000                         0.515                          2.061             
           100.000                         0.520                          1.905             
           100.000                         0.524                          1.849             
           100.000                         0.529                          1.721             
           100.000                         0.534                          1.813             
           100.000                         0.539                          1.647             
           100.000                         0.543                          1.530             
           100.000                         0.548                          1.485             
           100.000                         0.553                          1.552             
           100.000                         0.558                          1.633             
           100.000                         0.562                          1.482             
           100.000                         0.567                          1.487             
           100.000                         0.572                          1.346             
           100.000                         0.577                          1.270             
           100.000                         0.581                          1.250             
           100.000                         0.586                          1.317             
           100.000                         0.591                          1.324             
           100.000                         0.595                          1.321             
           100.000                         0.600                          1.249             
           100.000                         0.605                          1.229             
           100.000                         0.610                          1.314             
           100.000                         0.614                          1.273             
           100.000                         0.619                          1.253             
           100.000                         0.624                          1.222             
           100.000                         0.629                          1.113             
           100.000                         0.633                          1.175             
           100.000                         0.638                          1.168             
           100.000                         0.643                          1.096             
           100.000                         0.648                          1.112             
           100.000                         0.652                          1.138             
           100.000                         0.657                          1.207             
           100.000                         0.662                          1.119             
           100.000                         0.667                          1.127             
           100.000                         0.671                          1.118             
           100.000                         0.676                          1.097             
           100.000                         0.681                          1.056             
           100.000                         0.686                          1.072             
           100.000                         0.690                          1.129             
           100.000                         0.695                          1.103             
           100.000                         0.700                          1.135             
           100.000                         0.705                          1.053             
           100.000                         0.709                          1.166             
           100.000                         0.714                          1.061             
           100.000                         0.719                          1.024             
           100.000                         0.723                          1.105             
           100.000                         0.728                          1.077             
           100.000                         0.733                          1.046             
           100.000                         0.738                          0.978             
           100.000                         0.742                          1.027             
           100.000                         0.747                          1.018             
           100.000                         0.752                          1.015             
           100.000                         0.757                          0.994             
           100.000                         0.761                          1.077             
           100.000                         0.766                          1.038             
           100.000                         0.771                          0.991             
           100.000                         0.776                          1.010             
           100.000                         0.780                          1.001             
           100.000                         0.785                          1.045             
           100.000                         0.790                          1.001             
           100.000                         0.795                          1.076             
           100.000                         0.799                          1.151             
           100.000                         0.804                          1.006             
           100.000                         0.809                          1.057             
           100.000                         0.814                          1.007             
           100.000                         0.818                          1.005             
           100.000                         0.823                          1.072             
           100.000                         0.828                          1.092             
           100.000                         0.833                          1.039             
           100.000                         0.837                          1.037             
           100.000                         0.842                          1.028             
           100.000                         0.847                          1.072             
           100.000                         0.852                          1.034             
           100.000                         0.856                          0.998             
           100.000                         0.861                          1.084             
           100.000                         0.866                          1.040             
           100.000                         0.870                          1.076             
           100.000                         0.875                          1.057             
           100.000                         0.880                          1.023             
           100.000                         0.885                          1.071             
           100.000                         0.889                          1.136             
           100.000                         0.894                          1.078             
           100.000                         0.899                          1.127             
           100.000                         0.904                          1.094             
           100.000                         0.908                          1.145             
           100.000                         0.913                          1.055             
           100.000                         0.918                          1.086             
           100.000                         0.923                          1.094             
           100.000                         0.927                          1.006             
           100.000                         0.932                          1.083             
           100.000                         0.937                          1.069             
           100.000                         0.942                          1.131             
           100.000                         0.946                          1.014             
           100.000                         0.951                          1.019             
           100.000                         0.956                          1.115             
           100.000                         0.961                          1.064             
           100.000                         0.965                          1.021             
           100.000                         0.970                          1.056             
           100.000                         0.975                          1.143             
           100.000                         0.980                          1.081             
           100.000                         0.984                          1.098             
           100.000                         0.989                          1.040             
           100.000                         0.994                          1.052             
           100.000                         0.998                          1.010             
           100.000                         1.003                          1.007             
           100.000                         1.008                          1.050             
           100.000                         1.013                          1.001             
           100.000                         1.017                          1.066             
           100.000                         1.022                          1.072             
           100.000                         1.027                          1.051             
           100.000                         1.032                          1.112             
           100.000                         1.036                          1.053             
           100.000                         1.041                          1.003             
           100.000                         1.046                          1.060             
           100.000                         1.051                          1.053             
           100.000                         1.055                          1.042             
           100.000                         1.060                          1.057             
           100.000                         1.065                          1.049             
           100.000                         1.070                          1.086             
           100.000                         1.074                          1.079             
           100.000                         1.079                          1.059             
           100.000                         1.084                          1.020             
           100.000                         1.089                          1.051             
           100.000                         1.093                          0.960             
           100.000                         1.098                          1.059             
           100.000                         1.103                          1.055             
           100.000                         1.108                          1.039             
           100.000                         1.112                          1.096             
           100.000                         1.117                          1.064             
           100.000                         1.122                          1.061             
           100.000                         1.127                          1.009             
           100.000                         1.131                          1.063             
           100.000                         1.136                          1.060             
           100.000                         1.141                          0.985             
           100.000                         1.145                          1.041             
           100.000                         1.150                          1.026             
           100.000                         1.155                          0.983             
           100.000                         1.160                          1.054             
           100.000                         1.164                          1.076             
           100.000                         1.169                          1.040             
           100.000                         1.174                          1.006             
           100.000                         1.179                          1.006             
           100.000                         1.183                          0.995             
           100.000                         1.188                          0.995             
           100.000                         1.193                          1.060             
           100.000                         1.198                          1.016             
           100.000                         1.202                          1.080             
           100.000                         1.207                          1.055             
           100.000                         1.212                          1.048             
           100.000                         1.217                          1.003             
           100.000                         1.221                          0.996             
           100.000                         1.226                          1.022             
           100.000                         1.231                          1.023             
           100.000                         1.236                          1.044             
           100.000                         1.240                          1.019             
           100.000                         1.245                          1.081             
           100.000                         1.250                          0.986             
           100.000                         1.255                          1.040             
           100.000                         1.259                          0.986             
           100.000                         1.264                          1.022             
           100.000                         1.269                          0.961             
           100.000                         1.273                          1.040             
           100.000                         1.278                          1.001             
           100.000                         1.283                          1.082             
           100.000                         1.288                          1.049             
           100.000                         1.292                          1.060             
           100.000                         1.297                          1.032             
           100.000                         1.302                          0.983             
           100.000                         1.307                          1.068             
           100.000                         1.311                          0.987             
           100.000                         1.316                          1.012             
           100.000                         1.321                          1.044             
           100.000                         1.326                          1.037             
           100.000                         1.330                          1.056             
           100.000                         1.335                          1.004             
           100.000                         1.340                          1.037             
           100.000                         1.345                          0.985             
           100.000                         1.349                          1.052             
           100.000                         1.354                          1.066             
           100.000                         1.359                          0.990             
           100.000                         1.364                          0.995             
           100.000                         1.368                          1.037             
           100.000                         1.373                          1.014             
           100.000                         1.378                          0.994             
           100.000                         1.383                          0.989             
           100.000                         1.387                          1.041             
           100.000                         1.392                          1.028             
           100.000                         1.397                          0.953             
           100.000                         1.402                          1.038             
           100.000                         1.406                          1.010             
           100.000                         1.411                          1.001             
           100.000                         1.416                          1.038             
           100.000                         1.420                          1.015             
           100.000                         1.425                          0.993             
           100.000                         1.430                          1.062             
           100.000                         1.435                          1.028             
           100.000                         1.439                          0.971             
           100.000                         1.444                          0.991             
           100.000                         1.449                          1.008             
           100.000                         1.454                          1.006             
           100.000                         1.458                          1.019             
           100.000                         1.463                          1.039             
           100.000                         1.468                          1.003             
           100.000                         1.473                          1.041             
           100.000                         1.477                          1.004             
           100.000                         1.482                          0.999             
           100.000                         1.487                          1.029             
           100.000                         1.492                          1.024             
           100.000                         1.496                          1.024             
           100.000                         1.501                          1.015             
           100.000                         1.506                          1.056             
           100.000                         1.511                          1.058             
           100.000                         1.515                          0.980             
           100.000                         1.520                          1.006             
           100.000                         1.525                          0.996             
           100.000                         1.530                          0.968             
           100.000                         1.534                          1.007             
           100.000                         1.539                          1.013             
           100.000                         1.544                          1.010             
           100.000                         1.548                          1.051             
           100.000                         1.553                          0.990             
           100.000                         1.558                          0.996             
           100.000                         1.563                          1.030             
           100.000                         1.567                          1.001             
           100.000                         1.572                          1.016             
           100.000                         1.577                          1.001             
           100.000                         1.582                          0.991             
           100.000                         1.586                          0.984             
           100.000                         1.591                          1.035             
           100.000                         1.596                          0.968             
           100.000                         1.601                          1.000             
           100.000                         1.605                          0.973             
           100.000                         1.610                          0.994             
           100.000                         1.615                          0.956             
           100.000                         1.620                          1.030             
           100.000                         1.624                          1.040             
           100.000                         1.629                          1.009             
           100.000                         1.634                          1.034             
           100.000                         1.639                          0.985             
           100.000                         1.643                          1.047             
           100.000                         1.648                          0.967             
           100.000                         1.653                          1.058             
           100.000                         1.658                          1.023             
           100.000                         1.662                          0.978             
           100.000                         1.667                          1.015             
           100.000                         1.672                          1.018             
           100.000                         1.677                          1.049             
           100.000                         1.681                          0.986             
           100.000                         1.686                          1.017             
           100.000                         1.691                          1.042             
           100.000                         1.695                          1.029             
           100.000                         1.700                          0.976             
           100.000                         1.705                          0.988             
           100.000                         1.710                          1.008             
           100.000                         1.714                          0.971             
           100.000                         1.719                          1.064             
           100.000                         1.724                          1.013             
           100.000                         1.729                          0.994             
           100.000                         1.733                          1.011             
           100.000                         1.738                          0.952             
           100.000                         1.743                          1.038             
           100.000                         1.748                          1.003             
           100.000                         1.752                          1.028             
           100.000                         1.757                          1.002             
           100.000                         1.762                          1.008             
           100.000                         1.767                          1.047             
           100.000                         1.771                          1.042             
           100.000                         1.776                          1.056             
           100.000                         1.781                          1.015             
           100.000                         1.786                          1.002             
           100.000                         1.790                          0.954             
           100.000                         1.795                          0.999             
           100.000                         1.800                          1.022             
           100.000                         1.805                          1.029             
           100.000                         1.809                          1.024             
           100.000                         1.814                          0.985             
           100.000                         1.819                          1.047             
           100.000                         1.823                          1.061             
           100.000                         1.828                          0.951             
           100.000                         1.833                          1.006             
           100.000                         1.838                          1.024             
           100.000                         1.842                          0.987             
           100.000                         1.847                          1.016             
           100.000                         1.852                          1.028             
           100.000                         1.857                          1.051             
           100.000                         1.861                          0.964             
           100.000                         1.866                          1.015             
           100.000                         1.871                          0.995             
           100.000                         1.876                          1.011             
           100.000                         1.880                          0.980             
           100.000                         1.885                          0.996             
           100.000                         1.890                          0.992             
           100.000                         1.895                          1.009             
           100.000                         1.899                          1.019             
           100.000                         1.904                          0.979             
           100.000                         1.909                          1.055             
           100.000                         1.914                          1.037             
           100.000                         1.918                          0.987             
           100.000                         1.923                          1.015             
           100.000                         1.928                          1.016             
           100.000                         1.933                          1.037             
           100.000                         1.937                          1.043             
           100.000                         1.942                          1.008             
           100.000                         1.947                          1.031             
           100.000                         1.952                          1.031             
           100.000                         1.956                          0.977             
           100.000                         1.961                          0.981             
           100.000                         1.966                          1.000             
           100.000                         1.970                          1.011             
           100.000                         1.975                          0.996             
           100.000                         1.980                          1.037             
           100.000                         1.985                          0.996             
           100.000                         1.989                          1.058             
           100.000                         1.994                          1.005             
           100.000                         1.999                          1.027             
           100.000                         2.004                          1.003             
           100.000                         2.008                          0.990             
           100.000                         2.013                          1.014             
           100.000                         2.018                          1.021             
           100.000                         2.023                          1.050             
           100.000                         2.027                          0.985             
           100.000                         2.032                          0.991             
           100.000                         2.037                          1.031             
           100.000                         2.042                          1.002             
           100.000                         2.046                          0.963             
           100.000                         2.051                          1.004             
           100.000                         2.056                          1.002             
           100.000                         2.061                          1.012             
           100.000                         2.065                          0.985             
           100.000                         2.070                          1.017             
           100.000                         2.075                          1.014             
           100.000                         2.080                          0.991             
           100.000                         2.084                          0.985             
           100.000                         2.089                          1.023             
           100.000                         2.094                          1.038             
           100.000                         2.099                          1.063             
           100.000                         2.103                          0.985             
           100.000                         2.108                          1.000             
           100.000                         2.113                          0.978             
           100.000                         2.117                          1.004             
           100.000                         2.122                          1.003             
           100.000                         2.127                          1.040             
           100.000                         2.132                          0.985             
           100.000                         2.136                          1.034             
           100.000                         2.141                          0.983             
           100.000                         2.146                          1.003             
           100.000                         2.151                          0.981             
           100.000                         2.155                          1.015             
           100.000                         2.160                          0.966             
           100.000                         2.165                          0.996             
           100.000                         2.170                          1.022             
           100.000                         2.174                          1.003             
           100.000                         2.179                          0.989             
           100.000                         2.184                          1.013             
           100.000                         2.189                          0.980             
           100.000                         2.193                          0.997             
           100.000                         2.198                          1.009             
           100.000                         2.203                          0.995             
           100.000                         2.208                          1.063             
           100.000                         2.212                          0.987             
           100.000                         2.217                          1.006             
           100.000                         2.222                          0.966             
           100.000                         2.227                          0.979             
           100.000                         2.231                          1.004             
           100.000                         2.236                          0.999             
           100.000                         2.241                          1.009             
           100.000                         2.245                          0.988             
           100.000                         2.250                          1.015             
           100.000                         2.255                          1.029             
           100.000                         2.260                          0.999             
           100.000                         2.264                          1.025             
           100.000                         2.269                          1.023             
           100.000                         2.274                          1.015             
           100.000                         2.279                          0.989             
           100.000                         2.283                          0.963             
           100.000                         2.288                          1.028             
           100.000                         2.293                          0.996             
           100.000                         2.298                          1.042             
           100.000                         2.302                          0.964             
           100.000                         2.307                          1.018             
           100.000                         2.312                          1.014             
           100.000                         2.317                          1.022             
           100.000                         2.321                          0.956             
           100.000                         2.326                          0.978             
           100.000                         2.331                          1.006             
           100.000                         2.336                          0.978             
           100.000                         2.340                          1.015             
           100.000                         2.345                          0.977             
           100.000                         2.350                          1.015             
           100.000                         2.355                          1.023             
           100.000                         2.359                          1.008             
           100.000                         2.364                          1.032             
           100.000                         2.369                          1.005             
           100.000                         2.374                          0.992             
           100.000                         2.378                          1.017             
           100.000                         2.383                          1.030             
           100.000                         2.388                          0.985             
