             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.000             
           100.000                         0.412                          0.000             
           100.000                         0.417                          0.000             
           100.000                         0.422                          0.002             
           100.000                         0.428                          0.002             
           100.000                         0.433                          0.013             
           100.000                         0.438                          0.080             
           100.000                         0.443                          0.248             
           100.000                         0.449                          0.702             
           100.000                         0.454                          1.843             
           100.000                         0.459                          4.589             
           100.000                         0.464                          9.777             
           100.000                         0.469                          16.271            
           100.000                         0.475                          20.856            
           100.000                         0.480                          22.850            
           100.000                         0.485                          21.305            
           100.000                         0.490                          17.819            
           100.000                         0.496                          13.511            
           100.000                         0.501                          9.951             
           100.000                         0.506                          7.786             
           100.000                         0.511                          5.638             
           100.000                         0.517                          4.399             
           100.000                         0.522                          3.677             
           100.000                         0.527                          3.148             
           100.000                         0.532                          2.911             
           100.000                         0.538                          2.718             
           100.000                         0.543                          2.584             
           100.000                         0.548                          2.371             
           100.000                         0.553                          2.219             
           100.000                         0.559                          2.013             
           100.000                         0.564                          1.946             
           100.000                         0.569                          1.794             
           100.000                         0.574                          1.787             
           100.000                         0.580                          1.552             
           100.000                         0.585                          1.478             
           100.000                         0.590                          1.425             
           100.000                         0.595                          1.372             
           100.000                         0.601                          1.296             
           100.000                         0.606                          1.255             
           100.000                         0.611                          1.171             
           100.000                         0.616                          1.154             
           100.000                         0.621                          1.073             
           100.000                         0.627                          0.990             
           100.000                         0.632                          0.983             
           100.000                         0.637                          0.985             
           100.000                         0.642                          0.990             
           100.000                         0.648                          0.884             
           100.000                         0.653                          0.872             
           100.000                         0.658                          0.876             
           100.000                         0.663                          0.877             
           100.000                         0.669                          0.823             
           100.000                         0.674                          0.806             
           100.000                         0.679                          0.825             
           100.000                         0.684                          0.854             
           100.000                         0.690                          0.783             
           100.000                         0.695                          0.721             
           100.000                         0.700                          0.757             
           100.000                         0.705                          0.674             
           100.000                         0.711                          0.709             
           100.000                         0.716                          0.683             
           100.000                         0.721                          0.716             
           100.000                         0.726                          0.720             
           100.000                         0.732                          0.704             
           100.000                         0.737                          0.689             
           100.000                         0.742                          0.679             
           100.000                         0.747                          0.734             
           100.000                         0.752                          0.639             
           100.000                         0.758                          0.717             
           100.000                         0.763                          0.814             
           100.000                         0.768                          0.749             
           100.000                         0.773                          0.765             
           100.000                         0.779                          0.888             
           100.000                         0.784                          1.100             
           100.000                         0.789                          1.394             
           100.000                         0.794                          1.881             
           100.000                         0.800                          2.441             
           100.000                         0.805                          3.406             
           100.000                         0.810                          4.410             
           100.000                         0.815                          5.475             
           100.000                         0.821                          6.719             
           100.000                         0.826                          7.441             
           100.000                         0.831                          7.801             
           100.000                         0.836                          8.018             
           100.000                         0.842                          7.747             
           100.000                         0.847                          7.262             
           100.000                         0.852                          6.545             
           100.000                         0.857                          5.721             
           100.000                         0.863                          4.827             
           100.000                         0.868                          4.121             
           100.000                         0.873                          3.450             
           100.000                         0.878                          2.875             
           100.000                         0.884                          2.560             
           100.000                         0.889                          2.120             
           100.000                         0.894                          1.930             
           100.000                         0.899                          1.766             
           100.000                         0.904                          1.599             
           100.000                         0.910                          1.609             
           100.000                         0.915                          1.688             
           100.000                         0.920                          1.990             
           100.000                         0.925                          2.503             
           100.000                         0.931                          3.203             
           100.000                         0.936                          4.123             
           100.000                         0.941                          4.905             
           100.000                         0.946                          5.946             
           100.000                         0.952                          6.573             
           100.000                         0.957                          6.972             
           100.000                         0.962                          6.984             
           100.000                         0.967                          6.740             
           100.000                         0.973                          6.338             
           100.000                         0.978                          5.767             
           100.000                         0.983                          5.072             
           100.000                         0.988                          4.474             
           100.000                         0.994                          3.920             
           100.000                         0.999                          3.482             
           100.000                         1.004                          2.881             
           100.000                         1.009                          2.536             
           100.000                         1.015                          2.229             
           100.000                         1.020                          1.980             
           100.000                         1.025                          1.721             
           100.000                         1.030                          1.656             
           100.000                         1.035                          1.514             
           100.000                         1.041                          1.326             
           100.000                         1.046                          1.205             
           100.000                         1.051                          1.145             
           100.000                         1.056                          1.049             
           100.000                         1.062                          1.020             
           100.000                         1.067                          0.967             
           100.000                         1.072                          0.937             
           100.000                         1.077                          0.943             
           100.000                         1.083                          0.884             
           100.000                         1.088                          0.886             
           100.000                         1.093                          0.839             
           100.000                         1.098                          0.814             
           100.000                         1.104                          0.818             
           100.000                         1.109                          0.790             
           100.000                         1.114                          0.735             
           100.000                         1.119                          0.798             
           100.000                         1.125                          0.753             
           100.000                         1.130                          0.743             
           100.000                         1.135                          0.760             
           100.000                         1.140                          0.740             
           100.000                         1.146                          0.762             
           100.000                         1.151                          0.723             
           100.000                         1.156                          0.742             
           100.000                         1.161                          0.694             
           100.000                         1.167                          0.761             
           100.000                         1.172                          0.700             
           100.000                         1.177                          0.744             
           100.000                         1.182                          0.801             
           100.000                         1.187                          0.810             
           100.000                         1.193                          0.870             
           100.000                         1.198                          0.949             
           100.000                         1.203                          1.015             
           100.000                         1.208                          1.239             
           100.000                         1.214                          1.483             
           100.000                         1.219                          1.862             
           100.000                         1.224                          2.125             
           100.000                         1.229                          2.666             
           100.000                         1.235                          3.379             
           100.000                         1.240                          4.106             
           100.000                         1.245                          4.812             
           100.000                         1.250                          5.542             
           100.000                         1.256                          6.228             
           100.000                         1.261                          6.896             
           100.000                         1.266                          7.279             
           100.000                         1.271                          7.543             
           100.000                         1.277                          7.634             
           100.000                         1.282                          7.271             
           100.000                         1.287                          7.140             
           100.000                         1.292                          6.766             
           100.000                         1.298                          6.274             
           100.000                         1.303                          5.723             
           100.000                         1.308                          5.214             
           100.000                         1.313                          4.569             
           100.000                         1.319                          4.105             
           100.000                         1.324                          3.666             
           100.000                         1.329                          3.270             
           100.000                         1.334                          2.858             
           100.000                         1.339                          2.619             
           100.000                         1.345                          2.310             
           100.000                         1.350                          2.056             
           100.000                         1.355                          1.943             
           100.000                         1.360                          1.796             
           100.000                         1.366                          1.703             
           100.000                         1.371                          1.607             
           100.000                         1.376                          1.562             
           100.000                         1.381                          1.633             
           100.000                         1.387                          1.722             
           100.000                         1.392                          1.812             
           100.000                         1.397                          1.950             
           100.000                         1.402                          2.271             
           100.000                         1.408                          2.446             
           100.000                         1.413                          2.791             
           100.000                         1.418                          3.017             
           100.000                         1.423                          3.255             
           100.000                         1.429                          3.536             
           100.000                         1.434                          3.647             
           100.000                         1.439                          3.657             
           100.000                         1.444                          3.637             
           100.000                         1.450                          3.647             
           100.000                         1.455                          3.497             
           100.000                         1.460                          3.381             
           100.000                         1.465                          3.090             
           100.000                         1.470                          2.932             
           100.000                         1.476                          2.736             
           100.000                         1.481                          2.524             
           100.000                         1.486                          2.334             
           100.000                         1.491                          2.061             
           100.000                         1.497                          1.962             
           100.000                         1.502                          1.818             
           100.000                         1.507                          1.630             
           100.000                         1.512                          1.548             
           100.000                         1.518                          1.381             
           100.000                         1.523                          1.373             
           100.000                         1.528                          1.289             
           100.000                         1.533                          1.221             
           100.000                         1.539                          1.158             
           100.000                         1.544                          1.121             
