             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.000             
           100.000                         0.412                          0.000             
           100.000                         0.417                          0.000             
           100.000                         0.422                          0.000             
           100.000                         0.428                          0.000             
           100.000                         0.433                          0.000             
           100.000                         0.438                          0.000             
           100.000                         0.443                          0.000             
           100.000                         0.449                          0.000             
           100.000                         0.454                          0.000             
           100.000                         0.459                          0.000             
           100.000                         0.464                          0.000             
           100.000                         0.469                          0.000             
           100.000                         0.475                          0.000             
           100.000                         0.480                          0.000             
           100.000                         0.485                          0.000             
           100.000                         0.490                          0.000             
           100.000                         0.496                          0.000             
           100.000                         0.501                          0.000             
           100.000                         0.506                          0.000             
           100.000                         0.511                          0.000             
           100.000                         0.517                          0.000             
           100.000                         0.522                          0.000             
           100.000                         0.527                          0.000             
           100.000                         0.532                          0.000             
           100.000                         0.538                          0.000             
           100.000                         0.543                          0.000             
           100.000                         0.548                          0.000             
           100.000                         0.553                          0.000             
           100.000                         0.559                          0.000             
           100.000                         0.564                          0.000             
           100.000                         0.569                          0.000             
           100.000                         0.574                          0.000             
           100.000                         0.580                          0.000             
           100.000                         0.585                          0.000             
           100.000                         0.590                          0.000             
           100.000                         0.595                          0.000             
           100.000                         0.601                          0.000             
           100.000                         0.606                          0.000             
           100.000                         0.611                          0.000             
           100.000                         0.616                          0.000             
           100.000                         0.621                          0.000             
           100.000                         0.627                          0.000             
           100.000                         0.632                          0.000             
           100.000                         0.637                          0.000             
           100.000                         0.642                          0.000             
           100.000                         0.648                          0.000             
           100.000                         0.653                          0.000             
           100.000                         0.658                          0.000             
           100.000                         0.663                          0.000             
           100.000                         0.669                          0.000             
           100.000                         0.674                          0.000             
           100.000                         0.679                          0.000             
           100.000                         0.684                          0.000             
           100.000                         0.690                          0.000             
           100.000                         0.695                          0.000             
           100.000                         0.700                          0.000             
           100.000                         0.705                          0.000             
           100.000                         0.711                          0.000             
           100.000                         0.716                          0.000             
           100.000                         0.721                          0.000             
           100.000                         0.726                          0.000             
           100.000                         0.732                          0.000             
           100.000                         0.737                          0.004             
           100.000                         0.742                          0.022             
           100.000                         0.747                          0.044             
           100.000                         0.752                          0.123             
           100.000                         0.758                          0.254             
           100.000                         0.763                          0.384             
           100.000                         0.768                          0.734             
           100.000                         0.773                          1.196             
           100.000                         0.779                          2.169             
           100.000                         0.784                          3.951             
           100.000                         0.789                          6.351             
           100.000                         0.794                          9.739             
           100.000                         0.800                          13.348            
           100.000                         0.805                          16.587            
           100.000                         0.810                          19.412            
           100.000                         0.815                          20.790            
           100.000                         0.821                          20.534            
           100.000                         0.826                          19.962            
           100.000                         0.831                          17.986            
           100.000                         0.836                          15.717            
           100.000                         0.842                          13.441            
           100.000                         0.847                          11.455            
           100.000                         0.852                          9.323             
           100.000                         0.857                          7.616             
           100.000                         0.863                          6.256             
           100.000                         0.868                          4.950             
           100.000                         0.873                          4.135             
           100.000                         0.878                          3.444             
           100.000                         0.884                          2.754             
           100.000                         0.889                          2.405             
           100.000                         0.894                          1.969             
           100.000                         0.899                          1.715             
           100.000                         0.904                          1.473             
           100.000                         0.910                          1.327             
           100.000                         0.915                          1.120             
           100.000                         0.920                          1.032             
           100.000                         0.925                          0.862             
           100.000                         0.931                          0.817             
           100.000                         0.936                          0.726             
           100.000                         0.941                          0.722             
           100.000                         0.946                          0.588             
           100.000                         0.952                          0.551             
           100.000                         0.957                          0.547             
           100.000                         0.962                          0.485             
           100.000                         0.967                          0.448             
           100.000                         0.973                          0.427             
           100.000                         0.978                          0.396             
           100.000                         0.983                          0.386             
           100.000                         0.988                          0.394             
           100.000                         0.994                          0.371             
           100.000                         0.999                          0.353             
           100.000                         1.004                          0.336             
           100.000                         1.009                          0.305             
           100.000                         1.015                          0.274             
           100.000                         1.020                          0.250             
           100.000                         1.025                          0.241             
           100.000                         1.030                          0.225             
           100.000                         1.035                          0.221             
           100.000                         1.041                          0.201             
           100.000                         1.046                          0.220             
           100.000                         1.051                          0.202             
           100.000                         1.056                          0.217             
           100.000                         1.062                          0.195             
           100.000                         1.067                          0.177             
           100.000                         1.072                          0.176             
           100.000                         1.077                          0.166             
           100.000                         1.083                          0.148             
           100.000                         1.088                          0.166             
           100.000                         1.093                          0.172             
           100.000                         1.098                          0.152             
           100.000                         1.104                          0.165             
           100.000                         1.109                          0.154             
           100.000                         1.114                          0.128             
           100.000                         1.119                          0.150             
           100.000                         1.125                          0.170             
           100.000                         1.130                          0.144             
           100.000                         1.135                          0.146             
           100.000                         1.140                          0.148             
           100.000                         1.146                          0.135             
           100.000                         1.151                          0.142             
           100.000                         1.156                          0.138             
           100.000                         1.161                          0.129             
           100.000                         1.167                          0.127             
           100.000                         1.172                          0.131             
           100.000                         1.177                          0.141             
           100.000                         1.182                          0.139             
           100.000                         1.187                          0.135             
           100.000                         1.193                          0.138             
           100.000                         1.198                          0.155             
           100.000                         1.203                          0.135             
           100.000                         1.208                          0.149             
           100.000                         1.214                          0.125             
           100.000                         1.219                          0.128             
           100.000                         1.224                          0.139             
           100.000                         1.229                          0.129             
           100.000                         1.235                          0.150             
           100.000                         1.240                          0.137             
           100.000                         1.245                          0.144             
           100.000                         1.250                          0.149             
           100.000                         1.256                          0.158             
           100.000                         1.261                          0.139             
           100.000                         1.266                          0.159             
           100.000                         1.271                          0.156             
           100.000                         1.277                          0.165             
           100.000                         1.282                          0.174             
           100.000                         1.287                          0.177             
           100.000                         1.292                          0.187             
           100.000                         1.298                          0.212             
           100.000                         1.303                          0.241             
           100.000                         1.308                          0.267             
           100.000                         1.313                          0.284             
           100.000                         1.319                          0.312             
           100.000                         1.324                          0.377             
           100.000                         1.329                          0.423             
           100.000                         1.334                          0.532             
           100.000                         1.339                          0.637             
           100.000                         1.345                          0.791             
           100.000                         1.350                          0.979             
           100.000                         1.355                          1.170             
           100.000                         1.360                          1.458             
           100.000                         1.366                          1.829             
           100.000                         1.371                          2.238             
           100.000                         1.376                          2.696             
           100.000                         1.381                          3.169             
           100.000                         1.387                          3.663             
           100.000                         1.392                          4.246             
           100.000                         1.397                          4.760             
           100.000                         1.402                          5.302             
           100.000                         1.408                          5.684             
           100.000                         1.413                          6.276             
           100.000                         1.418                          6.555             
           100.000                         1.423                          6.723             
           100.000                         1.429                          6.728             
           100.000                         1.434                          6.687             
           100.000                         1.439                          6.591             
           100.000                         1.444                          6.244             
           100.000                         1.450                          5.878             
           100.000                         1.455                          5.415             
           100.000                         1.460                          5.089             
           100.000                         1.465                          4.684             
           100.000                         1.470                          4.066             
           100.000                         1.476                          3.707             
           100.000                         1.481                          3.192             
           100.000                         1.486                          2.841             
           100.000                         1.491                          2.541             
           100.000                         1.497                          2.183             
           100.000                         1.502                          1.940             
           100.000                         1.507                          1.723             
           100.000                         1.512                          1.497             
           100.000                         1.518                          1.363             
           100.000                         1.523                          1.150             
           100.000                         1.528                          1.062             
           100.000                         1.533                          1.003             
           100.000                         1.539                          0.965             
           100.000                         1.544                          0.893             
