 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   2.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     1.7200     0.3850     1.6900     0.3850     1.7300     0.3750     1.8250     0.3800     1.7750     0.3450     1.6050  
   4.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3600     1.7200     0.3300     1.6900     0.3450     1.7300     0.3400     1.8250     0.3450     1.8000     0.3200     1.6150  
   6.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.3200     1.6800     0.3050     1.6900     0.3050     1.7300     0.2950     1.8100     0.2950     1.7750     0.2650     1.5950  
   8.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.2750     1.6350     0.2500     1.6900     0.2650     1.7300     0.2650     1.7800     0.2550     1.7500     0.2400     1.5800  
   10.0      0.2500     1.7500     0.3300     1.9950     0.2500     1.9350     0.2400     1.5550     0.2200     1.6900     0.2200     1.7300     0.2150     1.7300     0.2200     1.7150     0.1950     1.5450  
   12.0      0.2500     1.7500     0.2200     1.9950     0.1850     1.9350     0.1950     1.5150     0.1900     1.6900     0.1800     1.7300     0.1850     1.7000     0.1850     1.6650     0.1600     1.5400  
   14.0      0.2500     1.7500     0.2200     1.9950     0.1850     1.9350     0.1600     1.4800     0.1650     1.6900     0.1600     1.7300     0.1550     1.7000     0.1450     1.6250     0.1350     1.5300  
   16.0      0.2500     1.7500     0.2200     1.9950     0.1250     1.9350     0.1600     1.4800     0.1350     1.6900     0.1200     1.7300     0.1250     1.7000     0.1200     1.5900     0.1200     1.5050  
   18.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.1100     1.5650     0.0950     1.5050  
   20.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.0900     1.7000     0.0950     1.5650     0.0900     1.5000  
