 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.0600     0.3950     0.9150     0.3850     1.0250     0.3850     1.0400     0.3900     0.9800     0.4800     1.0000     0.4300     0.9250  
   20.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1250     0.3950     0.9600     0.3850     1.0250     0.3850     1.0600     0.3900     1.0000     0.4300     1.0100     0.4300     0.9250  
   30.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     0.9600     0.3850     1.0250     0.3850     1.0800     0.3900     1.0000     0.3700     1.0200     0.4300     0.9450  
   40.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0400     0.3850     1.0250     0.3850     1.0800     0.3900     1.0150     0.3950     1.0350     0.4050     0.9600  
   50.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0400     0.3850     1.0250     0.3850     1.0800     0.3900     1.0150     0.3800     1.0200     0.3750     0.9450  
   60.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0400     0.3850     1.0250     0.3850     1.0800     0.3900     1.0150     0.3950     1.0200     0.3950     0.9600  
   70.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0400     0.3850     1.0250     0.3850     1.1000     0.3900     1.0150     0.3950     1.0350     0.3700     0.9600  
   80.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0750     0.3850     1.0250     0.3850     1.0800     0.3900     1.0150     0.3950     1.0350     0.3850     0.9600  
   90.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0750     0.3850     1.0250     0.3850     1.0800     0.3900     1.0300     0.3950     1.0350     0.3600     0.9600  
   99.9      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.3950     1.0750     0.3850     1.0250     0.3850     1.1200     0.3900     1.0300     0.3950     1.0350     0.3600     0.9600  
