 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         7        89614      100000       34        180         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        744       17197      100000      2459      78873       1299      71401       336       51720       185       40941        8         4697        0          0          0          0          0          0          0          0     
   0.2        932       17482      100000      2468      78446       1289      70870       311       51869       158       41242        16       10026        0          0          0          0          0          0          0          0     
   0.3        1486      17307      100000      2507      78822       1320      71091       311       50386       155       39546        16       11743        1         1486        0          0          0          0          0          0     
   0.4        1616      17207      100000      2382      78793       1285      71731       312       52267       171       42382        13        9993        3         3704        0          0          0          0          0          0     
   0.5        1676      17346      100000      2419      78693       1278      71450       311       51416       153       40223        16       13684        3         4420        0          0          0          0          0          0     
   0.6        1690      17641      100000      2425      78002       1256      70462       299       51202       148       40825        18       13987        4         5051        0          0          0          0          0          0     
   0.7        2130      17651      100000      2402      78118       1195      70360       295       52159       151       42252        19       16756        6         8500        0          0          0          0          0          0     
   0.8        2528      17767      100000      2497      77826       1278      70058       305       50682       143       39442        16       15086        5         7850        0          0          0          0          0          0     
   0.9        2478      17700      100000      2498      78093       1308      70468       278       50214       140       40672        18       17674        6         9589        0          0          0          0          0          0     
   1.0        2924      17794      100000      2485      77910       1252      69928       290       51066       136       40378        15       16652        6        10636        0          0          0          0          0          0     
   1.1        3774      18035      100000      2510      77610       1281      69759       275       49724       143       40755        13       16638        6        11877        0          0          0          0          0          0     
   1.2        4243      18218      100000      2546      77335       1312      69355       265       48373       123       38769        11       16469        5        12628        0          0          0          0          0          0     
   1.3        5100      18695      100000      2564      76700       1295      68496       247       47917       118       39103        14       19591        4        13227        1         5100        0          0          0          0     
   1.4        6102      18857      100000      2602      76376       1256      67765       222       47381       104       39437        13       22049        5        17071        2        12066        0          0          0          0     
   1.5        7151      19279      100000      2557      75735       1257      67432       201       47084        84       38853        13       25312        5        19730        2        14201        0          0          0          0     
   1.6        8128      19522      100000      2617      75558       1245      66742       198       46419        77       38069        10       26751        6        24167        2        16204        0          0          0          0     
   1.7        9244      19987      100000      2601      74943       1231      66106       175       45770        67       38307        9        28252        5        25715        2        18422        0          0          0          0     
   1.8       10585      20025      100000      2544      74638       1159      65643       149       45861        45       38771        9        32540        6        30626        2        20965        2        20965        0          0     
   1.9       11890      20508      100000      2416      73852       1084      65266       141       47239        41       40375        5        33685        5        33685        2        23717        2        23717        0          0     
   2.0       16843      20852      100000      2392      73158       1042      64440        93       46738        32       42535        4        37849        4        37849        2        30095        2        30095        0          0     
   2.1       18702      21187      100000      2398      72953       943       63693        76       47949        23       44365        4        41575        4        41575        2        33300        2        33300        0          0     
   2.2       20487      21188      100000      2235      72855       842       63947        56       50100        14       47451        4        45532        4        45532        3        42207        2        36467        0          0     
   2.3       22175      21087      100000      2099      72825       751       64186        34       51742        9        50144        4        49336        4        49336        3        45857        2        39573        0          0     
