 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       69190      100000      1471       9064        75        863         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        7512      100000      788       90445       349       87622        58       81879        25       79484        13       77566        9        74750        3        58840        2        50630        0          0     
   0.2        8199      100000      915       89823       449       86874        79       79489        43       77059        14       71444        10       68734        4        55654        2        43329        0          0     
   0.3        8885      100000      1061      88698       518       85237        86       76861        45       73854        19       68425        15       65872        1        36296        1        36296        0          0     
   0.4        9924      100000      1301      87550       596       82992       102       72837        56       69707        22       63414        18       60680        3        27952        2        21579        0          0     
   0.5       10951      100000      1434      86078       689       81228       120       70524        53       65959        21       60070        20       59520        2        13851        0          0          0          0     
   0.6       12298      100000      1426      84155       591       78775        69       69212        36       67035        15       63524        12       61175        3        36218        2        30811        0          0     
   0.7       12572      100000      1328      83908       494       78581        41       70940        25       69919        16       68696        15       67952        4        37960        1        13347        0          0     
   0.8       12419      100000      1081      83661       326       78880        22       74080        16       73731        15       73429        15       73429        4        39381        3        33793        0          0     
   0.9       12055      100000      914       84100       225       79739        13       76736        11       76606        11       76606        11       76606        5        62124        3        51498        0          0     
   1.0       12143      100000      869       84020       219       79928        15       76711        9        76359        9        76359        8        75791        5        63231        3        48464        0          0     
   1.1       12421      100000      872       83591       218       79484        9        76206        8        76154        8        76154        8        76154        4        61433        3        56273        0          0     
   1.2       12234      100000      838       83889       202       79885        12       77262        9        77063        9        77063        8        76461        4        63314        3        57501        0          0     
   1.3       12322      100000      847       83855       187       79698        13       77113        11       76972        9        76728        8        76138        4        62129        3        56931        0          0     
   1.4       12359      100000      818       83947       195       80086        12       77288        8        77021        7        76791        7        76791        3        61744        3        61744        0          0     
   1.5       12053      100000      721       84323       171       80917        9        78557        9        78557        8        78435        8        78435        3        62528        3        62528        0          0     
   1.6       11773      100000      614       84659       115       81600        6        80057        6        80057        6        80057        6        80057        4        72455        3        65213        0          0     
   1.7       11879      100000      566       84456       111       81605        10       80238        7        80047        7        80047        7        80047        3        68063        3        68063        0          0     
   1.8       11517      100000      484       84932        81       82451        8        81463        8        81463        8        81463        7        80563        3        71074        3        71074        0          0     
   1.9       11667      100000      515       84757       102       82229        9        80841        6        80650        6        80650        6        80650        3        73682        3        73682        0          0     
   2.0       11618      100000      518       84844        80       82128        8        81131        7        81080        5        80400        5        80400        3        76578        3        76578        0          0     
   2.1       11217      100000      427       85531        72       83370        7        82464        5        82324        4        82036        4        82036        3        79716        3        79716        0          0     
   2.2       10917      100000      323       85977        49       84344        4        83738        4        83738        4        83738        4        83738        3        82138        3        82138        0          0     
   2.3       10471      100000      252       86598        27       85282        6        85027        5        84963        4        84808        3        84291        3        84291        3        84291        0          0     
   2.4        9698      100000      181       87757        10       86772        3        86690        3        86690        3        86690        3        86690        3        86690        3        86690        0          0     
   2.5        8878      100000      119       88977        9        88324        3        88258        3        88258        3        88258        3        88258        3        88258        3        88258        0          0     
   2.6        8396      100000       91       89584        10       89123        3        89046        3        89046        3        89046        3        89046        3        89046        3        89046        0          0     
   2.7        7927      100000       91       90268        6        89807        3        89776        3        89776        3        89776        3        89776        3        89776        3        89776        0          0     
   2.8        7646      100000       63       90675        5        90346        3        90322        3        90322        3        90322        3        90322        3        90322        3        90322        0          0     
   2.9        7713      100000       61       90683        6        90360        3        90329        3        90329        3        90329        3        90329        3        90329        3        90329        0          0     
   3.0        7652      100000       51       90704        2        90420        2        90420        2        90420        2        90420        2        90420        2        90420        2        90420        1        64276   
   3.1        7906      100000       71       90323        5        89929        2        89893        2        89893        2        89893        2        89893        2        89893        2        89893        1        64258   
   3.2        8094      100000       76       90002        4        89574        2        89552        2        89552        2        89552        2        89552        2        89552        2        89552        1        64305   
   3.3        8236      100000       78       90025        3        89603        2        89590        2        89590        2        89590        2        89590        2        89590        2        89590        1        64591   
   3.4        8197      100000       86       89872        4        89387        1        89349        1        89349        1        89349        1        89349        1        89349        1        89349        1        89349   
   3.5        8519      100000       96       89474        6        88959        1        88861        1        88861        1        88861        1        88861        1        88861        1        88861        1        88861   
   3.6        8428      100000       82       89573        5        89130        1        89085        1        89085        1        89085        1        89085        1        89085        1        89085        1        89085   
   3.7        8267      100000       79       89741        4        89305        1        89270        1        89270        1        89270        1        89270        1        89270        1        89270        1        89270   
   3.8        8019      100000       84       90096        5        89643        1        89602        1        89602        1        89602        1        89602        1        89602        1        89602        1        89602   
   3.9        7865      100000       63       90358        4        90006        1        89976        1        89976        1        89976        1        89976        1        89976        1        89976        1        89976   
   4.0        7729      100000       58       90666        2        90353        1        90343        1        90343        1        90343        1        90343        1        90343        1        90343        1        90343   
   4.1        7646      100000       60       90716        3        90394        1        90369        1        90369        1        90369        1        90369        1        90369        1        90369        1        90369   
   4.2        7759      100000       63       90512        5        90182        1        90137        1        90137        1        90137        1        90137        1        90137        1        90137        1        90137   
   4.3        7628      100000       63       90643        1        90278        1        90278        1        90278        1        90278        1        90278        1        90278        1        90278        1        90278   
