 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       581578    1000000      3217      267087       20       249608       1        249402       1        249402       1        249402       1        249402       1        249402       1        249402       1        249402  
   1.7       283156    1000000     37607      624077     13202      467441       96       254941       2        249507       1        249398       1        249398       1        249398       1        249398       1        249398  
   3.3       281789    1000000     37500      627076     13370      472787      119       255820       3        248967       1        248747       1        248747       1        248747       1        248747       1        248747  
   5.0       281892    1000000     37300      627140     13212      472776      141       256062       2        247620       1        247512       1        247512       1        247512       1        247512       1        247512  
   6.7       282162    1000000     37251      625620     13221      471690      163       256022       3        246411       1        246173       1        246173       1        246173       1        246173       1        246173  
   8.3       283361    1000000     37668      625019     13340      468836      142       252875       2        244508       1        244376       1        244376       1        244376       1        244376       1        244376  
   10.0      283413    1000000     37339      624537     13245      469993      162       251641       4        241969       1        241664       1        241664       1        241664       1        241664       1        241664  
   11.7      283377    1000000     37680      624376     13449      468761      180       249709       5        239027       1        238575       1        238575       1        238575       1        238575       1        238575  
   13.3      284144    1000000     37763      623812     13467      468118      183       247918       6        237034       1        236351       1        236351       1        236351       1        236351       1        236351  
   15.0      284214    1000000     37721      623683     13581      468710      200       247290       5        235396       1        234946       1        234946       1        234946       1        234946       1        234946  
   16.7      284643    1000000     38191      623463     13599      465686      189       244124       7        232922       1        232234       1        232234       1        232234       1        232234       1        232234  
   18.3      285231    1000000     38082      622531     13714      466205      203       242852       4        230567       1        230215       1        230215       1        230215       1        230215       1        230215  
   20.0      285312    1000000     38292      622324     13669      463746      187       239807       9        229001       2        228204       2        228204       1        226432       1        226432       1        226432  
   21.7      286355    1000000     38264      620509     13658      462726      189       238668       8        227378       2        226640       2        226640       1        224697       1        224697       1        224697  
   23.3      286381    1000000     38472      621184     13772      462968      201       236966       13       225635       2        224312       2        224312       1        222518       1        222518       1        222518  
   25.0      286974    1000000     38544      620330     13866      462069      208       235789       11       223843       2        222674       2        222674       1        220950       1        220950       1        220950  
   26.7      287040    1000000     38523      619945     13757      460952      195       234749       11       223439       3        222444       3        222444       2        220903       1        213708       1        213708  
   28.3      287814    1000000     38663      620262     13891      461191      196       234060       8        222432       2        221556       2        221556       1        220036       1        220036       1        220036  
   30.0      288133    1000000     38256      618114     13936      462013      206       233033       13       221123       3        219839       3        219839       2        218543       1        213255       1        213255  
   31.7      288639    1000000     38502      617807     13880      460314      212       233680       18       221789       9        220703       9        220703       4        207479       2        193241       2        193241  
   33.3      288498    1000000     38616      618166     13818      459104      212       233433       15       221637       9        220902       8        219974       3        209344       1        195596       1        195596  
   35.0      289083    1000000     38513      616789     13715      457742      211       232558       15       220822       9        220150       8        219202       4        210738       2        196976       1        177931  
   36.7      288700    1000000     38551      617440     13797      458984      229       233922       18       221350       11       220522       10       219619       4        204732       2        191122       1        170768  
   38.3      288430    1000000     38379      618288     13876      461004      190       231760       15       221229       9        220559       9        220559       4        207299       2        193645       1        173135  
   40.0      289152    1000000     38541      617235     13863      458978      186       231694       13       221166       7        220272       7        220272       5        216183       3        202513       1        158304  
   41.7      289994    1000000     38465      615839     13743      457226      195       232259       17       221826       13       221239       10       218809       5        208643       3        194872       1        130204  
   43.3      289224    1000000     38418      617167     13873      459442      202       233678       18       222567       13       221616       10       219480       5        209731       2        188730       1        175621  
   45.0      289282    1000000     38510      617235     13701      458242      201       234302       18       222937       10       221265       9        220459       4        207758       3        199092       1        154425  
   46.7      289618    1000000     38472      617052     13707      458119      175       232547       18       222991       13       221951       12       221417       6        205857       3        180369       1        138324  
   48.3      290231    1000000     38322      615135     13616      456722      209       235179       16       223535       12       222808       12       222808       6        207350       4        190894       1        125431  
   50.0      289588    1000000     38215      616364     13557      458035      189       235207       12       224523       10       224288       10       224288       5        212052       2        186464       1        171937  
   51.7      289763    1000000     38493      616168     13573      456698      182       235413       15       225134       10       224602       7        221767       5        213982       3        197200       1        151038  
   53.3      290128    1000000     38266      616615     13584      458126      168       235133       13       225588       8        224853       6        223576       3        213577       2        205164       1        190482  
   55.0      289135    1000000     38634      617998     13671      458118      181       235927       13       225806       9        225068       7        223567       4        213527       3        204948       1        158354  
   56.7      289877    1000000     38079      615233     13414      456746      175       237309       13       227174       10       226563       8        225375       5        215419       3        198233       1        151448  
   58.3      289304    1000000     38265      616851     13589      458520      163       236560       14       227408       7        225891       7        225891       4        216250       3        207305       1        160406  
   60.0      289544    1000000     38009      616636     13440      459194      190       238903       14       228314       5        227075       5        227075       3        219346       2        210258       1        195430  
   61.7      289060    1000000     38369      617618     13536      458515      175       238316       13       228418       6        227566       6        227566       4        219828       3        210658       1        163582  
   63.3      289670    1000000     37988      615713     13486      458442      173       238243       7        228092       7        228092       7        228092       4        218680       3        209266       1        162151  
   65.0      289944    1000000     38219      616015     13457      457241      166       238478       12       229051       8        228578       8        228578       6        221011       5        211588       1        118454  
   66.7      289769    1000000     38184      616702     13454      458071      170       238085       10       228859       8        228648       8        228648       5        219604       4        210199       1        145182  
   68.3      290579    1000000     38102      615436     13366      456896      172       239083       9        229526       7        229299       7        229299       4        220440       3        210895       1        163407  
   70.0      290308    1000000     37815      614601     13384      457982      183       240258       9        229889       8        229789       8        229789       5        220981       4        211405       1        145859  
   71.7      290945    1000000     38027      614670     13383      456662      161       239594       10       230564       8        230358       8        230358       5        221675       4        212018       1        146107  
   73.3      289875    1000000     37914      616259     13359      458980      167       240477       11       231215       8        230882       7        229959       5        222543       4        212868       1        146563  
   75.0      290557    1000000     37893      614853     13341      457565      159       240928       14       232229       8        231584       7        230752       5        223433       4        213695       1        146940  
   76.7      290620    1000000     37709      614222     13253      457608      170       242055       10       232372       8        232155       7        231458       5        224133       4        214353       1        147291  
   78.3      290568    1000000     37792      614400     13323      457682      179       243131       8        232791       8        232791       7        232158       5        224866       4        214953       1        147596  
   80.0      290670    1000000     37674      614222     13389      458882      151       241837       8        233122       8        233122       7        232551       5        225431       4        215636       1        148161  
   81.7      290311    1000000     37880      614672     13312      457360      154       241652       12       233223       8        232493       8        232493       5        223620       4        213816       1        148316  
   83.3      290687    1000000     37823      614390     13002      455530      158       242438       10       233624       8        233260       8        233260       5        224581       4        214670       1        148959  
   85.0      290703    1000000     37680      614876     13147      457674      166       243431       11       234056       7        233625       7        233625       4        225070       3        215099       1        161762  
   86.7      290994    1000000     37742      614073     13125      456419      153       243454       12       234912       8        234458       8        234458       5        226181       4        216194       1        149798  
   88.3      290857    1000000     37797      614232     13141      456540      138       242888       11       235087       8        234727       8        234727       5        226584       5        226584       1        150146  
   90.0      291546    1000000     37902      612993     12961      453604      159       244738       11       235722       9        235464       9        235464       6        227484       6        227484       1        129563  
   91.7      290724    1000000     37569      614002     13183      457575      131       243574       13       236431       7        235794       7        235794       4        228015       4        228015       1        186729  
