 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       300357     611606    1000000      649       303818       2        300367       1        300357       1        300357       1        300357       1        300357       1        300357       1        300357       1        300357  
   0.2       308469     205382    1000000     30429      739911     13964      633622      1065      388039      163       328938       1        308469       1        308469       1        308469       1        308469       1        308469  
   0.3       317407     206100    1000000     29863      738381     13370      632125      1091      397670      144       335893       1        317407       1        317407       1        317407       1        317407       1        317407  
   0.5       326097     206788    1000000     29472      737078     13174      632054      987       401610      152       346247       1        326097       1        326097       1        326097       1        326097       1        326097  
   0.7       334902     208101    1000000     28949      734468     12820      630396      938       405559      132       352169       1        334902       1        334902       1        334902       1        334902       1        334902  
   0.8       343545     208020    1000000     28884      735178     12661      630561      903       409782      121       358857       1        343545       1        343545       1        343545       1        343545       1        343545  
   1.0       352102     208888    1000000     28009      732458     12088      630267      867       418228      141       370771       1        352102       1        352102       1        352102       1        352102       1        352102  
   1.2       360535     209709    1000000     27805      731031     11795      628073      839       423474      116       375882       1        360535       1        360535       1        360535       1        360535       1        360535  
   1.3       368971     209930    1000000     27509      730884     11550      628387      795       427760      111       383235       1        368971       1        368971       1        368971       1        368971       1        368971  
   1.5       377442     210262    1000000     27278      730505     11449      628900      737       431607       94       389211       1        377442       1        377442       1        377442       1        377442       1        377442  
   1.7       386023     210628    1000000     26753      728922     11053      628181      694       437666       99       398967       1        386023       1        386023       1        386023       1        386023       1        386023  
   1.8       394215     211004    1000000     26423      728118     10727      627474      682       444809       96       406670       1        394215       1        394215       1        394215       1        394215       1        394215  
   2.0       402549     212673    1000000     26002      725105     10347      624986      600       445890       69       411531       1        402549       1        402549       1        402549       1        402549       1        402549  
   2.2       410945     212230    1000000     25572      725678     10204      627075      565       452412       73       420037       1        410945       1        410945       1        410945       1        410945       1        410945  
   2.3       419168     213235    1000000     25328      723398      9808      624039      506       455775       62       426676       1        419168       1        419168       1        419168       1        419168       1        419168  
   2.5       427473     212471    1000000     25049      724782      9896      628176      475       461777       51       434092       1        427473       1        427473       1        427473       1        427473       1        427473  
   2.7       435766     213511    1000000     24533      722757      9345      625466      436       467303       59       442857       1        435766       1        435766       1        435766       1        435766       1        435766  
   2.8       444078     213478    1000000     24262      721988      9252      625992      370       469884       38       448441       1        444078       1        444078       1        444078       1        444078       1        444078  
   3.0       452467     214035    1000000     24063      720641      8779      622956      310       474442       29       455980       1        452467       1        452467       1        452467       1        452467       1        452467  
   3.2       460666     214161    1000000     23573      720738      8518      624469      309       482252       31       464280       1        460666       1        460666       1        460666       1        460666       1        460666  
   3.3       468960     214682    1000000     23135      719436      8250      624380      259       486724       20       471478       1        468960       1        468960       1        468960       1        468960       1        468960  
   3.5       477325     214240    1000000     22998      719614      7919      623591      230       493066       22       479941       1        477325       1        477325       1        477325       1        477325       1        477325  
   3.7       485722     214056    1000000     22241      719023      7602      625735      222       500585       16       487490       1        485722       1        485722       1        485722       1        485722       1        485722  
   3.8       493955     213959    1000000     21624      719048      7307      627793      194       507126       11       495354       1        493955       1        493955       1        493955       1        493955       1        493955  
   4.0       502164     212552    1000000     21517      721206      7151      629620      179       513743       10       503212       1        502164       1        502164       1        502164       1        502164       1        502164  
   4.2       510776     213298    1000000     20937      718903      6710      628383      136       519722       10       511813       1        510776       1        510776       1        510776       1        510776       1        510776  
