 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       399579     397732    1000000      9188      454166      266       402488       1        399579       1        399579       1        399579       1        399579       1        399579       1        399579       1        399579  
   1.7       398314     158126    1000000     27024      801929     13425      713549      1000      465033       51       404221       1        398314       1        398314       1        398314       1        398314       1        398314  
   3.3       397983     157492    1000000     25622      801854     12469      716917      1298      494378      190       421250       1        397983       1        397983       1        397983       1        397983       1        397983  
   5.0       397609     157836    1000000     25178      800593     12236      716739      1340      501024      233       427513       1        397609       1        397609       1        397609       1        397609       1        397609  
   6.7       397229     157668    1000000     25127      801099     12214      717682      1353      503988      252       430356       1        397229       1        397229       1        397229       1        397229       1        397229  
   8.3       396985     158217    1000000     25046      799955     12144      716699      1366      505143      238       429585       1        396985       1        396985       1        396985       1        396985       1        396985  
   10.0      396074     158412    1000000     25321      800238     12142      715029      1327      502326      261       430994       1        396074       1        396074       1        396074       1        396074       1        396074  
   11.7      395242     159227    1000000     25234      798706     11926      712610      1307      503239      282       434184       1        395242       1        395242       1        395242       1        395242       1        395242  
   13.3      395000     158450    1000000     24900      798992     12083      716287      1341      503272      260       430297       1        395000       1        395000       1        395000       1        395000       1        395000  
   15.0      393952     158988    1000000     25265      799224     12268      715141      1358      502179      247       427283       1        393952       1        393952       1        393952       1        393952       1        393952  
   16.7      392552     159190    1000000     25029      798844     11986      714793      1407      507059      299       433082       1        392552       1        392552       1        392552       1        392552       1        392552  
   18.3      392631     158518    1000000     25103      800522     12122      716892      1407      505428      287       431022       1        392631       1        392631       1        392631       1        392631       1        392631  
   20.0      391635     159361    1000000     25378      799185     12125      713617      1383      501340      267       426266       1        391635       1        391635       1        391635       1        391635       1        391635  
   21.7      391633     159768    1000000     25168      797893     12027      712923      1383      503674      292       430799       1        391633       1        391633       1        391633       1        391633       1        391633  
   23.3      390144     159524    1000000     25256      798863     12240      714854      1360      501299      286       429293       1        390144       1        390144       1        390144       1        390144       1        390144  
   25.0      388301     159852    1000000     25119      797216     12157      713549      1381      502132      294       428668       1        388301       1        388301       1        388301       1        388301       1        388301  
   26.7      388296     159464    1000000     25313      798883     12214      714304      1385      501799      299       429321       1        388296       1        388296       1        388296       1        388296       1        388296  
   28.3      387578     159774    1000000     25144      798168     12238      714838      1377      502540      321       431293       1        387578       1        387578       1        387578       1        387578       1        387578  
   30.0      387075     159155    1000000     25106      798361     12323      715644      1365      500059      294       427646       1        387075       1        387075       1        387075       1        387075       1        387075  
   31.7      385446     159746    1000000     25325      798252     12272      714075      1408      500247      291       425318       1        385446       1        385446       1        385446       1        385446       1        385446  
   33.3      385348     160140    1000000     25248      798583     12231      714588      1388      500439      289       426204       1        385348       1        385348       1        385348       1        385348       1        385348  
   35.0      384819     159893    1000000     25247      798268     12156      714017      1435      504251      316       429077       1        384819       1        384819       1        384819       1        384819       1        384819  
   36.7      381626     159678    1000000     25174      797894     12221      714153      1415      502034      331       428909       2        382163       1        381626       1        381626       1        381626       1        381626  
