 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       87752      100000       0          0     
   0.1       17669      100000      640       64605   
   0.2       17850      100000      569       63935   
   0.3       17789      100000      570       64296   
   0.4       18103      100000      564       63136   
   0.5       17805      100000      533       63675   
   0.6       18055      100000      562       62673   
   0.7       18037      100000      540       63696   
   0.8       18186      100000      552       63342   
   0.9       18150      100000      580       63151   
   1.0       18114      100000      563       62797   
   1.1       18037      100000      538       62665   
   1.2       18175      100000      523       62875   
   1.3       18163      100000      522       62972   
   1.4       18298      100000      502       62327   
   1.5       18445      100000      504       62259   
   1.6       18456      100000      501       62070   
   1.7       18909      100000      529       61092   
   1.8       18623      100000      518       61945   
   1.9       18940      100000      461       60806   
   2.0       19041      100000      489       61024   
   2.1       19174      100000      486       60363   
   2.2       19549      100000      494       59307   
   2.3       19408      100000      501       60095   
   2.4       19549      100000      474       59676   
   2.5       20210      100000      441       58441   
   2.6       20304      100000      425       58704   
   2.7       20365      100000      391       57865   
   2.8       20562      100000      356       57272   
   2.9       20819      100000      325       58099   
   3.0       20816      100000      301       58838   
   3.1       20746      100000      239       58602   
   3.2       20815      100000      220       59297   
   3.3       20999      100000      172       59576   
   3.4       20418      100000      152       61565   
   3.5       20445      100000      103       62611   
   3.6       20017      100000       82       64251   
   3.7       19648      100000       61       65712   
   3.8       19332      100000       53       67462   
   3.9       18872      100000       35       68575   
   4.0       18650      100000       29       69946   
   4.1       18216      100000       16       70892   
   4.2       17812      100000       16       72368   
   4.3       17205      100000       13       73693   
   4.4       17014      100000       12       74466   
   4.5       16676      100000       9        75311   
   4.6       16488      100000       10       75707   
   4.7       16231      100000       8        76299   
   4.8       16023      100000       7        76779   
   4.9       15851      100000       7        77237   
   5.0       15686      100000       6        77738   
   5.1       15631      100000       8        78083   
   5.2       15662      100000       9        77903   
   5.3       15758      100000       11       77518   
   5.4       15753      100000       7        77311   
   5.5       15805      100000       8        77314   
   5.6       15939      100000       7        77101   
   5.7       15856      100000       8        77316   
   5.8       16024      100000       7        77132   
   5.9       15874      100000       9        77152   
   6.0       15942      100000       8        77293   
   6.1       15697      100000       7        77607   
   6.2       15620      100000       9        77603   
   6.3       15854      100000       8        77664   
   6.4       15642      100000       7        77712   
   6.5       15688      100000       7        77676   
   6.6       15874      100000       8        77526   
   6.7       15878      100000       7        77458   
   6.8       15784      100000       9        77254   
   6.9       15802      100000       9        77398   
   7.0       15672      100000       8        77699   
   7.1       15575      100000       7        77890   
   7.2       15622      100000       9        77787   
   7.3       15757      100000       9        77496   
   7.4       15844      100000       9        77240   
   7.5       16010      100000       7        77084   
   7.6       15929      100000       8        77036   
   7.7       16006      100000       9        76997   
   7.8       15983      100000       8        77053   
   7.9       16131      100000       10       76927   
   8.0       16017      100000       12       76851   
   8.1       16172      100000       11       76759   
   8.2       16089      100000       8        76815   
   8.3       16132      100000       8        76797   
   8.4       15990      100000       7        76812   
   8.5       15982      100000       8        76926   
   8.6       15902      100000       9        76947   
   8.7       15857      100000       7        76894   
   8.8       16008      100000       9        76816   
   8.9       16014      100000       8        76956   
   9.0       15896      100000       8        77004   
   9.1       15978      100000       8        77118   
   9.2       15939      100000       8        77179   
   9.3       15904      100000       8        77103   
   9.4       16070      100000       8        76966   
   9.5       15910      100000       7        77060   
   9.6       15890      100000       6        77250   
   9.7       15977      100000       6        77179   
   9.8       15961      100000       8        77078   
   9.9       15957      100000       8        76977   
   10.0      16078      100000       8        76938   
   10.1      16063      100000       7        77133   
   10.2      16029      100000       10       77299   
   10.3      15965      100000       7        77265   
   10.4      16020      100000       7        77030   
   10.5      16195      100000       7        76802   
   10.6      16008      100000       8        76902   
   10.7      16072      100000       7        76771   
   10.8      16071      100000       8        76608   
   10.9      16028      100000       7        76721   
   11.0      16260      100000       9        76549   
   11.1      16429      100000       7        76298   
   11.2      16256      100000       7        76273   
   11.3      16088      100000       6        76661   
   11.4      16049      100000       7        76849   
   11.5      16032      100000       6        77047   
   11.6      16023      100000       5        76839   
   11.7      15942      100000       6        76982   
   11.8      15776      100000       5        77323   
   11.9      15842      100000       6        77379   
   12.0      15680      100000       5        77442   
   12.1      15708      100000       7        77668   
   12.2      15578      100000       5        77984   
   12.3      15292      100000       5        78371   
   12.4      15209      100000       5        78758   
   12.5      15108      100000       4        78976   
   12.6      14997      100000       5        79080   
   12.7      15103      100000       5        79111   
   12.8      15067      100000       5        79015   
   12.9      14936      100000       5        79115   
   13.0      15082      100000       4        78807   
   13.1      15430      100000       5        78335   
   13.2      15446      100000       5        78277   
   13.3      15412      100000       5        78263   
   13.4      15385      100000       5        78257   
   13.5      15510      100000       4        78373   
   13.6      15383      100000       4        78317   
   13.7      15484      100000       5        78253   
   13.8      15442      100000       4        78110   
   13.9      15506      100000       4        78056   
   14.0      15415      100000       5        78074   
   14.1      15568      100000       5        77868   
   14.2      15661      100000       6        77699   
   14.3      15756      100000       5        77406   
   14.4      16008      100000       5        77281   
   14.5      15660      100000       5        77407   
   14.6      15934      100000       5        77249   
   14.7      16233      100000       6        76993   
   14.8      16042      100000       6        76944   
   14.9      15946      100000       6        77003   
