 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       93103      100000       0          0          0          0     
   0.1       27014      100000      837       37229        0          0     
   0.2       27147      100000      844       37835        0          0     
   0.3       27148      100000      804       36475        0          0     
   0.4       27049      100000      843       37172        0          0     
   0.5       27007      100000      833       38147        0          0     
   0.6       27161      100000      810       36681        0          0     
   0.7       27159      100000      836       37299        0          0     
   0.8       27055      100000      851       37640        0          0     
   0.9       27086      100000      779       36751        0          0     
   1.0       27158      100000      819       36805        0          0     
   1.1       27124      100000      814       37590        0          0     
   1.2       27074      100000      798       37069        0          0     
   1.3       27001      100000      803       36950        0          0     
   1.4       27323      100000      822       37424        0          0     
   1.5       27080      100000      818       37588        0          0     
   1.6       27119      100000      857       37314        0          0     
   1.7       27129      100000      823       36562        0          0     
   1.8       27304      100000      833       36683        0          0     
   1.9       27243      100000      800       37278        0          0     
   2.0       27120      100000      834       37285        0          0     
   2.1       27110      100000      845       37547        0          0     
   2.2       27036      100000      802       37103        0          0     
   2.3       27219      100000      781       37061        0          0     
   2.4       27273      100000      820       36638        0          0     
   2.5       27021      100000      801       37108        0          0     
   2.6       27284      100000      825       37378        0          0     
   2.7       27047      100000      801       36492        0          0     
   2.8       27396      100000      815       35792        0          0     
   2.9       27000      100000      806       36343        0          0     
   3.0       27361      100000      840       37258        0          0     
   3.1       27302      100000      803       37090        0          0     
   3.2       27468      100000      835       36769        0          0     
   3.3       27191      100000      800       36066        0          0     
   3.4       27119      100000      816       37491        0          0     
   3.5       27110      100000      810       36510        0          0     
   3.6       27216      100000      798       36658        0          0     
   3.7       27310      100000      811       36845        0          0     
   3.8       26925      100000      824       37498        0          0     
   3.9       27300      100000      781       36228        0          0     
   4.0       27137      100000      842       37038        0          0     
   4.1       27240      100000      833       37305        0          0     
   4.2       26987      100000      826       37870        0          0     
   4.3       27083      100000      807       36434        0          0     
   4.4       27184      100000      844       37274        0          0     
   4.5       27148      100000      828       37038        0          0     
   4.6       27006      100000      812       36816        0          0     
   4.7       26991      100000      805       36736        0          0     
   4.8       27157      100000      818       37125        0          0     
   4.9       27208      100000      828       37066        0          0     
   5.0       27156      100000      788       35855        0          0     
   5.1       27141      100000      821       37292        0          0     
   5.2       27004      100000      797       36364        0          0     
   5.3       27183      100000      840       37316        0          0     
   5.4       26867      100000      846       38571        0          0     
   5.5       27186      100000      832       36803        0          0     
   5.6       27201      100000      827       36483        0          0     
   5.7       27325      100000      800       36489        0          0     
   5.8       27137      100000      832       37204        0          0     
   5.9       27122      100000      801       37338        0          0     
   6.0       27344      100000      840       36899        0          0     
