 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       92378      100000       9          46         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       41766      100000      3661      47591       1586      34225        89        5924        8         874         0          0          0          0          0          0          0          0          0          0     
   0.2       39758      100000      3354      50524       1503      38760       171       12677        23        2806        0          0          0          0          0          0          0          0          0          0     
   0.3       39076      100000      3221      51310       1399      39612       191       16238        47        6501        0          0          0          0          0          0          0          0          0          0     
   0.4       39187      100000      3133      51120       1391      40064       197       17299        54        7382        0          0          0          0          0          0          0          0          0          0     
   0.5       38857      100000      3033      51389       1337      40513       209       18516        58        8364        0          0          0          0          0          0          0          0          0          0     
   0.6       38614      100000      2916      51398       1279      41070       205       20096        76       11417        0          0          0          0          0          0          0          0          0          0     
   0.7       38347      100000      2960      52032       1309      41543       210       20425        73       10916        0          0          0          0          0          0          0          0          0          0     
   0.8       38341      100000      2915      52181       1243      41534       214       21655        82       12819        0          0          0          0          0          0          0          0          0          0     
   0.9       38568      100000      2921      51964       1263      41492       189       21060        80       13311        0          0          0          0          0          0          0          0          0          0     
   1.0       38740      100000      2918      51441       1267      41013       189       20804        77       13164        1         548         0          0          0          0          0          0          0          0     
   1.1       38406      100000      2901      52056       1249      41571       196       21198        77       13057        0          0          0          0          0          0          0          0          0          0     
   1.2       38198      100000      2859      52179       1202      41656       203       22188        71       13055        1         527         0          0          0          0          0          0          0          0     
   1.3       37987      100000      2845      52153       1201      41688       187       21791        75       14140        1         528         0          0          0          0          0          0          0          0     
   1.4       38093      100000      2869      52451       1241      42097       187       22164        77       14681        0          0          0          0          0          0          0          0          0          0     
   1.5       38253      100000      2888      52127       1185      41351       193       22631        73       14441        0          0          0          0          0          0          0          0          0          0     
   1.6       37804      100000      2918      52863       1275      42400       199       22186        71       13470        0          0          0          0          0          0          0          0          0          0     
   1.7       38093      100000      2812      52360       1210      42184       197       23510        90       16184        1         580         0          0          0          0          0          0          0          0     
   1.8       38192      100000      2871      52379       1220      41930       180       22119        76       15008        2         1058        0          0          0          0          0          0          0          0     
   1.9       37749      100000      2906      52989       1191      42081       191       23360        79       15650        2         1044        0          0          0          0          0          0          0          0     
   2.0       37915      100000      2768      52302       1176      42170       190       23736        78       15901        2         1228        0          0          0          0          0          0          0          0     
   2.1       38080      100000      2925      52452       1141      41119       189       22534        75       14775        2         1346        0          0          0          0          0          0          0          0     
   2.2       37849      100000      2831      52504       1168      41957       190       23190        81       15903        3         1622        0          0          0          0          0          0          0          0     
   2.3       38161      100000      2848      52515       1197      42025       181       22576        77       15427        2         1045        0          0          0          0          0          0          0          0     
   2.4       38226      100000      2779      51973       1186      41953       179       22494        80       15644        2         1102        0          0          0          0          0          0          0          0     
   2.5       37783      100000      2780      52562       1176      42441       175       23393        79       16767        1         555         0          0          0          0          0          0          0          0     
   2.6       37933      100000      2807      52478       1166      42059       176       22943        75       15977        2         1340        0          0          0          0          0          0          0          0     
   2.7       37659      100000      2829      52753       1202      42375       179       23194        78       16491        3         1927        0          0          0          0          0          0          0          0     
   2.8       37819      100000      2833      52529       1183      42100       180       22800        77       15599        2         1258        0          0          0          0          0          0          0          0     
   2.9       37904      100000      2779      52534       1164      42274       190       23793        83       16410        2         1277        0          0          0          0          0          0          0          0     
   3.0       37837      100000      2794      52497       1143      42081       187       23588        74       15764        3         1747        0          0          0          0          0          0          0          0     
   3.1       37951      100000      2822      52658       1170      42147       194       23960        82       16389        5         2901        0          0          0          0          0          0          0          0     
