 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       89614      100000       34        180         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       20002      100000      2352      75641       1235      68433       363       50347       191       38016        6         3247        0          0          0          0          0          0          0          0     
   0.2       20095      100000      2241      75305       1152      68386       309       51584       176       42385        7         4725        0          0          0          0          0          0          0          0     
   0.3       20010      100000      2175      75331       1081      68350       281       52168       158       43452        22       15124        2         2098        0          0          0          0          0          0     
   0.4       19774      100000      2078      75509       1063      69022       275       53492       151       45120        21       16157        3         3880        0          0          0          0          0          0     
   0.5       19587      100000      2098      75711       1031      68913       244       53380       127       45156        25       22158        5         7941        0          0          0          0          0          0     
   0.6       19855      100000      2106      75323       1007      68269       246       53323       139       45848        25       18953        3         3929        0          0          0          0          0          0     
   0.7       19857      100000      2147      75507       1018      68311       230       52957       131       46189        25       20217        4         5156        0          0          0          0          0          0     
   0.8       20301      100000      2160      74786       1034      67528       235       51839       126       44457        23       20894        5         7701        0          0          0          0          0          0     
   0.9       20312      100000      2152      74816       1063      67901       234       51787       129       44675        24       21474        5         7974        0          0          0          0          0          0     
   1.0       20223      100000      2204      74976       1068      67666       226       51505       123       44440        29       24295        4         6029        0          0          0          0          0          0     
   1.1       20214      100000      2309      75037       1101      67308       224       49968       129       43568        27       22386        6         7632        0          0          0          0          0          0     
   1.2       20105      100000      2094      74923       995       67828       237       53048       125       45571        29       25552        8        10860        0          0          0          0          0          0     
   1.3       19997      100000      2066      75171       958       68077       207       53497       113       47070        26       27244        9        14806        0          0          0          0          0          0     
   1.4       20304      100000      2092      74472       970       67308       188       52165       109       46627        31       31439        11       17339        0          0          0          0          0          0     
   1.5       20386      100000      2109      74442       1022      67518       194       51520       109       45808        30       29349        11       15193        0          0          0          0          0          0     
   1.6       20659      100000      2214      74347       1025      66705       219       51033       100       42706        32       28959        11       14475        0          0          0          0          0          0     
   1.7       20307      100000      2175      74732       1050      67449       201       50737        97       43716        29       29748        12       17410        0          0          0          0          0          0     
   1.8       20725      100000      2213      74109       1018      66457       191       50459        98       44239        25       29780        14       22102        0          0          0          0          0          0     
   1.9       20882      100000      2121      73966       963       66632       195       51589        89       44109        25       31536        13       22285        0          0          0          0          0          0     
