 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       463519    1000000      8238      373922      181       327925       1        325981       1        325981       1        325981       1        325981       1        325981       1        325981       1        325981  
   1.7       196039    1000000     31937      753238     15233      645300      607       363240       15       326523       1        324944       1        324944       1        324944       1        324944       1        324944  
   3.3       194097    1000000     30221      754188     14167      650689      1006      394113       79       333580       1        324576       1        324576       1        324576       1        324576       1        324576  
   5.0       193277    1000000     29758      754117     13838      651133      1100      404504      139       341294       1        324401       1        324401       1        324401       1        324401       1        324401  
   6.7       193738    1000000     29447      753560     13754      652393      1173      410328      153       343156       1        324329       1        324329       1        324329       1        324329       1        324329  
   8.3       194372    1000000     29364      752461     13653      651002      1166      410831      172       345245       1        323299       1        323299       1        323299       1        323299       1        323299  
   10.0      194001    1000000     29482      753438     13738      652174      1189      411977      163       343445       1        322994       1        322994       1        322994       1        322994       1        322994  
   11.7      194260    1000000     29719      753554     13669      650104      1165      409975      182       345758       1        322738       1        322738       1        322738       1        322738       1        322738  
   13.3      193824    1000000     29467      753582     13655      651771      1182      410162      162       343077       1        322363       1        322363       1        322363       1        322363       1        322363  
   15.0      194090    1000000     29316      753268     13684      652355      1198      412644      175       344231       1        321448       1        321448       1        321448       1        321448       1        321448  
   16.7      194004    1000000     29513      753729     13599      651313      1192      410607      165       342302       1        320952       1        320952       1        320952       1        320952       1        320952  
   18.3      194337    1000000     29376      752612     13682      651620      1219      411763      179       343203       1        319972       1        319972       1        319972       1        319972       1        319972  
   20.0      194404    1000000     29503      753322     13660      651499      1239      412487      205       344115       1        318332       1        318332       1        318332       1        318332       1        318332  
   21.7      193815    1000000     29466      753259     13553      650606      1253      413503      205       344448       1        317913       1        317913       1        317913       1        317913       1        317913  
   23.3      194731    1000000     29347      752062     13544      650144      1232      412782      187       342831       1        318489       1        318489       1        318489       1        318489       1        318489  
   25.0      194095    1000000     29411      752670     13652      650888      1224      410713      195       342636       1        316659       1        316659       1        316659       1        316659       1        316659  
   26.7      194158    1000000     29409      753028     13691      651767      1210      410910      202       343938       1        317526       1        317526       1        317526       1        317526       1        317526  
   28.3      193833    1000000     29270      753059     13564      651613      1277      415392      219       344774       1        315556       1        315556       1        315556       1        315556       1        315556  
   30.0      194309    1000000     29511      753190     13575      650078      1247      412489      210       343273       1        315580       1        315580       1        315580       1        315580       1        315580  
   31.7      193928    1000000     29336      753834     13690      652673      1268      414405      217       344421       1        314799       1        314799       1        314799       1        314799       1        314799  
   33.3      193748    1000000     29252      753876     13760      654113      1246      411913      212       342972       1        314922       1        314922       1        314922       1        314922       1        314922  
   35.0      194820    1000000     29464      752161     13810      651549      1231      407922      202       339669       1        312586       1        312586       1        312586       1        312586       1        312586  
   36.7      193592    1000000     29332      753615     13763      653193      1271      410829      205       339816       1        312376       1        312376       1        312376       1        312376       1        312376  
   38.3      194677    1000000     29448      752429     13753      651077      1263      410685      213       340247       1        311497       1        311497       1        311497       1        311497       1        311497  
   40.0      195107    1000000     29536      752421     13795      650672      1301      410087      224       339058       1        309664       1        309664       1        309664       1        309664       1        309664  
   41.7      194707    1000000     29508      752553     13634      650001      1288      412920      250       344376       1        310406       1        310406       1        310406       1        310406       1        310406  
   43.3      194211    1000000     29220      752827     13649      652252      1293      412758      235       341994       1        309902       1        309902       1        309902       1        309902       1        309902  
   45.0      194301    1000000     29456      752778     13631      650727      1286      412271      246       343536       2        309733       1        309171       1        309171       1        309171       1        309171  
   46.7      194131    1000000     29286      753560     13758      653259      1293      410460      245       341634       1        308693       1        308693       1        308693       1        308693       1        308693  
   48.3      194425    1000000     29510      752992     13696      650859      1274      410232      248       342154       1        308170       1        308170       1        308170       1        308170       1        308170  
   50.0      194790    1000000     29529      752437     13730      650303      1318      411836      217       338155       1        308481       1        308481       1        308481       1        308481       1        308481  
   51.7      194286    1000000     29477      753435     13893      652754      1313      408809      222       336260       2        307172       1        306613       1        306613       1        306613       1        306613  
   53.3      194775    1000000     29495      752397     13746      650601      1304      409550      236       339142       1        306408       1        306408       1        306408       1        306408       1        306408  
   55.0      194802    1000000     29533      752512     13848      651276      1265      407402      234       338612       1        305474       1        305474       1        305474       1        305474       1        305474  
   56.7      194511    1000000     29502      752444     13859      651508      1326      409963      225       336735       1        305472       1        305472       1        305472       1        305472       1        305472  
   58.3      195163    1000000     29488      752029     13784      650864      1325      410644      249       338298       2        303934       1        303429       1        303429       1        303429       1        303429  
   60.0      194762    1000000     29317      752167     13788      651919      1304      408096      244       337437       1        304131       1        304131       1        304131       1        304131       1        304131  
   61.7      194350    1000000     29637      753214     13924      651701      1298      407683      230       335610       2        303829       1        303057       1        303057       1        303057       1        303057  
   63.3      195095    1000000     29561      752560     13794      650791      1335      409026      242       335447       1        302236       1        302236       1        302236       1        302236       1        302236  
   65.0      195158    1000000     29836      752603     13926      649818      1358      407647      230       332633       1        300404       1        300404       1        300404       1        300404       1        300404  
   66.7      195233    1000000     29571      751070     13874      650241      1367      408818      254       333780       2        300228       1        299682       1        299682       1        299682       1        299682  
   68.3      195869    1000000     29663      750564     13758      647895      1346      408205      248       334913       2        300265       1        299757       1        299757       1        299757       1        299757  
   70.0      195603    1000000     29600      750802     13893      649445      1336      406867      280       336867       1        298262       1        298262       1        298262       1        298262       1        298262  
   71.7      195149    1000000     29829      752358     14028      650369      1378      407496      277       334610       3        295855       1        294165       1        294165       1        294165       1        294165  
   73.3      195391    1000000     29844      751722     13855      648639      1347      407540      278       336675       3        299125       1        297544       1        297544       1        297544       1        297544  
   75.0      196075    1000000     29797      750855     13931      648499      1363      408101      279       334961       2        297045       1        296459       1        296459       1        296459       1        296459  
   76.7      195344    1000000     29648      751673     13792      649359      1355      407983      260       334813       3        296784       2        296202       1        295125       1        295125       1        295125  
   78.3      195097    1000000     29815      752540     13973      650426      1387      406707      259       331925       1        295250       1        295250       1        295250       1        295250       1        295250  
   80.0      195768    1000000     29786      751750     13955      649559      1399      406111      269       331083       1        292966       1        292966       1        292966       1        292966       1        292966  
   81.7      195904    1000000     29860      751769     14110      650404      1390      406716      275       332233       1        293026       1        293026       1        293026       1        293026       1        293026  
   83.3      195321    1000000     29877      751715     14053      650003      1363      404802      260       331753       2        294620       1        293983       1        293983       1        293983       1        293983  
   85.0      195546    1000000     29709      751363     13931      649774      1402      407979      277       331903       3        292927       1        291555       1        291555       1        291555       1        291555  
   86.7      196286    1000000     29729      750286     13840      647683      1435      407448      268       329586       1        291745       1        291745       1        291745       1        291745       1        291745  
   88.3      195748    1000000     29674      751352     13951      649761      1384      405148      272       330959       2        291364       1        290853       1        290853       1        290853       1        290853  
   90.0      196039    1000000     30004      751653     14024      648528      1358      403686      256       329729       1        290989       1        290989       1        290989       1        290989       1        290989  
   91.7      196797    1000000     29966      750157     13896      646471      1385      402530      251       326099       2        290382       1        289833       1        289833       1        289833       1        289833  
   93.3      195578    1000000     29864      751946     13960      649437      1415      406157      286       330848       2        290300       1        289659       1        289659       1        289659       1        289659  
   95.0      196472    1000000     29755      749867     14059      648691      1368      403856      274       329930       2        291219       1        290716       1        290716       1        290716       1        290716  
   96.7      195927    1000000     29895      751649     14000      648860      1401      405699      289       330717       4        288823       1        286772       1        286772       1        286772       1        286772  
   98.3      195739    1000000     29878      751035     13982      648530      1412      404667      298       330407       2        289351       2        289351       1        287989       1        287989       1        287989  
  100.0      195421    1000000     29902      752261     14073      649911      1455      406024      300       328892       4        285622       1        283375       1        283375       1        283375       1        283375  
  101.7      196495    1000000     29708      750567     14066      649589      1383      402907      283       330191       4        289373       2        288307       1        287152       1        287152       1        287152  
  103.3      195928    1000000     30015      750941     14023      647913      1381      402603      293       329781       6        288708       2        286295       1        285191       1        285191       1        285191  
  105.0      196759    1000000     29979      750162     14195      648455      1389      400760      279       326695       6        287329       1        283734       1        283734       1        283734       1        283734  
  106.7      196228    1000000     30068      751469     14169      648925      1411      402174      297       328099       5        285829       1        283084       1        283084       1        283084       1        283084  
  108.3      196897    1000000     29993      750090     14254      648796      1419      400971      290       326008       4        283378       2        281798       1        279867       1        279867       1        279867  
  110.0      196549    1000000     30097      749800     14071      646449      1407      401984      292       327297       3        284165       1        282967       1        282967       1        282967       1        282967  
  111.7      196815    1000000     29837      750160     14081      648322      1379      400064      282       326043       1        284144       1        284144       1        284144       1        284144       1        284144  
  113.3      196859    1000000     30061      749768     14179      647279      1415      399734      300       325130       6        283030       1        279903       1        279903       1        279903       1        279903  
  115.0      196660    1000000     29841      750177     14092      648706      1406      401662      299       327907       4        283835       1        282235       1        282235       1        282235       1        282235  
  116.7      197130    1000000     30045      749371     14050      646062      1400      399647      304       325598       4        281042       3        280393       1        276903       1        276903       1        276903  
  118.3      196605    1000000     30009      750724     14158      648480      1450      402780      311       326621       2        281449       1        280673       1        280673       1        280673       1        280673  
  120.0      197009    1000000     29783      750229     13989      648661      1480      404374      325       327680       4        281946       1        280063       1        280063       1        280063       1        280063  
  121.7      196572    1000000     29875      750669     14128      649167      1481      403454      312       325779       4        281652       1        279361       1        279361       1        279361       1        279361  
  123.3      196728    1000000     30029      750599     14324      649429      1452      398551      299       322018       3        279696       2        278887       1        277836       1        277836       1        277836  
  125.0      196587    1000000     30088      750602     14104      647525      1465      402105      335       327087       3        279582       3        279582       1        277091       1        277091       1        277091  
  126.7      196546    1000000     30188      750627     14208      647400      1432      399905      308       325219       4        279331       1        277708       1        277708       1        277708       1        277708  
  128.3      197156    1000000     30188      749521     14122      645808      1461      401077      315       324859       4        279990       2        278899       1        277486       1        277486       1        277486  
  130.0      197335    1000000     30082      749320     14333      647625      1454      397103      314       320782       5        276908       1        273959       1        273959       1        273959       1        273959  
