 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.7500     0.3300     0.5550     0.3750     1.1850     0.3950     1.2400     0.3850     1.0550     0.4050     1.1600     0.4050     0.5150     0.3950     1.1100     0.3750     1.0600  
   20.0      0.2500     1.7500     0.3300     0.8850     0.3750     1.1850     0.3200     1.2400     0.3300     1.0550     0.3250     1.1600     0.3100     1.1550     0.3050     1.0950     0.2750     1.0600  
   30.0      0.2500     1.7500     0.3300     0.8850     0.3100     1.1850     0.3200     1.2400     0.3300     1.0550     0.3050     1.1600     0.3100     1.1550     0.2950     1.0950     0.2750     1.0500  
   40.0      0.2500     1.7500     0.3300     0.8850     0.3750     1.1850     0.3200     1.2400     0.3050     1.0550     0.3250     1.1400     0.2950     1.1550     0.2950     1.0950     0.2900     1.0500  
   50.0      0.2500     1.7500     0.3300     0.8850     0.3750     1.1850     0.3200     1.2400     0.3050     1.0550     0.3050     1.1600     0.2950     1.1550     0.2800     1.0950     0.2750     1.0600  
   60.0      0.2500     1.7500     0.3300     0.8850     0.3100     1.1850     0.3200     1.2400     0.3050     1.0550     0.3250     1.1400     0.3100     1.1400     0.2950     1.0950     0.2750     1.0400  
   70.0      0.2500     1.7500     0.3300     0.8850     0.3750     1.1850     0.3200     1.2400     0.3050     1.0550     0.3250     1.1600     0.3100     1.1700     0.2950     1.0950     0.2650     1.0650  
   80.0      0.2500     1.7500     0.3300     0.8850     0.3100     1.1850     0.3200     1.2400     0.3050     1.0550     0.3050     1.1600     0.3100     1.1550     0.2950     1.0950     0.2600     1.0600  
   90.0      0.2500     1.7500     0.3300     0.8850     0.3100     1.1850     0.3200     1.2400     0.3300     1.0550     0.3050     1.1600     0.3100     1.1700     0.2800     1.1100     0.2650     1.0600  
   99.9      0.2500     1.7500     0.3300     0.8850     0.3100     1.1850     0.3200     1.2400     0.3050     1.0550     0.3050     1.1600     0.2800     1.1550     0.2950     1.1100     0.2650     1.0600  
