 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.4350     0.1200     1.4800     0.1350     1.5800     0.1000     1.6300     0.1050     1.5450     0.1100     1.4900     0.0950     1.4500  
   20.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.4350     0.1200     1.4800     0.1100     1.5800     0.1200     1.6300     0.1050     1.5600     0.1100     1.4900     0.0900     1.4400  
   30.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1100     1.5800     0.1200     1.6300     0.1050     1.5600     0.1100     1.4900     0.0950     1.4500  
   40.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1100     1.5800     0.1200     1.6300     0.1050     1.5600     0.1100     1.4900     0.0950     1.4500  
   50.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1100     1.5800     0.1200     1.6500     0.1050     1.5750     0.0950     1.4900     0.0950     1.4600  
   60.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1350     1.5800     0.1200     1.6500     0.1250     1.5750     0.1200     1.4900     0.1050     1.4600  
   70.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1100     1.5800     0.1200     1.6500     0.1050     1.5750     0.1100     1.4900     0.0950     1.4500  
   80.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.5000     0.1200     1.4800     0.1350     1.5800     0.1200     1.6300     0.1250     1.5600     0.1100     1.4900     0.0950     1.4400  
   90.0      0.2500     1.7500     0.2200     1.6650     0.1250     1.4350     0.1200     1.4800     0.1100     1.5800     0.1000     1.6300     0.1050     1.5750     0.1100     1.4900     0.0950     1.4500  
   99.9      0.2500     1.7500     0.2200     1.6650     0.1250     1.4350     0.1200     1.4800     0.1350     1.5800     0.1200     1.6300     0.0900     1.5450     0.1100     1.4900     0.0950     1.4400  
