 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       528687    1000000      4223      318731       31       295479       1        295152       1        295152       1        295152       1        295152       1        295152       1        295152       1        295152  
   1.7       240271    1000000     36072      683987     13812      540612      212       308246       1        295533       1        295533       1        295533       1        295533       1        295533       1        295533  
   3.3       240542    1000000     35824      682326     13721      540100      268       310339       5        294476       1        293980       1        293980       1        293980       1        293980       1        293980  
   5.0       241803    1000000     36160      682046     13743      537758      244       306858       9        292477       1        291454       1        291454       1        291454       1        291454       1        291454  
   6.7       242836    1000000     36207      680521     13830      536338      256       304191       7        289031       1        288344       1        288344       1        288344       1        288344       1        288344  
   8.3       243261    1000000     36500      680742     13977      535698      262       300900       9        285513       1        284571       1        284571       1        284571       1        284571       1        284571  
   10.0      244290    1000000     36620      677975     14043      533047      275       298549       9        282267       1        281343       1        281343       1        281343       1        281343       1        281343  
   11.7      244588    1000000     36744      678361     14109      532697      279       296362       17       280221       2        278560       2        278560       1        276751       1        276751       1        276751  
   13.3      245369    1000000     36813      676747     14145      530868      270       293226       6        277158       2        276733       2        276733       1        274900       1        274900       1        274900  
   15.0      246411    1000000     37010      675741     14150      528670      273       292522       9        276593       1        275677       1        275677       1        275677       1        275677       1        275677  
   16.7      247313    1000000     36806      674020     14007      526999      265       292778       7        276678       2        276082       2        276082       2        276082       1        270703       1        270703  
   18.3      246658    1000000     36795      674864     14043      528147      282       293033       13       276257       4        274908       4        274908       3        273096       2        267830       1        243549  
   20.0      247614    1000000     36978      673991     14112      527134      269       291368       14       275671       6        274660       6        274660       4        271527       2        259863       1        242866  
   21.7      247457    1000000     36898      674094     14069      527134      273       292566       10       276547       6        276087       6        276087       4        273311       2        258092       1        239277  
   23.3      247299    1000000     36594      673155     13883      527326      275       294228       12       278056       7        277474       7        277474       4        270266       1        249628       1        249628  
   25.0      248550    1000000     36390      671818     13921      527604      243       293059       9        278785       6        278468       6        278468       3        271337       1        255810       1        255810  
   26.7      249566    1000000     36365      670429     13820      525245      242       294413       14       280564       8        279871       8        279871       5        273014       1        242999       1        242999  
   28.3      248801    1000000     36171      671459     13755      527259      250       297928       14       283294       7        282289       6        281549       6        281549       4        263594       2        229375  
   30.0      249118    1000000     36284      670896     13728      525841      249       298037       12       283414       7        282805       5        281326       5        281326       4        272097       2        238030  
   31.7      248521    1000000     36252      672801     13587      527045      250       299655       10       284720       5        284032       4        283233       4        283233       3        273967       2        256301  
   33.3      248782    1000000     36090      671673     13569      527014      237       300668       13       286923       7        286278       6        285577       5        281058       3        264946       2        251483  
   35.0      248961    1000000     35775      670564     13478      526887      231       301535       14       288251       6        287341       5        286790       4        282124       4        282124       2        255037  
   36.7      249496    1000000     35952      669424     13296      524070      242       303145       14       289166       8        288407       8        288407       4        276400       4        276400       1        230253  
   38.3      249283    1000000     35867      671051     13286      526046      242       305245       13       291260       7        290591       7        290591       3        278665       3        278665       1        240409  
   40.0      248708    1000000     35482      670458     13321      528033      253       306997       16       292660       10       291981       10       291981       6        280495       6        280495       1        204850  
   41.7      249609    1000000     35362      669159     13080      526360      248       308836       13       294293       9        293874       9        293874       6        284460       6        284460       2        222665  
   43.3      249239    1000000     35121      669204     13109      527843      243       310675       9        296475       6        296146       6        296146       4        287855       4        287855       1        246588  
   45.0      249585    1000000     35216      669252     12891      525797      237       312426       19       299158       8        297937       8        297937       6        289572       6        289572       2        232818  
   46.7      248782    1000000     35153      670784     13066      529205      210       312441       11       300115       7        299612       7        299612       5        291214       5        291214       2        245260  
   48.3      248872    1000000     35148      670157     12881      527026      240       315999       15       302436       7        301576       7        301576       5        293198       5        293198       1        226207  
   50.0      249703    1000000     34827      669085     12668      527066      218       316465       14       304008       7        303260       7        303260       6        298338       6        298338       2        230915  
   51.7      249120    1000000     34938      670371     12775      527928      187       315977       10       305244       5        304637       5        304637       5        304637       5        304637       1        237077  
   53.3      249829    1000000     34763      668599     12578      526381      222       319475       15       307249       6        306230       6        306230       5        302901       5        302901       1        235288  
   55.0      249348    1000000     34588      669216     12331      525990      218       320981       9        308251       7        308014       7        308014       5        299828       5        299828       1        231808  
   56.7      248103    1000000     34288      671320     12595      532294      236       323830       8        309951       6        309713       6        309713       5        306320       5        306320       2        248477  
   58.3      249115    1000000     34407      669283     12510      528645      203       322896       12       311456       7        310902       7        310902       5        302948       5        302948       1        234342  
   60.0      248843    1000000     34303      669830     12395      529158      185       323537       9        312442       5        311973       5        311973       4        308734       4        308734       1        239823  
   61.7      249483    1000000     34329      669337     12249      527327      204       325537       9        313510       6        313138       6        313138       4        305440       4        305440       1        236151  
   63.3      248987    1000000     34130      669035     12135      528183      195       326949       10       315726       6        315257       6        315257       5        312060       5        312060       2        242183  
   65.0      248675    1000000     34153      670250     12223      529346      194       328278       9        316945       6        316632       6        316632       5        313516       5        313516       2        243306  
   66.7      249317    1000000     33810      668252     12219      530023      203       330363       10       318390       5        317755       5        317755       4        314748       4        314748       1        244057  
   68.3      249251    1000000     33798      668790     12072      529508      218       332178       9        319431       4        318875       4        318875       3        315942       3        315942       1        255646  
   70.0      249461    1000000     33679      667345     11961      528222      187       331316       12       320510       6        319864       6        319864       5        316984       5        316984       1        245826  
   71.7      249494    1000000     33717      668493     12067      529514      173       331643       9        321783       4        321231       4        321231       3        318330       3        318330       1        256988  
   73.3      249273    1000000     33643      668416     12054      530171      179       333015       9        322676       6        322302       6        322302       5        319553       5        319553       1        247700  
   75.0      249500    1000000     33572      668451     11855      529473      192       335669       11       324829       5        324172       5        324172       4        321519       4        321519       1        249297  
   76.7      249309    1000000     33641      669120     11849      529267      169       335336       7        325648       4        325282       4        325282       3        322720       3        322720       1        260040  
   78.3      249437    1000000     33410      668010     11832      529490      164       336647       11       327225       6        326644       6        326644       5        324162       4        314246       1        251315  
   80.0      249329    1000000     33175      667954     11670      530126      198       340308       14       328941       4        327812       4        327812       3        325466       3        325466       1        262144  
   81.7      249135    1000000     33059      668642     11739      531970      174       339485       6        329246       4        329037       4        329037       3        326933       3        326933       1        263322  
   83.3      249199    1000000     33153      668751     11714      531577      181       340759       5        329989       4        329881       4        329881       3        327930       3        327930       1        264240  
   85.0      249862    1000000     33108      667283     11541      529597      154       340540       7        331602       4        331277       4        331277       3        329444       3        329444       1        265329  
   86.7      248788    1000000     32990      668478     11583      531598      163       342584       7        333106       4        332747       4        332747       3        331034       3        331034       1        266742  
   88.3      249041    1000000     32899      668137     11455      530828      171       343936       4        333815       4        333815       4        333815       3        332239       3        332239       1        267689  
   90.0      249302    1000000     32866      667725     11336      529886      164       344980       10       335570       4        334919       4        334919       3        333543       3        333543       1        268566  
   91.7      249350    1000000     32634      667682     11294      531134      183       346796       8        336264       4        335803       4        335803       3        334635       3        334635       1        269196  
   93.3      250000    1000000     32651      667320     11305      530787      172       347071       7        336895       4        336581       3        335587       3        335587       3        335587       1        269893  
   95.0      248837    1000000     33002      668793     11361      530613      154       346977       10       338332       4        337650       3        336848       3        336848       3        336848       1        270813  
   96.7      249518    1000000     32445      666580     11175      530371      163       349197       6        339487       4        339251       3        338498       3        338498       2        328926       2        328926  
   98.3      250165    1000000     32350      665504     11222      530619      176       350572       11       340630       5        339962       4        339343       4        339343       3        329793       1        263123  
  100.0      250156    1000000     32416      665939     11078      529335      151       350344       8        341704       2        340765       2        340765       2        340765       2        340765       2        340765  
  101.7      250048    1000000     32426      666528     11129      530275      145       350980       6        342461       3        342099       3        342099       3        342099       2        332661       1        313779  
  103.3      249399    1000000     32275      668222     11059      532281      155       353306       8        344327       4        343899       4        343899       4        343899       3        334502       1        266140  
  105.0      249838    1000000     32186      666725     10866      530247      149       353853       7        345314       4        344991       4        344991       4        344991       3        335762       1        267017  
  106.7      250058    1000000     32018      666382     10895      531267      150       355133       6        346453       4        346170       4        346170       4        346170       3        337061       2        306563  
  108.3      249654    1000000     31939      666423     10925      531841      155       356389       8        347608       3        346972       3        346972       3        346972       3        346972       2        316238  
  110.0      249715    1000000     31850      666452     10868      532376      142       357119       8        349016       3        348451       3        348451       3        348451       3        348451       2        317539  
  111.7      249140    1000000     31750      667714     10765      533441      158       359152       5        349917       2        349591       2        349591       2        349591       2        349591       1        318275  
  113.3      249276    1000000     31821      665697     10751      530893      146       359976       3        351118       2        351012       2        351012       2        351012       2        351012       1        319347  
  115.0      249519    1000000     31545      665849     10666      532350      139       360428       5        352350       4        352236       4        352236       4        352236       3        343321       2        311397  
  116.7      248921    1000000     31720      667696     10668      532925      126       360549       8        353567       4        353105       4        353105       4        353105       3        344243       2        312092  
  118.3      248673    1000000     31387      667013     10611      534220      138       362598       5        354534       3        354316       3        354316       3        354316       2        345591       1        313309  
  120.0      249509    1000000     31359      665474     10543      532191      128       363026       5        355573       3        355351       3        355351       3        355351       2        346765       1        314284  
  121.7      250110    1000000     31261      664746     10417      531351      109       362981       4        356636       3        356535       3        356535       3        356535       2        348188       1        315428  
  123.3      249698    1000000     31500      666905     10565      533148      115       364504       6        357909       3        357573       3        357573       3        357573       2        349387       1        316408  
  125.0      249611    1000000     30962      665777     10522      534873      120       366076       4        358980       2        358765       2        358765       2        358765       1        350736       1        350736  
  126.7      249668    1000000     31279      666194     10458      533304       95       365624       4        360262       2        360008       2        360008       2        360008       1        352080       1        352080  
