 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       69115      100000      1247       7416        34        359         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.8       27894      100000      4773      64131       2176      47278       122        8401        6         740         0          0          0          0          0          0          0          0          0          0     
   1.7       28033      100000      4865      64206       2226      47223       116        8064        13        1541        0          0          0          0          0          0          0          0          0          0     
   2.5       27797      100000      4857      64566       2166      47140       124        8617        12        1580        0          0          0          0          0          0          0          0          0          0     
   3.3       27877      100000      4870      64533       2220      47237       122        8063        8         1001        0          0          0          0          0          0          0          0          0          0     
   4.2       27882      100000      4749      64101       2153      47201       117        8299        17        1913        0          0          0          0          0          0          0          0          0          0     
   5.0       27728      100000      4822      64491       2148      47195       128        8925        15        1883        0          0          0          0          0          0          0          0          0          0     
   5.8       27812      100000      4676      64127       2067      47209       142       10326        12        1653        0          0          0          0          0          0          0          0          0          0     
   6.7       27822      100000      4770      64292       2190      47577       120        8623        16        2071        0          0          0          0          0          0          0          0          0          0     
   7.5       27790      100000      4864      64632       2148      47015       118        8142        11        1356        0          0          0          0          0          0          0          0          0          0     
   8.3       27603      100000      4722      64417       2213      48143       121        8511        14        1608        0          0          0          0          0          0          0          0          0          0     
   9.2       27619      100000      4689      64412       2179      48233       148       10325        15        1880        0          0          0          0          0          0          0          0          0          0     
   10.0      27312      100000      4809      65179       2225      48518       130        9451        18        2178        0          0          0          0          0          0          0          0          0          0     
   10.8      27856      100000      4755      64237       2162      47417       131        9442        12        1759        0          0          0          0          0          0          0          0          0          0     
   11.7      27824      100000      4761      64203       2162      47472       135        9277        8         991         0          0          0          0          0          0          0          0          0          0     
   12.5      28058      100000      4727      63975       2140      47219       129        8988        17        1982        0          0          0          0          0          0          0          0          0          0     
   13.3      27875      100000      4810      64273       2186      47251       121        8471        11        1280        0          0          0          0          0          0          0          0          0          0     
   14.2      27794      100000      4788      64512       2234      48080       125        8391        8         984         0          0          0          0          0          0          0          0          0          0     
   15.0      27922      100000      4787      64172       2173      47286       116        8033        12        1470        0          0          0          0          0          0          0          0          0          0     
   15.8      27938      100000      4771      64220       2191      47530       120        8253        12        1424        0          0          0          0          0          0          0          0          0          0     
   16.7      27808      100000      4781      64427       2126      47210       135        9617        14        1760        0          0          0          0          0          0          0          0          0          0     
   17.5      27850      100000      4790      64300       2186      47553       117        8213        12        1326        0          0          0          0          0          0          0          0          0          0     
   18.3      27948      100000      4742      63954       2165      47343       127        8610        8         932         0          0          0          0          0          0          0          0          0          0     
   19.2      27881      100000      4746      64043       2176      47455       125        8909        14        1819        0          0          0          0          0          0          0          0          0          0     
   20.0      27975      100000      4758      64139       2159      47353       131        9084        12        1396        0          0          0          0          0          0          0          0          0          0     
   20.8      27764      100000      4822      64380       2171      47317       126        8886        12        1585        0          0          0          0          0          0          0          0          0          0     
   21.7      27888      100000      4707      63851       2122      47131       136        9335        10        1185        0          0          0          0          0          0          0          0          0          0     
   22.5      27991      100000      4805      64194       2233      47593       120        8187        10        1181        0          0          0          0          0          0          0          0          0          0     
   23.3      27770      100000      4777      64449       2087      47046       159       10626        7         799         0          0          0          0          0          0          0          0          0          0     
   24.2      27526      100000      4855      64793       2216      47870       129        8955        12        1492        0          0          0          0          0          0          0          0          0          0     
   25.0      28136      100000      4862      63915       2147      46371       120        8356        10        1279        0          0          0          0          0          0          0          0          0          0     
   25.8      27680      100000      4837      64667       2141      47191       122        8847        11        1375        0          0          0          0          0          0          0          0          0          0     
   26.7      27979      100000      4840      64042       2163      46717       122        8424        10        1200        0          0          0          0          0          0          0          0          0          0     
   27.5      27626      100000      4741      64611       2192      48067       132        9440        14        1829        0          0          0          0          0          0          0          0          0          0     
   28.3      27670      100000      4757      64531       2150      47642       134        9940        21        2571        0          0          0          0          0          0          0          0          0          0     
