 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          41         0          41         0        0.8660     0.8660     0.0000     0.0000      0.44     26.3464     0.0000    26.3464     0.0000     0.0000     0.0000    78539.82 
150833.00    41385        0        41385       8615        0         8615       403         0         403        162       0.8303     0.8303     0.0000     0.0000      0.37     215.2105    0.0000    215.2105  4655.6989    0.0000   4655.6989   78539.82 
301666.00    39490        0        39490      10510        0        10510       353         0         353        161       0.8230     0.8230     0.0000     0.0000      0.37     191.2886    0.0000    191.2886  5675.9582    0.0000   5675.9582   78539.82 
452499.00    38834        0        38834      11166        0        11166       551         0         551        169       0.8260     0.8260     0.0000     0.0000      0.37     293.6295    0.0000    293.6295  6014.2182    0.0000   6014.2182   78539.82 
603332.00    40493        0        40493       9507        0         9507       323         0         323        166       0.8278     0.8278     0.0000     0.0000      0.37     168.3565    0.0000    168.3565  5109.0735    0.0000   5109.0735   78539.82 
754165.00    37866        0        37866      12134        0        12134       729         0         729        173       0.8291     0.8291     0.0000     0.0000      0.37     382.8972    0.0000    382.8972  6528.9699    0.0000   6528.9699   78539.82 
904998.00    39552        0        39552      10448        0        10448       891         0         891        193       0.8241     0.8241     0.0000     0.0000      0.37     480.6732    0.0000    480.6732  5606.3560    0.0000   5606.3560   78539.82 
1055831.00   40303        0        40303       9697        0         9697       807         0         807        190       0.8231     0.8231     0.0000     0.0000      0.37     434.5445    0.0000    434.5445  5200.7398    0.0000   5200.7398   78539.82 
1206664.00   39235        0        39235      10765        0        10765       861         0         861        203       0.8280     0.8280     0.0000     0.0000      0.37     454.2384    0.0000    454.2384  5778.7371    0.0000   5778.7371   78539.82 
1357497.00   38538        0        38538      11462        0        11462       950         0         950        191       0.8312     0.8312     0.0000     0.0000      0.37     499.9055    0.0000    499.9055  6146.5246    0.0000   6146.5246   78539.82 
1508330.00   39991        0        39991      10009        0        10009       623         0         623        200       0.8279     0.8279     0.0000     0.0000      0.37     331.1145    0.0000    331.1145  5356.4315    0.0000   5356.4315   78539.82 
1659163.00   39299        0        39299      10701        0        10701       1066        0         1066       201       0.8272     0.8272     0.0000     0.0000      0.37     566.8019    0.0000    566.8019  5737.5618    0.0000   5737.5618   78539.82 
1809996.00   38332        0        38332      11668        0        11668       692         0         692        191       0.8289     0.8289     0.0000     0.0000      0.37     364.1542    0.0000    364.1542  6259.1534    0.0000   6259.1534   78539.82 
1960829.00   38287        0        38287      11713        0        11713       805         0         805        195       0.8335     0.8335     0.0000     0.0000      0.37     429.5291    0.0000    429.5291  6274.5247    0.0000   6274.5247   78539.82 
2111662.00   39734        0        39734      10266        0        10266       709         0         709        193       0.8312     0.8312     0.0000     0.0000      0.37     368.9737    0.0000    368.9737  5482.7040    0.0000   5482.7040   78539.82 
2262495.00   39524        0        39524      10476        0        10476       788         0         788        213       0.8246     0.8246     0.0000     0.0000      0.37     411.8620    0.0000    411.8620  5590.3776    0.0000   5590.3776   78539.82 
2413328.00   39758        0        39758      10242        0        10242       758         0         758        189       0.8280     0.8280     0.0000     0.0000      0.37     388.7613    0.0000    388.7613  5477.8009    0.0000   5477.8009   78539.82 
2564161.00   40116        0        40116       9884        0         9884       901         0         901        229       0.8259     0.8259     0.0000     0.0000      0.37     483.4347    0.0000    483.4347  5285.2433    0.0000   5285.2433   78539.82 
2714994.00   38124        0        38124      11876        0        11876       927         0         927        201       0.8262     0.8262     0.0000     0.0000      0.37     492.5198    0.0000    492.5198  6348.6640    0.0000   6348.6640   78539.82 
2865827.00   37644        0        37644      12356        0        12356       933         0         933        213       0.8250     0.8250     0.0000     0.0000      0.37     477.9934    0.0000    477.9934  6602.0378    0.0000   6602.0378   78539.82 
3016660.00   37938        0        37938      12062        0        12062       747         0         747        194       0.8341     0.8341     0.0000     0.0000      0.37     381.5286    0.0000    381.5286  6462.0470    0.0000   6462.0470   78539.82 
3167493.00   39440        0        39440      10560        0        10560       821         0         821        192       0.8241     0.8241     0.0000     0.0000      0.37     419.3708    0.0000    419.3708  5665.3376    0.0000   5665.3376   78539.82 
