 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      49258        0        49258       742         0         742        157         0         157        123       0.8974     0.8974     0.0000     0.0000      0.53     104.1801    0.0000    104.1801   492.6063    0.0000    492.6063   65449.85 
258333.00    15655        0        15655      34345        0        34345       3042        0         3042       413       0.8742     0.8742     0.0000     0.0000      0.47    1805.2998    0.0000   1805.2998  20391.0615   0.0000   20391.0615  65449.85 
516666.00    15706        0        15706      34294        0        34294       1941        0         1941       408       0.8723     0.8723     0.0000     0.0000      0.46    1143.8719    0.0000   1143.8719  20256.3048   0.0000   20256.3048  65449.85 
774999.00    15616        0        15616      34384        0        34384       2767        0         2767       513       0.8746     0.8746     0.0000     0.0000      0.46    1626.8670    0.0000   1626.8670  20247.7362   0.0000   20247.7362  65449.85 
1033332.00   16348        0        16348      33652        0        33652       2614        0         2614       551       0.8688     0.8688     0.0000     0.0000      0.46    1532.2472    0.0000   1532.2472  19736.9808   0.0000   19736.9808  65449.85 
1291665.00   16693        0        16693      33307        0        33307       3569        0         3569       546       0.8699     0.8699     0.0000     0.0000      0.46    2081.9409    0.0000   2081.9409  19457.0369   0.0000   19457.0369  65449.85 
1549998.00   16280        0        16280      33720        0        33720       4169        0         4169       636       0.8644     0.8644     0.0000     0.0000      0.46    2426.5340    0.0000   2426.5340  19629.5568   0.0000   19629.5568  65449.85 
1808331.00   17456        0        17456      32544        0        32544       2883        0         2883       614       0.8665     0.8665     0.0000     0.0000      0.46    1662.6696    0.0000   1662.6696  18835.6026   0.0000   18835.6026  65449.85 
2066664.00   17912        0        17912      32088        0        32088       3314        0         3314       729       0.8635     0.8635     0.0000     0.0000      0.46    1897.7361    0.0000   1897.7361  18443.1286   0.0000   18443.1286  65449.85 
2324997.00   17375        0        17375      32625        0        32625       3647        0         3647       725       0.8701     0.8701     0.0000     0.0000      0.46    2078.6200    0.0000   2078.6200  18671.7236   0.0000   18671.7236  65449.85 
2583330.00   17390        0        17390      32610        0        32610       3762        0         3762       881       0.8628     0.8628     0.0000     0.0000      0.46    2135.3035    0.0000   2135.3035  18531.6751   0.0000   18531.6751  65449.85 
2841663.00   17041        0        17041      32959        0        32959       5126        0         5126       1220      0.8620     0.8620     0.0000     0.0000      0.46    2900.1517    0.0000   2900.1517  18621.0150   0.0000   18621.0150  65449.85 
3099996.00   15565        0        15565      34435        0        34435       4409        0         4409       1229      0.8581     0.8581     0.0000     0.0000      0.45    2467.2525    0.0000   2467.2525  19383.0659   0.0000   19383.0659  65449.85 
