 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      48565        0        48565       1435        0         1435       172         0         172        119       0.8616     0.8616     0.0000     0.0000      0.50     107.5582    0.0000    107.5582   887.6331    0.0000    887.6331   65449.85 
425000.00    20992        0        20992      29008        0        29008       1490        0         1490       296       0.8263     0.8263     0.0000     0.0000      0.43     803.2537    0.0000    803.2537  15516.8605   0.0000   15516.8605  65449.85 
850000.00    20901        0        20901      29099        0        29099       1293        0         1293       373       0.8273     0.8273     0.0000     0.0000      0.43     681.6669    0.0000    681.6669  15462.8294   0.0000   15462.8294  65449.85 
1275000.00   21091        0        21091      28909        0        28909       3024        0         3024       451       0.8219     0.8219     0.0000     0.0000      0.42    1587.6420    0.0000   1587.6420  15291.4376   0.0000   15291.4376  65449.85 
1700000.00   21429        0        21429      28571        0        28571       3220        0         3220       484       0.8211     0.8211     0.0000     0.0000      0.42    1685.0693    0.0000   1685.0693  15025.8253   0.0000   15025.8253  65449.85 
2125000.00   22190        0        22190      27810        0        27810       1751        0         1751       479       0.8219     0.8219     0.0000     0.0000      0.42     916.5204    0.0000    916.5204  14515.5332   0.0000   14515.5332  65449.85 
2550000.00   21428        0        21428      28572        0        28572       2080        0         2080       519       0.8212     0.8212     0.0000     0.0000      0.42    1067.4893    0.0000   1067.4893  14854.8501   0.0000   14854.8501  65449.85 
2975000.00   21521        0        21521      28479        0        28479       2413        0         2413       569       0.8201     0.8201     0.0000     0.0000      0.42    1209.8938    0.0000   1209.8938  14677.3805   0.0000   14677.3805  65449.85 
3400000.00   21812        0        21812      28188        0        28188       3762        0         3762       805       0.8218     0.8218     0.0000     0.0000      0.42    1898.2301    0.0000   1898.2301  14405.0524   0.0000   14405.0524  65449.85 
3825000.00   22452        0        22452      27548        0        27548       3211        0         3211       860       0.8146     0.8146     0.0000     0.0000      0.42    1616.2036    0.0000   1616.2036  13926.3314   0.0000   13926.3314  65449.85 
4250000.00   21258        0        21258      28742        0        28742       4620        0         4620       1105      0.8200     0.8200     0.0000     0.0000      0.42    2293.9953    0.0000   2293.9953  14387.8477   0.0000   14387.8477  65449.85 
4675000.00   19579        0        19579      30421        0        30421       4890        0         4890       1126      0.8171     0.8171     0.0000     0.0000      0.41    2385.8397    0.0000   2385.8397  15126.3953   0.0000   15126.3953  65449.85 
5100000.00   18176        0        18176      31824        0        31824       5574        0         5574       1872      0.8113     0.8113     0.0000     0.0000      0.41    2761.0045    0.0000   2761.0045  15657.9624   0.0000   15657.9624  65449.85 
5525000.00   17291        0        17291      32709        0        32709       6021        0         6021       2725      0.8022     0.8022     0.0000     0.0000      0.41    2947.5144    0.0000   2947.5144  16025.5476   0.0000   16025.5476  65449.85 
5950000.00   15805        0        15805      34195        0        34195       8043        0         8043       3799      0.7994     0.7994     0.0000     0.0000      0.41    3981.7644    0.0000   3981.7644  16654.9337   0.0000   16654.9337  65449.85 
6375000.00   14851        0        14851      35149        0        35149       6651        0         6651       3514      0.7976     0.7976     0.0000     0.0000      0.40    3159.3191    0.0000   3159.3191  17042.4444   0.0000   17042.4444  65449.85 
6800000.00   13747        0        13747      36253        0        36253       7082        0         7082       4028      0.7952     0.7952     0.0000     0.0000      0.40    3450.5249    0.0000   3450.5249  17524.0229   0.0000   17524.0229  65449.85 
7225000.00   12949        0        12949      37051        0        37051       7181        0         7181       3705      0.7986     0.7986     0.0000     0.0000      0.40    3371.7932    0.0000   3371.7932  17853.5178   0.0000   17853.5178  65449.85 
7650000.00   13192        0        13192      36808        0        36808      10297        0        10297       3680      0.7848     0.7848     0.0000     0.0000      0.40    4903.5543    0.0000   4903.5543  17635.1394   0.0000   17635.1394  65449.85 
8075000.00   11931        0        11931      38069        0        38069      10591        0        10591       5438      0.7804     0.7804     0.0000     0.0000      0.40    5017.2533    0.0000   5017.2533  18170.9916   0.0000   18170.9916  65449.85 
8500000.00   10869        0        10869      39131        0        39131      12139        0        12139       4891      0.7877     0.7877     0.0000     0.0000      0.40    5795.7488    0.0000   5795.7488  18692.0625   0.0000   18692.0625  65449.85 
8925000.00   10054        0        10054      39946        0        39946      15175        0        15175       4993      0.7933     0.7933     0.0000     0.0000      0.39    7117.5820    0.0000   7117.5820  19051.9753   0.0000   19051.9753  65449.85 
9350000.00   10002        0        10002      39998        0        39998      16015        0        16015       4999      0.7815     0.7815     0.0000     0.0000      0.39    7483.0640    0.0000   7483.0640  19023.0393   0.0000   19023.0393  65449.85 
9775000.00    9537        0         9537      40463        0        40463      16683        0        16683      10115      0.7913     0.7913     0.0000     0.0000      0.39    7769.0888    0.0000   7769.0888  19274.1595   0.0000   19274.1595  65449.85 
10200000.00    9687        0         9687      40313        0        40313      17202        0        17202       5759      0.7828     0.7828     0.0000     0.0000      0.39    7994.1578    0.0000   7994.1578  19133.9981   0.0000   19133.9981  65449.85 
10625000.00    9492        0         9492      40508        0        40508      17786        0        17786      10127      0.7874     0.7874     0.0000     0.0000      0.39    8287.9329    0.0000   8287.9329  19191.6281   0.0000   19191.6281  65449.85 
11050000.00    8891        0         8891      41109        0        41109      18291        0        18291      10277      0.7902     0.7902     0.0000     0.0000      0.39    8531.8516    0.0000   8531.8516  19443.8200   0.0000   19443.8200  65449.85 
11475000.00    8692        0         8692      41308        0        41308      18848        0        18848      10327      0.7837     0.7837     0.0000     0.0000      0.39    8802.5625    0.0000   8802.5625  19553.8852   0.0000   19553.8852  65449.85 
11900000.00    8867        0         8867      41133        0        41133      19432        0        19432      10283      0.7881     0.7881     0.0000     0.0000      0.39    9063.9975    0.0000   9063.9975  19428.8700   0.0000   19428.8700  65449.85 
12325000.00    8459        0         8459      41541        0        41541      19975        0        19975      10385      0.7841     0.7841     0.0000     0.0000      0.39    9293.1061    0.0000   9293.1061  19573.2866   0.0000   19573.2866  65449.85 
12750000.00    7986        0         7986      42014        0        42014      20543        0        20543      14004      0.7857     0.7857     0.0000     0.0000      0.39    9544.8615    0.0000   9544.8615  19760.7958   0.0000   19760.7958  65449.85 
13175000.00    7108        0         7108      42892        0        42892      21112        0        21112      14297      0.7823     0.7823     0.0000     0.0000      0.38    9813.5324    0.0000   9813.5324  20159.0798   0.0000   20159.0798  65449.85 
