 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          41         0          41         0        0.9916     0.9916     0.0000     0.0000      0.56     29.3307     0.0000    29.3307     0.0000     0.0000     0.0000    65449.85 
 25833.00    17016        0        17016      32984        0        32984       2300        0         2300       350       0.9146     0.9146     0.0000     0.0000      0.50    1455.6548    0.0000   1455.6548  20922.9764   0.0000   20922.9764  65449.85 
 51666.00    15465        0        15465      34535        0        34535       1908        0         1908       392       0.9067     0.9067     0.0000     0.0000      0.49    1205.4981    0.0000   1205.4981  21786.5245   0.0000   21786.5245  65449.85 
 77499.00    14264        0        14264      35736        0        35736       3773        0         3773       464       0.8984     0.8984     0.0000     0.0000      0.49    2375.7671    0.0000   2375.7671  22485.3804   0.0000   22485.3804  65449.85 
103332.00    14338        0        14338      35662        0        35662       4311        0         4311       594       0.8959     0.8959     0.0000     0.0000      0.49    2713.3342    0.0000   2713.3342  22401.9229   0.0000   22401.9229  65449.85 
129165.00    14226        0        14226      35774        0        35774       3230        0         3230       586       0.9002     0.9002     0.0000     0.0000      0.49    2032.3753    0.0000   2032.3753  22444.1436   0.0000   22444.1436  65449.85 
154998.00    14692        0        14692      35308        0        35308       3480        0         3480       720       0.8969     0.8969     0.0000     0.0000      0.49    2177.9446    0.0000   2177.9446  22089.5434   0.0000   22089.5434  65449.85 
180831.00    15384        0        15384      34616        0        34616       5101        0         5101       607       0.9076     0.9076     0.0000     0.0000      0.49    3177.9082    0.0000   3177.9082  21623.6830   0.0000   21623.6830  65449.85 
206664.00    15264        0        15264      34736        0        34736       5049        0         5049       681       0.8990     0.8990     0.0000     0.0000      0.49    3157.7902    0.0000   3157.7902  21691.3840   0.0000   21691.3840  65449.85 
232497.00    14457        0        14457      35543        0        35543       2912        0         2912       710       0.9005     0.9005     0.0000     0.0000      0.49    1828.7954    0.0000   1828.7954  22175.3464   0.0000   22175.3464  65449.85 
258330.00    14694        0        14694      35306        0        35306       3475        0         3475       720       0.9116     0.9116     0.0000     0.0000      0.49    2163.0217    0.0000   2163.0217  22001.8593   0.0000   22001.8593  65449.85 
284163.00    16341        0        16341      33659        0        33659       4837        0         4837       801       0.8987     0.8987     0.0000     0.0000      0.49    3016.2643    0.0000   3016.2643  20958.2888   0.0000   20958.2888  65449.85 
309996.00    16015        0        16015      33985        0        33985       8404        0         8404       918       0.9118     0.9118     0.0000     0.0000      0.49    5216.8822    0.0000   5216.8822  21147.3629   0.0000   21147.3629  65449.85 
335829.00    15607        0        15607      34393        0        34393       4496        0         4496       687       0.9153     0.9153     0.0000     0.0000      0.49    2786.0796    0.0000   2786.0796  21356.7488   0.0000   21356.7488  65449.85 
361662.00    15253        0        15253      34747        0        34747       5091        0         5091       890       0.8933     0.8933     0.0000     0.0000      0.49    3165.3386    0.0000   3165.3386  21553.5655   0.0000   21553.5655  65449.85 
387495.00    15339        0        15339      34661        0        34661       6050        0         6050       770       0.8968     0.8968     0.0000     0.0000      0.49    3765.1447    0.0000   3765.1447  21499.3503   0.0000   21499.3503  65449.85 
413328.00    14972        0        14972      35028        0        35028       6170        0         6170       1030      0.9080     0.9080     0.0000     0.0000      0.49    3803.7482    0.0000   3803.7482  21719.7956   0.0000   21719.7956  65449.85 
439161.00    16525        0        16525      33475        0        33475       4315        0         4315       669       0.9077     0.9077     0.0000     0.0000      0.49    2644.3661    0.0000   2644.3661  20717.6359   0.0000   20717.6359  65449.85 
464994.00    16249        0        16249      33751        0        33751      12253        0        12253       992       0.8842     0.8842     0.0000     0.0000      0.49    7585.9352    0.0000   7585.9352  20895.2106   0.0000   20895.2106  65449.85 
490827.00    16171        0        16171      33829        0        33829       4353        0         4353       676       0.8980     0.8980     0.0000     0.0000      0.49    2697.2578    0.0000   2697.2578  20932.1918   0.0000   20932.1918  65449.85 
516660.00    16756        0        16756      33244        0        33244       5080        0         5080       773       0.8862     0.8862     0.0000     0.0000      0.49    3137.6503    0.0000   3137.6503  20500.5411   0.0000   20500.5411  65449.85 
542493.00    16351        0        16351      33649        0        33649       4243        0         4243       764       0.9053     0.9053     0.0000     0.0000      0.49    2591.7266    0.0000   2591.7266  20763.7357   0.0000   20763.7357  65449.85 
568326.00    16748        0        16748      33252        0        33252       4456        0         4456       707       0.8949     0.8949     0.0000     0.0000      0.49    2713.2843    0.0000   2713.2843  20503.5600   0.0000   20503.5600  65449.85 
594159.00    17492        0        17492      32508        0        32508       6039        0         6039       833       0.8872     0.8872     0.0000     0.0000      0.49    3715.9833    0.0000   3715.9833  20007.3991   0.0000   20007.3991  65449.85 
619992.00    16661        0        16661      33339        0        33339       4263        0         4263       694       0.9057     0.9057     0.0000     0.0000      0.49    2586.6581    0.0000   2586.6581  20527.7026   0.0000   20527.7026  65449.85 
645825.00    16585        0        16585      33415        0        33415       9975        0         9975       954       0.8862     0.8862     0.0000     0.0000      0.49    6130.3999    0.0000   6130.3999  20537.1024   0.0000   20537.1024  65449.85 
671658.00    16587        0        16587      33413        0        33413       5646        0         5646       742       0.8879     0.8879     0.0000     0.0000      0.49    3430.2847    0.0000   3430.2847  20499.4442   0.0000   20499.4442  65449.85 
697491.00    17044        0        17044      32956        0        32956       4484        0         4484       890       0.8920     0.8920     0.0000     0.0000      0.49    2698.5465    0.0000   2698.5465  20197.1643   0.0000   20197.1643  65449.85 
723324.00    16538        0        16538      33462        0        33462       4657        0         4657       904       0.8989     0.8989     0.0000     0.0000      0.49    2860.0712    0.0000   2860.0712  20491.5156   0.0000   20491.5156  65449.85 
749157.00    17523        0        17523      32477        0        32477       4727        0         4727       773       0.8945     0.8945     0.0000     0.0000      0.49    2894.6297    0.0000   2894.6297  19838.3738   0.0000   19838.3738  65449.85 
