 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          7          0          7          0        1.0908     1.0908     0.0000     0.0000      0.50      5.2572     0.0000     5.2572     0.0000     0.0000     0.0000    78539.82 
 50000.00    41618        0        41618       8382        0         8382       274         0         274        155       0.8891     0.8891     0.0000     0.0000      0.41     167.7021    0.0000    167.7021  5131.4732    0.0000   5131.4732   78539.82 
100000.00    38401        0        38401      11599        0        11599       483         0         483        175       0.8753     0.8753     0.0000     0.0000      0.41     293.5674    0.0000    293.5674  7085.9357    0.0000   7085.9357   78539.82 
150000.00    37295        0        37295      12705        0        12705       459         0         459        189       0.8789     0.8789     0.0000     0.0000      0.41     280.9050    0.0000    280.9050  7737.3757    0.0000   7737.3757   78539.82 
200000.00    36902        0        36902      13098        0        13098       535         0         535        181       0.8919     0.8919     0.0000     0.0000      0.41     324.5130    0.0000    324.5130  7984.0529    0.0000   7984.0529   78539.82 
250000.00    36300        0        36300      13700        0        13700       470         0         470        185       0.8816     0.8816     0.0000     0.0000      0.41     287.8765    0.0000    287.8765  8336.3939    0.0000   8336.3939   78539.82 
300000.00    36118        0        36118      13882        0        13882       630         0         630        210       0.8891     0.8891     0.0000     0.0000      0.41     383.6094    0.0000    383.6094  8434.2030    0.0000   8434.2030   78539.82 
350000.00    36380        0        36380      13620        0        13620       798         0         798        203       0.8883     0.8883     0.0000     0.0000      0.41     483.6749    0.0000    483.6749  8289.8413    0.0000   8289.8413   78539.82 
400000.00    36233        0        36233      13767        0        13767       826         0         826        218       0.8859     0.8859     0.0000     0.0000      0.41     497.9574    0.0000    497.9574  8356.3551    0.0000   8356.3551   78539.82 
450000.00    37267        0        37267      12733        0        12733       652         0         652        208       0.8917     0.8917     0.0000     0.0000      0.41     392.0213    0.0000    392.0213  7722.3340    0.0000   7722.3340   78539.82 
500000.00    35721        0        35721      14279        0        14279       545         0         545        192       0.8673     0.8673     0.0000     0.0000      0.41     320.0179    0.0000    320.0179  8686.5514    0.0000   8686.5514   78539.82 
550000.00    36645        0        36645      13355        0        13355       578         0         578        202       0.8741     0.8741     0.0000     0.0000      0.41     337.2195    0.0000    337.2195  8096.1002    0.0000   8096.1002   78539.82 
600000.00    36565        0        36565      13435        0        13435       601         0         601        197       0.8847     0.8847     0.0000     0.0000      0.41     356.6090    0.0000    356.6090  8148.2162    0.0000   8148.2162   78539.82 
650000.00    36888        0        36888      13112        0        13112       650         0         650        195       0.8804     0.8804     0.0000     0.0000      0.41     384.6579    0.0000    384.6579  7969.4331    0.0000   7969.4331   78539.82 
700000.00    36277        0        36277      13723        0        13723       522         0         522        190       0.8916     0.8916     0.0000     0.0000      0.41     310.7409    0.0000    310.7409  8359.5750    0.0000   8359.5750   78539.82 
750000.00    37734        0        37734      12266        0        12266       781         0         781        215       0.8794     0.8794     0.0000     0.0000      0.41     462.8096    0.0000    462.8096  7450.7064    0.0000   7450.7064   78539.82 
800000.00    36652        0        36652      13348        0        13348       564         0         564        188       0.8785     0.8785     0.0000     0.0000      0.41     331.3947    0.0000    331.3947  8123.6606    0.0000   8123.6606   78539.82 
850000.00    38007        0        38007      11993        0        11993       747         0         747        226       0.8802     0.8802     0.0000     0.0000      0.41     450.1754    0.0000    450.1754  7270.8729    0.0000   7270.8729   78539.82 
900000.00    36316        0        36316      13684        0        13684       706         0         706        204       0.8810     0.8810     0.0000     0.0000      0.41     427.0600    0.0000    427.0600  8334.1509    0.0000   8334.1509   78539.82 
950000.00    35144        0        35144      14856        0        14856       530         0         530        206       0.8849     0.8849     0.0000     0.0000      0.41     320.4405    0.0000    320.4405  9049.7004    0.0000   9049.7004   78539.82 
1000000.00   37134        0        37134      12866        0        12866       637         0         637        201       0.8979     0.8979     0.0000     0.0000      0.41     380.5713    0.0000    380.5713  7823.3734    0.0000   7823.3734   78539.82 
1050000.00   37790        0        37790      12210        0        12210       591         0         591        200       0.8838     0.8838     0.0000     0.0000      0.41     353.8145    0.0000    353.8145  7417.2870    0.0000   7417.2870   78539.82 
1100000.00   36657        0        36657      13343        0        13343       800         0         800        238       0.8837     0.8837     0.0000     0.0000      0.41     482.3733    0.0000    482.3733  8097.7728    0.0000   8097.7728   78539.82 
1150000.00   37579        0        37579      12421        0        12421       532         0         532        214       0.8769     0.8769     0.0000     0.0000      0.41     315.1764    0.0000    315.1764  7503.9443    0.0000   7503.9443   78539.82 
1200000.00   36326        0        36326      13674        0        13674       648         0         648        217       0.8820     0.8820     0.0000     0.0000      0.41     394.5484    0.0000    394.5484  8279.6392    0.0000   8279.6392   78539.82 
1250000.00   36833        0        36833      13167        0        13167       710         0         710        212       0.8782     0.8782     0.0000     0.0000      0.41     424.4888    0.0000    424.4888  7959.2303    0.0000   7959.2303   78539.82 
1300000.00   37088        0        37088      12912        0        12912       779         0         779        230       0.8812     0.8812     0.0000     0.0000      0.41     472.3096    0.0000    472.3096  7839.3697    0.0000   7839.3697   78539.82 
1350000.00   35834        0        35834      14166        0        14166       973         0         973        240       0.8847     0.8847     0.0000     0.0000      0.41     582.4458    0.0000    582.4458  8589.1022    0.0000   8589.1022   78539.82 
1400000.00   36398        0        36398      13602        0        13602       659         0         659        226       0.8925     0.8925     0.0000     0.0000      0.41     394.3001    0.0000    394.3001  8236.7078    0.0000   8236.7078   78539.82 
1450000.00   36626        0        36626      13374        0        13374       765         0         765        215       0.8777     0.8777     0.0000     0.0000      0.41     460.2279    0.0000    460.2279  8105.8058    0.0000   8105.8058   78539.82 
1500000.00   37113        0        37113      12887        0        12887       802         0         802        222       0.8745     0.8745     0.0000     0.0000      0.41     475.3148    0.0000    475.3148  7803.9207    0.0000   7803.9207   78539.82 
1550000.00   37084        0        37084      12916        0        12916       818         0         818        215       0.8759     0.8759     0.0000     0.0000      0.41     490.1669    0.0000    490.1669  7835.2258    0.0000   7835.2258   78539.82 
1600000.00   36248        0        36248      13752        0        13752       958         0         958        211       0.8806     0.8806     0.0000     0.0000      0.41     575.5306    0.0000    575.5306  8342.4542    0.0000   8342.4542   78539.82 
1650000.00   37507        0        37507      12493        0        12493       701         0         701        198       0.8728     0.8728     0.0000     0.0000      0.41     414.7166    0.0000    414.7166  7581.6526    0.0000   7581.6526   78539.82 
1700000.00   35982        0        35982      14018        0        14018       943         0         943        197       0.9101     0.9101     0.0000     0.0000      0.41     550.8406    0.0000    550.8406  8495.9834    0.0000   8495.9834   78539.82 
