 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          7          0          7          0        1.0908     1.0908     0.0000     0.0000      0.50      5.2572     0.0000     5.2572     0.0000     0.0000     0.0000    78539.82 
 50000.00    48761        0        48761       1239        0         1239       149         0         149        123       0.9391     0.9391     0.0000     0.0000      0.45     100.4703    0.0000    100.4703   833.9130    0.0000    833.9130   78539.82 
100000.00    44452        0        44452       5548        0         5548       243         0         243        135       0.9363     0.9363     0.0000     0.0000      0.45     162.2307    0.0000    162.2307  3711.1140    0.0000   3711.1140   78539.82 
150000.00    42522        0        42522       7478        0         7478       346         0         346        152       0.9373     0.9373     0.0000     0.0000      0.45     229.6742    0.0000    229.6742  4987.8503    0.0000   4987.8503   78539.82 
200000.00    40957        0        40957       9043        0         9043       352         0         352        167       0.9319     0.9319     0.0000     0.0000      0.45     232.2077    0.0000    232.2077  6016.4777    0.0000   6016.4777   78539.82 
250000.00    39858        0        39858      10142        0        10142       424         0         424        171       0.9532     0.9532     0.0000     0.0000      0.45     280.5891    0.0000    280.5891  6737.5538    0.0000   6737.5538   78539.82 
300000.00    38038        0        38038      11962        0        11962       388         0         388        170       0.9335     0.9335     0.0000     0.0000      0.45     255.7462    0.0000    255.7462  7957.3910    0.0000   7957.3910   78539.82 
350000.00    39249        0        39249      10751        0        10751       441         0         441        185       0.9408     0.9408     0.0000     0.0000      0.45     289.2627    0.0000    289.2627  7137.5194    0.0000   7137.5194   78539.82 
400000.00    37319        0        37319      12681        0        12681       474         0         474        192       0.9455     0.9455     0.0000     0.0000      0.44     315.4849    0.0000    315.4849  8419.6977    0.0000   8419.6977   78539.82 
450000.00    36927        0        36927      13073        0        13073       414         0         414        169       0.9583     0.9583     0.0000     0.0000      0.44     272.5866    0.0000    272.5866  8675.6336    0.0000   8675.6336   78539.82 
500000.00    38021        0        38021      11979        0        11979       511         0         511        190       0.9499     0.9499     0.0000     0.0000      0.45     336.5052    0.0000    336.5052  7952.3399    0.0000   7952.3399   78539.82 
550000.00    36654        0        36654      13346        0        13346       681         0         681        199       0.9396     0.9396     0.0000     0.0000      0.44     449.6485    0.0000    449.6485  8855.0000    0.0000   8855.0000   78539.82 
600000.00    37848        0        37848      12152        0        12152       536         0         536        189       0.9337     0.9337     0.0000     0.0000      0.44     358.2423    0.0000    358.2423  8051.4760    0.0000   8051.4760   78539.82 
650000.00    37616        0        37616      12384        0        12384       536         0         536        196       0.9488     0.9488     0.0000     0.0000      0.44     355.3193    0.0000    355.3193  8196.6773    0.0000   8196.6773   78539.82 
700000.00    37215        0        37215      12785        0        12785       667         0         667        209       0.9499     0.9499     0.0000     0.0000      0.44     435.9527    0.0000    435.9527  8456.2857    0.0000   8456.2857   78539.82 
750000.00    36246        0        36246      13754        0        13754       666         0         666        221       0.9633     0.9633     0.0000     0.0000      0.44     438.7691    0.0000    438.7691  9103.7170    0.0000   9103.7170   78539.82 
