 ALL 	  AA 	  AB 	  BB 
1.0003	1.0003	1.0048	1.0086
1.0048	1.0000	1.0012	1.0001
1.0012	1.0013	0.9993	0.9925
0.9993	1.0015	1.0042	0.9987
1.0042	1.0004	1.0200	1.0004
1.0200	1.0009	1.0005	1.0009
1.0005	1.0026	1.0000	1.0016
1.0000	1.0011	0.9979	0.9972
0.9979	1.0001	1.0000	1.0000
1.0000	1.0902	0.9991	1.0007
1.0000	1.0012	1.0011	1.0010
0.9991	0.9985	0.9995	1.0003
1.0011	1.0002	0.9985	1.0051
1.0013	1.0001	1.0014	0.9995
0.9995	1.0007	1.0002	1.0062
0.9985	0.9996	1.0000	1.0033
1.0014	0.9966	1.0001	1.0033
1.0002	1.0023	0.9987	0.9978
1.0000	0.9972	1.0013	0.9989
1.0001	1.0006	0.9999	1.0006
0.9987	0.9991	0.9981	0.9973
1.0013	1.0005	1.0028	0.9991
0.9999	1.0127	1.0003	0.9997
0.9981	0.9990	1.0019	0.9990
1.0028	0.9975	1.0013	0.9999
1.0003	1.0026	1.0021	1.0009
1.0019	0.9996	1.0324	0.9999
1.0013	0.9990	1.0001	1.0016
1.0021	1.0000	0.9975	1.0000
1.0015	1.0012	1.0016	0.9996
1.0324	0.9988	1.0019	0.9989
1.0001	1.0038	0.9974	0.9993
0.9975	0.9998	1.0006	0.9997
1.0016	1.0028	0.9971	0.9986
1.0019	1.0005	0.9951	1.0051
0.9974	1.0006	1.0001	1.0055
1.0004	1.0009	0.9985	0.9996
1.0006	1.0012	1.0032	1.0036
0.9971	1.0012	0.9929	1.0008
0.9951	1.0027	0.9964	1.0005
1.0001	1.1121	0.9986	0.9982
0.9985	1.0021	1.0010	0.9991
1.0032	1.0004	1.0020	0.9998
0.9929	0.9975	1.0003	1.0023
1.0009	0.9986	0.9989	1.0006
0.9964	0.9998	1.0011	1.0022
0.9986	0.9978	0.9999	0.9982
1.0010	0.9994	1.0051	1.0001
1.0020	0.9996	0.9989	0.9989
1.0003	1.0071	1.0001	1.0020
0.9989	1.0027	0.9993	0.9979
1.0011	1.0079	1.0028	1.0040
0.9999	1.0000	0.9999	1.0005
1.0051	1.0015	1.0010	1.0002
0.9989	0.9995	1.0034	1.0005
1.0001	1.0000	1.0000	0.9987
0.9993	0.9981	0.9997	1.0021
1.0028	1.0000	0.9994	1.0019
0.9999	0.9962	1.0007	0.9994
1.0010	1.0033	1.0016	0.9984
1.0034	1.0007	1.0012	0.9901
1.0000	0.9849	0.9989	1.0054
0.9997	1.0018	0.9987	0.9939
