peA		peB		xA		ps
60		0		5		0
60		0		10		0
60		0		15		0
60		0		20		0
60		0		25		0
60		0		30		0
60		0		35		0
60		0		40		0
60		0		45		0
60		0		50		0
60		0		55		0
60		0		60		0
60		0		65		0
60		0		70		0
60		0		75		0
60		0		80		0
60		0		85		0
60		0		90		1
60		0		95		1
60		0		100		1
100		0		5		0
100		0		10		0
100		0		15		0
100		0		20		0
100		0		25		0
100		0		30		0
100		0		35		0
100		0		40		0
100		0		45		0
100		0		50		1
100		0		55		1
100		0		60		1
100		0		65		1
100		0		70		1
100		0		75		1
100		0		80		1
100		0		85		1
100		0		90		1
100		0		95		1
100		0		100		1
150		0		5		0
150		0		10		0
150		0		15		0
150		0		20		0
150		0		25		0
150		0		30		0
150		0		35		1
150		0		40		1
150		0		45		1
150		0		50		1
150		0		55		1
150		0		60		1
150		0		65		1
150		0		70		1
150		0		75		1
150		0		80		1
150		0		85		1
150		0		90		1
150		0		95		1
150		0		100		1
200		0		5		0
200		0		10		0
200		0		15		0
200		0		20		0
200		0		25		1
200		0		30		1
200		0		35		1
200		0		40		1
200		0		45		1
200		0		50		1
200		0		55		1
200		0		60		1
200		0		65		1
200		0		70		1
200		0		75		1
200		0		80		1
200		0		85		1
200		0		90		1
200		0		95		1
200		0		100		1
250		0		5		0
250		0		10		0
250		0		15		0
250		0		20		0
250		0		25		1
250		0		30		1
250		0		35		1
250		0		40		1
250		0		45		1
250		0		50		1
250		0		55		1
250		0		60		1
250		0		65		1
250		0		70		1
250		0		75		1
250		0		80		1
250		0		85		1
250		0		90		1
250		0		95		1
250		0		100		1
300		0		5		0
300		0		10		0
300		0		15		0
300		0		20		1
300		0		25		1
300		0		30		1
300		0		35		1
300		0		40		1
300		0		45		1
300		0		50		1
300		0		55		1
300		0		60		1
300		0		65		1
300		0		70		1
300		0		75		1
300		0		80		1
300		0		85		1
300		0		90		1
300		0		95		1
300		0		100		1
350		0		5		0
350		0		10		0
350		0		15		0
350		0		20		1
350		0		25		1
350		0		30		1
350		0		35		1
350		0		40		1
350		0		45		1
350		0		50		1
350		0		55		1
350		0		60		1
350		0		65		1
350		0		70		1
350		0		75		1
350		0		80		1
350		0		85		1
350		0		90		1
350		0		95		1
350		0		100		1
400		0		5		0
400		0		10		0
400		0		15		1
400		0		20		1
400		0		25		1
400		0		30		1
400		0		35		1
400		0		40		1
400		0		45		1
400		0		50		1
400		0		55		1
400		0		60		1
400		0		65		1
400		0		70		1
400		0		75		1
400		0		80		1
400		0		85		1
400		0		90		1
400		0		95		1
400		0		100		1
450		0		5		0
450		0		10		0
450		0		15		1
450		0		20		1
450		0		25		1
450		0		30		1
450		0		35		1
450		0		40		1
450		0		45		1
450		0		50		1
450		0		55		1
450		0		60		1
450		0		65		1
450		0		70		1
450		0		75		1
450		0		80		1
450		0		85		1
450		0		90		1
450		0		95		1
450		0		100		1
500		0		5		0
500		0		10		1
500		0		15		1
500		0		20		1
500		0		25		1
500		0		30		1
500		0		35		1
500		0		40		1
500		0		45		1
500		0		50		1
500		0		55		1
500		0		60		1
500		0		65		1
500		0		70		1
500		0		75		1
500		0		80		1
500		0		85		1
500		0		90		1
500		0		95		1
500		0		100		1
